ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739352396658,-0.51506,-1.67557,10.5344,-0.68663,-5.98127,4.40966
Abj,502,1739352396680,-0.74028,-1.50299,9.58804,-3.25003,-5.73714,5.26413
Abj,503,1739352396697,-0.29701,-3.09362,9.08974,-0.44249,-5.6761,5.50826
Abj,504,1739352396712,-0.29701,-3.09362,9.08974,-0.44249,-4.2113,5.38619
Abj,505,1739352396722,-0.57727,-3.03141,8.99642,0.96128,-7.93434,4.22656
Abj,506,1739352396744,-0.65414,-2.67697,9.87787,-3.06693,-2.31927,5.14206
Abj,507,1739352396761,-0.34038,-2.41585,11.06621,0.71714,-5.73714,4.77586
Abj,508,1739352396772,-0.19172,-3.27099,8.8672,0.35094,-7.26297,5.44723
Abj,509,1739352396786,-0.19172,-3.27099,8.8672,-0.25939,-2.68547,4.71483
Abj,510,1739352396804,-0.17976,-2.65543,10.302,4.01294,-7.93434,5.08103
Abj,511,1739352396822,-0.14626,-2.02762,8.44786,2.54814,-1.6479,7.27823
Abj,512,1739352396846,0.26351,-1.75693,9.67927,-3.61623,-2.68547,6.97306
Abj,513,1739352396859,-0.5007,-1.57508,9.79412,-5.14206,-0.79343,6.78996
Abj,514,1739352396871,-0.5007,-1.57508,9.79412,-11.00126,-4.3944,6.17963
Abj,515,1739352396887,-0.70917,-0.68853,8.27767,-9.4144,11.1691,8.19373
Abj,516,1739352396906,0.28504,-4.38245,10.96541,13.40445,11.7184,0.44249
Abj,517,1739352396924,1.03968,-6.29881,5.84626,4.86741,-56.56266,4.53173
Abj,518,1739352396941,-1.56909,-3.2327,13.77069,7.24008,23.49021,10.81816
Abj,519,1739352396957,-0.05982,-0.01077,10.97019,3.21951,-17.08934,10.1468
Abj,520,1739352396975,0.13878,-4.55743,6.73998,3.03641,-0.79343,14.3581
Abj,521,1739352396995,-0.13908,-4.29392,10.24936,7.30112,-0.7324,15.33463
Abj,522,1739352397012,-0.13908,-4.29392,10.24936,6.27118,2.5634,14.11396
Abj,523,1739352397021,-0.52702,-0.94247,13.25803,3.21951,2.7465,14.96843
Abj,524,1739352397044,-0.69482,-2.75354,9.0012,3.40261,1.95307,13.8088
Abj,525,1739352397062,-1.09232,-2.5331,9.98345,5.47774,3.8451,14.29706
Abj,526,1739352397077,-0.7331,-1.56521,9.47318,-0.86973,0.85447,13.4426
Abj,527,1739352397089,-0.7331,-1.56521,9.47318,0.53404,11.65737,12.28296
Abj,528,1739352397105,-0.34516,-3.81715,9.53779,11.32932,-3.53993,13.19846
Abj,529,1739352397120,-0.14626,-4.02084,8.56032,10.53588,2.07513,12.40503
Abj,530,1739352397139,-0.39781,-2.12363,9.94278,11.81758,-5.61507,13.0764
Abj,531,1739352397158,-1.30319,-0.18544,11.81127,-6.60686,-6.10334,8.19373
Abj,532,1739352397175,0.21565,-2.30788,11.49004,-1.78523,12.32874,11.85573
Abj,533,1739352397190,0.21565,-2.30788,11.49004,6.63738,-17.21141,8.01063
Abj,534,1739352397206,-0.51266,-4.5335,5.4344,0.53404,-3.41787,10.20783
Abj,535,1739352397224,0.51027,-1.32114,13.08784,0.90024,-2.13617,9.9637
