ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,4751,1739356178747,0.94367,-1.47906,9.95953,-0.99179,6.5916,-18.40919
Abj,4752,1739356178766,0.4334,-3.30688,9.56411,0.28991,5.24887,-18.34815
Abj,4753,1739356178786,0.15075,-3.32602,9.15703,4.01294,5.98127,-17.67679
Abj,4754,1739356178797,0.15075,-3.32602,9.15703,5.11154,8.7888,-18.47022
Abj,4755,1739356178811,0.36401,-1.6995,9.33889,1.57161,1.34273,-18.71435
Abj,4756,1739356178830,0.47677,-1.09831,10.11506,0.65611,5.92024,-17.18852
Abj,4757,1739356178846,0.61316,-2.46371,8.86002,0.53404,6.16437,-16.63922
Abj,4758,1739356178863,-0.02393,-2.36052,8.96292,-1.29696,4.69957,-17.67679
Abj,4759,1739356178881,-0.02393,-2.36052,8.96292,1.69368,7.6902,-17.18852
Abj,4760,1739356178905,-0.24915,-2.51635,8.94617,1.14438,2.0141,-18.83642
Abj,4761,1739356178915,0.2324,-2.2002,10.00499,0.53404,4.08923,-19.01952
Abj,4762,1739356178929,-0.24197,-2.42542,10.04088,0.83921,-1.34273,-18.59229
Abj,4763,1739356178946,0.52941,-2.70808,10.22064,1.26644,3.60097,-20.05709
Abj,4764,1739356178965,0.04307,-2.54985,10.38814,-0.25939,-0.67137,-21.15569
Abj,4765,1739356178982,0.04307,-2.54985,10.38814,0.83921,5.24887,-20.85052
Abj,4766,1739356179008,0.49113,-2.54985,9.98106,2.85331,5.8592,-21.82705
Abj,4767,1739356179020,0.49113,-2.54985,9.98106,0.96128,0.97653,-21.46085
Abj,4768,1739356179028,0.22283,-1.95105,10.86491,3.46364,-0.48827,-21.46085
Abj,4769,1739356179045,0.39272,-1.76411,10.24457,0.16784,3.8451,-20.91155
Abj,4770,1739356179064,0.58923,-2.33659,9.64816,0.65611,5.3099,-21.21672
Abj,4771,1739356179081,0.58923,-2.33659,9.64816,1.81574,3.78407,-20.85052
Abj,4772,1739356179098,0.08375,-2.31027,9.47079,1.51058,4.51647,-22.43739
Abj,4773,1739356179118,0.3664,-2.00848,9.8683,-0.07629,0.1831,-22.37635
Abj,4774,1739356179131,-0.05025,-1.26102,9.83959,1.38851,2.25823,-21.82705
Abj,4775,1739356179148,0.53659,-2.28873,9.10409,0.53404,4.69957,-22.07119
Abj,4776,1739356179165,0.05264,-2.26002,8.73051,1.99884,2.07513,-22.13222
