ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,2501,1739352214980,1.05434,-2.49302,9.64218,-3.74974,-2.37649,1.81193
Ak,2502,1739352214993,1.45155,-0.84197,10.56581,-3.41405,-3.48272,0.39672
Ak,2503,1739352215014,0.89402,-1.57657,9.31197,-1.21685,-2.76939,1.2817
Ak,2504,1739352215036,0.8653,-2.09581,10.01307,2.71598,-1.33129,3.34539
Ak,2505,1739352215049,0.76959,-3.62722,9.23061,6.2254,-0.71714,4.33718
Ak,2506,1739352215063,1.54487,-1.6986,9.8695,11.37891,0.08774,5.7028
Ak,2507,1739352215080,1.54487,-1.6986,9.8695,7.40411,4.02057,9.20841
Ak,2508,1739352215091,-0.05115,-1.71775,8.51755,8.41879,6.89677,12.55761
Ak,2509,1739352215109,0.50638,-1.26072,10.59691,9.74245,9.8073,16.09373
Ak,2510,1739352215130,1.4013,-4.33789,9.44118,10.96693,7.42318,13.45785
Ak,2511,1739352215147,0.57817,-2.08624,9.53929,7.47659,6.41995,11.02796
Ak,2512,1739352215162,0.94187,-3.67986,9.39811,3.89469,3.92139,6.37799
Ak,2513,1739352215180,0.94187,-3.67986,9.39811,2.46422,3.56282,5.22217
Ak,2514,1739352215194,2.01386,-1.58375,10.86252,-0.65992,1.90729,-1.58305
Ak,2515,1739352215219,1.58315,-0.29641,8.72094,-1.78523,-1.75852,-9.77297
Ak,2516,1739352215232,1.29601,-2.21067,9.23061,-0.56074,-2.12854,-11.79088
Ak,2517,1739352215248,1.65972,-2.1987,9.96282,-1.75089,-1.152,-11.27591
Ak,2518,1739352215264,1.60947,-1.38754,9.53689,-2.96393,-3.49797,-12.70638
Ak,2519,1739352215280,1.60947,-1.38754,9.53689,-3.37591,-2.55196,-11.33313
Ak,2520,1739352215292,1.87508,-0.70558,9.32154,-2.45659,-2.78465,-10.00947
Ak,2521,1739352215310,0.31017,-3.85932,8.94108,6.18726,-3.14703,-8.36157
Ak,2522,1739352215331,0.87966,-2.75623,9.80489,3.06311,-2.59773,-7.86949
Ak,2523,1739352215348,1.8344,-1.09801,10.30978,-0.27846,-1.26644,-6.8777
Ak,2524,1739352215364,0.91555,-4.72313,9.55125,-1.84626,-1.21685,-6.58016
Ak,2525,1739352215380,0.91555,-4.72313,9.55125,-3.03259,0.27084,-4.50884
Ak,2526,1739352215400,1.86311,-2.0671,10.13988,-7.87712,0.98798,-3.81077
Ak,2527,1739352215414,0.51835,-0.00927,9.19711,-13.71343,2.11709,-2.57484
Ak,2528,1739352215429,0.31256,-2.88545,9.55364,-9.20841,1.66316,-1.09479
Ak,2529,1739352215448,0.87966,-2.50977,9.76182,-6.3551,1.41521,-0.30517
Ak,2530,1739352215463,0.56381,-3.42383,8.62044,-3.32632,1.06427,0.69425
Ak,2531,1739352215480,0.56381,-3.42383,8.62044,-2.54814,0.77055,1.0986
Ak,2532,1739352215493,0.48963,-2.81366,10.30738,-6.01179,0.77436,1.68605
Ak,2533,1739352215509,1.68844,-2.15085,10.88166,2.0408,0.12588,2.57103
Ak,2534,1739352215528,0.71216,-2.35902,9.04876,4.99711,-0.07629,3.21188
Ak,2535,1739352215545,1.03759,-1.05254,10.09681,3.18899,1.66316,3.88706
Ak,2536,1739352215564,1.37737,-3.28505,9.41725,1.54872,1.58305,1.98358
Ak,2537,1739352215581,1.37737,-3.28505,9.41725,-0.90787,1.84244,0.28609
Ak,2538,1739352215596,1.39412,-2.62702,9.68286,-3.38735,1.76234,-0.61415
Ak,2539,1739352215617,1.58794,-1.81825,9.31197,-4.67668,1.42284,-1.45336
Ak,2540,1739352215632,1.31994,-1.92832,8.31655,-3.8451,-1.28552,-3.2958
Ak,2541,1739352215647,0.92991,-2.34706,9.82164,-3.82221,-1.28933,-3.25003
Ak,2542,1739352215661,1.04716,-2.82562,9.85514,-5.32135,-4.33337,-5.05433
Ak,2543,1739352215683,1.04716,-2.82562,9.85514,-5.10773,-3.88325,-4.50884
Ak,2544,1739352215692,0.57817,-1.32532,8.48644,-5.84776,-4.54317,-5.26794
Ak,2545,1739352215709,1.5329,-2.53609,9.1349,-2.38412,-4.08542,-5.67992
Ak,2546,1739352215729,1.21226,-1.97857,9.45075,1.31222,-3.97098,-5.58455
Ak,2547,1739352215748,0.8318,-4.95284,8.82383,12.72546,-4.7072,-5.28701
Ak,2548,1739352215764,0.4992,-1.60528,10.11835,5.2832,-3.02878,-5.04288
Ak,2549,1739352215781,0.4992,-1.60528,10.11835,2.67784,-2.42989,-5.29464
Ak,2550,1739352215800,0.78395,-3.47408,10.30978,0.3929,-0.74766,-4.7072
Ak,2551,1739352215814,1.05434,-1.61964,9.32872,-9.87596,2.7465,-3.4255
Ak,2552,1739352215831,0.7002,-2.00728,9.62064,-13.82787,4.30285,-2.83805
Ak,2553,1739352215847,1.11655,-3.24437,9.99153,-12.35544,7.77031,-0.66374
Ak,2554,1739352215862,1.20509,-3.54108,9.53211,-10.28412,10.74569,0.59889
Ak,2555,1739352215876,1.20509,-3.54108,9.53211,-7.74742,8.95283,-0.99561
Ak,2556,1739352215893,2.07368,-1.95703,10.95105,-3.48653,6.85862,-1.67079
Ak,2557,1739352215913,0.81266,-2.22742,8.91237,-1.93018,4.74534,-0.83158
Ak,2558,1739352215928,1.36301,-3.02423,8.98894,-1.5945,2.68547,-1.02612
Ak,2559,1739352215948,0.94187,-1.93789,9.97717,-1.94162,-0.85828,-1.78141
Ak,2560,1739352215962,1.74826,-1.46172,9.367,-2.9296,-5.52352,-3.0593
Ak,2561,1739352215979,1.74826,-1.46172,9.367,-4.3143,-5.05433,0.02289
Ak,2562,1739352216000,1.77458,-0.53569,9.71396,-0.74384,-3.52086,0.76292
Ak,2563,1739352216013,0.57577,-3.11276,8.63959,1.07571,-3.48272,-0.50353
Ak,2564,1739352216030,1.85354,-2.23699,9.27129,4.07779,-3.24621,-2.86857
Ak,2565,1739352216047,0.81027,-3.26112,9.44357,7.08368,-3.26528,-3.23858
Ak,2566,1739352216068,1.41805,-2.81366,10.08724,14.47253,-2.00647,-6.16818
Ak,2567,1739352216075,1.41805,-2.81366,10.08724,11.71078,-0.53023,-8.62478
Ak,2568,1739352216092,0.13071,-1.89003,9.14447,6.58779,1.09097,-12.62246
Ak,2569,1739352216113,1.24337,-1.85175,10.39831,4.98185,2.23916,-13.41208
Ak,2570,1739352216130,0.26471,-4.5341,9.71396,5.11154,2.78846,-12.7636
Ak,2571,1739352216147,1.52333,-2.77059,10.47967,3.57045,3.17373,-12.19523
Ak,2572,1739352216162,0.74088,-2.34706,10.0011,2.79609,3.87562,-10.03999
Ak,2573,1739352216178,0.74088,-2.34706,10.0011,1.25118,4.05872,-9.06345
Ak,2574,1739352216201,0.66431,-3.48126,9.70439,0.43868,2.59773,-7.72835
Ak,2575,1739352216214,1.06869,-2.25374,10.4677,-3.2424,2.3536,-6.09571
Ak,2576,1739352216230,1.0998,-1.5335,10.17099,-8.97572,1.87678,-6.10334
Ak,2577,1739352216247,0.9993,-3.37837,9.08465,-10.05143,1.96833,-6.2254
Ak,2578,1739352216262,0.9993,-3.37837,9.08465,-10.55496,2.60155,-6.30551
Ak,2579,1739352216277,1.26251,-1.28704,9.27368,-7.43081,2.21246,-6.98832
Ak,2580,1739352216293,1.92054,-4.49342,9.84557,-5.80198,2.18576,-7.6368
Ak,2581,1739352216313,1.56401,-1.09801,9.09183,-6.45046,1.64027,-10.08958
Ak,2582,1739352216331,2.25314,-2.85673,9.27129,-2.55577,0.10681,-12.28678
Ak,2583,1739352216347,0.69541,-0.82283,9.11815,-3.93665,-2.60155,-15.38041
Ak,2584,1739352216365,1.75304,-3.28983,9.63261,0.64085,-5.60744,-19.21406
Ak,2585,1739352216379,1.75304,-3.28983,9.63261,2.57866,-8.70488,-22.79596
Ak,2586,1739352216399,1.97797,-3.1008,9.28086,2.91434,-8.63241,-23.03628
Ak,2587,1739352216413,0.68106,-0.94008,9.87907,-1.23593,-8.38446,-22.42594
Ak,2588,1739352216432,1.28883,-2.54327,10.09681,6.1453,-4.86741,-18.27186
Ak,2589,1739352216446,1.28166,-1.45454,9.57279,7.56432,-3.71922,-17.08934
Ak,2590,1739352216461,2.31536,-2.58874,10.56581,13.01155,-2.13235,-15.50247
Ak,2591,1739352216478,2.31536,-2.58874,10.56581,12.01976,0.71333,-13.1565
Ak,2592,1739352216495,0.85334,-2.70359,9.52972,7.29349,3.77262,-10.3833
Ak,2593,1739352216514,2.63121,-1.634,11.05873,6.45428,7.52999,-6.22922
Ak,2594,1739352216530,0.95623,-1.22961,9.50579,7.34689,8.95283,-3.83747
Ak,2595,1739352216547,1.38215,-2.75384,9.09661,6.91203,8.62096,-3.65056
Ak,2596,1739352216564,0.99212,-1.57657,9.15165,0.50734,8.46838,-3.07456
Ak,2597,1739352216584,0.99212,-1.57657,9.15165,-1.92255,6.85481,-1.88059
Ak,2598,1739352216596,1.89183,-1.98574,8.62044,-3.80696,6.35891,-0.81632
Ak,2599,1739352216615,2.11436,-1.22243,10.28106,-6.78996,5.05051,-0.01907
Ak,2600,1739352216628,0.53509,-3.08166,8.61087,-4.59276,4.12738,-0.45012
Ak,2601,1739352216647,0.98255,-2.82562,9.08944,-3.76118,3.9748,-0.50734
Ak,2602,1739352216663,-0.26171,-1.98096,9.64936,-5.47011,2.96393,-1.14056
