ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,3001,1739356148177,-0.32505,-0.825,10.29495,-5.2705,19.51423,-12.58932
HS,3002,1739356148195,-0.32505,-0.825,10.29495,-4.1518,13.49531,-12.3766
HS,3003,1739356148213,0.16005,-2.82,9.687,-1.14233,14.33827,-12.16389
HS,3004,1739356148229,-1.43295,-4.563,9.438,4.03362,7.61819,-13.84194
HS,3005,1739356148245,0.07395,-3.85905,9.924,7.74424,10.21011,-15.59878
HS,3006,1739356148263,-0.74805,1.668,10.70505,4.80568,7.20065,-16.99321
HS,3007,1739356148281,0.35895,0.462,10.72395,-4.99476,8.39025,-18.32462
HS,3008,1739356148293,-0.26505,-3.165,8.919,-7.09035,1.67017,-17.62347
HS,3009,1739356148311,-0.26505,-3.165,8.919,-4.2227,2.50526,-18.67914
HS,3010,1739356148327,-0.56205,-4.88595,9.558,4.59297,-1.27626,-19.86874
HS,3011,1739356148345,-1.158,-1.434,10.49205,4.80568,3.62396,-21.33408
HS,3012,1739356148362,-1.10805,0.49995,10.68795,-1.49685,2.57616,-22.94911
HS,3013,1739356148378,0.726,-1.96305,8.715,-4.57722,-0.64601,-23.01213
HS,3014,1739356148394,0.04605,-3.84705,8.43495,0.2521,-0.99265,-22.59459
HS,3015,1739356148413,0.273,-3.114,7.935,5.99529,-3.44276,-22.94911
HS,3016,1739356148429,-0.86295,-0.51705,10.22805,9.42229,6.35768,-23.64239
HS,3017,1739356148446,-0.86295,-0.51705,10.22805,10.47797,0.12605,-23.8551
HS,3018,1739356148462,-0.138,-1.32795,8.943,4.66388,10.41494,-24.06781
HS,3019,1739356148477,0.55995,0.933,10.36695,0.60662,10.41494,-22.7364
HS,3020,1739356148495,0.91695,-1.55805,7.07505,-1.28414,-2.32406,-23.01213
HS,3021,1739356148511,0.18,-4.96005,8.1,7.04308,2.64706,-19.79784
HS,3022,1739356148528,-2.79795,-2.406,10.94205,11.24215,-1.20536,-20.70383
HS,3023,1739356148544,-0.609,0.27495,9.99105,16.07934,7.05884,-21.19228
HS,3024,1739356148559,-0.609,0.27495,9.99105,11.66757,4.04938,-23.01213
HS,3025,1739356148576,-2.00295,-0.24405,10.61595,4.45904,4.32512,-19.44332
HS,3026,1739356148593,1.04895,-2.26395,9.09795,-0.23635,4.32512,-19.86874
HS,3027,1739356148609,2.62905,-3.81105,12.23505,0.53572,10.21011,-18.88397
HS,3028,1739356148625,-0.92805,-2.00595,8.23605,3.12763,-13.38501,-16.92231
HS,3029,1739356148645,-2.59905,-0.981,12.33495,-1.28414,9.9974,-18.53733
HS,3030,1739356148665,0.04095,-3.09495,11.27205,-2.12711,2.30043,-17.90708
HS,3031,1739356148678,0.77805,-3.12195,8.91195,0.2521,-4.49056,-17.69437
HS,3032,1739356148694,0.77805,-3.12195,8.91195,6.69644,-7.92544,-17.41863
HS,3033,1739356148709,1.48905,-1.848,11.373,7.4685,4.32512,-17.62347
HS,3034,1739356148727,-1.08795,-0.51195,8.823,6.55464,-0.57511,-17.13502
HS,3035,1739356148742,0.44505,-1.419,9.762,6.41283,3.06461,-15.80361
HS,3036,1739356148759,0.366,-2.274,7.76505,6.06619,1.38656,-15.31516
HS,3037,1739356148775,-1.371,0.64395,12.73305,0.46481,16.29993,-15.80361
HS,3038,1739356148793,0.771,-4.34505,7.434,-1.9853,6.91703,-15.73271
HS,3039,1739356148809,0.771,-4.34505,7.434,2.63919,-0.5042,-14.75581
HS,3040,1739356148824,-0.77895,-1.78095,6.82395,6.208,-5.60926,-16.01632
HS,3041,1739356148841,-2.72805,-0.22905,9.13395,3.26944,-3.23005,-15.94541
HS,3042,1739356148860,-2.151,0.05205,11.244,-4.85295,4.81356,-16.57567
HS,3043,1739356148878,0.72105,-2.916,9.56805,-7.58668,1.52837,-16.78838
HS,3044,1739356148893,1.40295,-4.99095,8.83995,0.04727,1.875,-16.99321
HS,3045,1739356148909,-0.672,-3.99495,10.638,5.15232,5.30989,-17.90708
HS,3046,1739356148926,-0.63105,-0.92805,9.07395,9.49319,5.09718,-19.72694
HS,3047,1739356148941,-0.63105,-0.92805,9.07395,8.09876,5.44382,-20.21538
HS,3048,1739356148958,-0.54705,-0.837,9.30405,6.48373,1.7332,-20.35719
HS,3049,1739356148976,-2.11995,-1.91205,10.461,5.36503,-0.01576,-18.32462
HS,3050,1739356148992,1.377,-2.76705,10.81995,2.98583,13.29047,-18.18282
HS,3051,1739356149009,-0.756,-1.94595,9.38295,5.0893,5.23898,-18.74216
HS,3052,1739356149027,-1.098,-1.52505,10.94895,5.92438,8.17754,-19.86874
HS,3053,1739356149044,0.42405,-2.655,10.96095,4.38814,1.03992,-19.16759
HS,3054,1739356149061,0.177,-1.87395,10.221,0.74843,1.52837,-18.53733
HS,3055,1739356149076,0.177,-1.87395,10.221,-0.9375,5.44382,-19.23849
HS,3056,1739356149092,0.45705,-2.47005,10.956,-1.49685,4.25421,-19.09668
HS,3057,1739356149109,-1.71105,-2.71005,9.21105,-0.09454,-3.7894,-19.37242
HS,3058,1739356149125,-2.118,-3.117,10.84395,2.70221,5.09718,-19.02578
HS,3059,1739356149141,-0.67905,-3.46905,9.73995,1.23687,1.45746,-20.28629
HS,3060,1739356149158,1.24305,0.19395,9.501,1.02416,-2.6707,-19.09668
HS,3061,1739356149175,0.96705,-1.76205,10.509,-2.12711,0.12605,-20.21538
HS,3062,1739356149191,0.96705,-1.76205,10.509,-1.49685,-1.13446,-19.37242
HS,3063,1739356149207,-0.86295,-2.57595,7.39395,-2.96219,-0.08666,-20.499
HS,3064,1739356149224,-1.49505,-3.21705,10.08495,3.75789,-3.09612,-19.23849
HS,3065,1739356149240,-0.17895,-3.38295,7.66905,8.02785,5.86924,-20.84564
