ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,6751,1739356623747,-0.73905,-2.73405,10.00095,4.94749,3.70274,-9.22534
HS,6752,1739356623766,-1.75905,-0.246,10.23795,2.29255,4.68751,-9.29624
HS,6753,1739356623780,-0.231,-1.362,9.369,-1.07143,-0.28361,-9.92649
HS,6754,1739356623796,-0.21,-3.732,10.36005,-0.78782,-0.28361,-9.43805
HS,6755,1739356623814,-0.72705,-1.17495,8.05695,6.06619,-7.2164,-9.09141
HS,6756,1739356623830,-1.215,0.05895,12.54405,3.9706,5.38867,-9.57985
HS,6757,1739356623847,-1.215,0.05895,12.54405,1.52049,-0.21271,-9.78469
HS,6758,1739356623865,-0.20205,-0.38205,10.02195,1.30778,-0.70116,-9.65076
HS,6759,1739356623880,-0.45405,-1.08195,10.257,1.37868,-0.0709,-10.21011
HS,6760,1739356623895,-0.447,0.09105,10.26405,-0.51208,-0.42542,-10.21011
HS,6761,1739356623912,-1.476,-1.60095,8.53095,-2.04832,-6.37344,-10.41494
HS,6762,1739356623931,-0.83205,-1.99905,9.036,-2.26103,-5.88499,-10.55675
HS,6763,1739356623947,-0.447,-3.14295,10.04595,-1.84349,-1.19748,-10.84036
HS,6764,1739356623962,1.00095,1.017,10.23105,-2.96219,5.5935,-10.41494
HS,6765,1739356623981,1.00095,1.017,10.23105,-3.66335,-0.63025,-10.21011
HS,6766,1739356623996,0.96705,-1.34505,9.59895,-3.72637,1.67805,-10.69855
HS,6767,1739356624018,-0.07605,-1.85505,8.81595,2.00893,-6.58615,-11.04519
HS,6768,1739356624034,-1.119,-1.065,8.29095,1.10294,-2.45011,-10.76946
HS,6769,1739356624043,0.402,-0.67695,10.75005,-2.19013,0.20483,-11.04519
HS,6770,1739356624057,-2.06505,-1.704,7.908,-3.0331,-0.28361,-10.55675
HS,6771,1739356624079,-0.11595,-2.19705,9.91695,-1.00053,-5.9559,-10.62765
HS,6772,1739356624097,-1.42605,-2.29095,10.434,-0.85872,-1.26051,-10.91126
HS,6773,1739356624115,-1.42605,-2.29095,10.434,1.59139,-1.26051,-10.62765
HS,6774,1739356624133,-0.411,0.18195,10.54005,-2.60767,3.21429,-11.74635
HS,6775,1739356624151,0.26595,-0.825,9.40995,-4.91598,-4.48268,-10.84036
HS,6776,1739356624168,0.00195,-0.39195,8.44695,-1.97742,-12.46326,-10.48584
HS,6777,1739356624185,0.036,-2.28405,9.80205,-1.41807,-5.25474,-10.28101
HS,6778,1739356624199,-1.33995,-1.29495,10.28805,-3.45064,-0.28361,-10.28101
HS,6779,1739356624213,-0.19995,-4.572,9.369,-1.21324,-2.03257,-9.36714
HS,6780,1739356624226,-0.19995,-4.572,9.369,5.2311,-3.78152,-7.8309
HS,6781,1739356624245,-0.246,-0.114,7.96605,4.87659,-8.3351,-8.66599
HS,6782,1739356624262,0.61995,-0.105,10.05105,-3.09612,-2.10347,-9.65076
HS,6783,1739356624280,-1.08405,-0.85395,9.23205,-5.68804,-3.43488,-8.66599
HS,6784,1739356624296,-0.52605,-3.462,8.27895,-0.65389,-9.24109,-8.53206
HS,6785,1739356624314,0.95505,-1.338,9.663,1.30778,-6.08983,-7.76
HS,6786,1739356624332,-0.80295,-0.612,10.71705,-1.41807,-1.75683,-7.96483
HS,6787,1739356624347,-0.42495,-0.864,9.261,0.54359,0.41754,-7.27155
HS,6788,1739356624360,-0.42495,-0.864,9.261,0.11817,-7.90968,-7.54729
HS,6789,1739356624378,0.14805,-0.62205,10.45095,1.23687,-6.08983,-6.7122
HS,6790,1739356624396,-1.524,-1.58895,8.57895,2.15074,-11.55727,-7.20065
HS,6791,1739356624413,1.45605,0.675,9.60105,-0.78782,-7.49214,-7.8309
HS,6792,1739356624422,-0.06105,-0.354,9.95505,2.22164,-2.31618,-5.65653
HS,6793,1739356624442,-0.83505,-0.65805,9.56805,0.60662,-6.0268,-6.6413
HS,6794,1739356624460,-1.713,-2.41305,9.05805,0.47269,-4.13604,-5.94014
HS,6795,1739356624479,-1.713,-2.41305,9.05805,-3.16702,3.07249,-5.86924
HS,6796,1739356624498,-0.765,-2.169,11.35605,-2.40284,-9.4538,-6.15285
HS,6797,1739356624514,-1.98105,0.51405,10.36005,-0.15756,-11.6203,-3.76576
HS,6798,1739356624530,2.35395,-0.411,8.148,-0.71691,-14.77157,-5.02627
HS,6799,1739356624546,0.59895,-1.39005,11.682,-8.35086,-8.1933,-4.46692
HS,6800,1739356624564,-1.07595,-0.01905,7.887,-6.67281,-0.91387,-2.85978
HS,6801,1739356624579,0.726,-3.02295,9.438,1.44958,-8.05149,-2.85978
HS,6802,1739356624593,-2.11095,1.19205,10.57095,2.29255,3.00158,-1.81198
HS,6803,1739356624611,-2.11095,1.19205,10.57095,-1.84349,-2.03257,-2.37133
HS,6804,1739356624629,-1.01895,-2.583,10.84605,1.93803,-1.82774,-1.03992
HS,6805,1739356624645,0.59895,-0.00195,9.438,-0.02363,-8.1933,-0.55147
HS,6806,1739356624661,-0.99705,-0.699,10.66905,-0.65389,-3.01734,-0.33876
HS,6807,1739356624678,-0.52095,-3.44505,8.19105,-0.78782,-8.54781,-0.40966
HS,6808,1739356624697,-0.21405,-1.113,10.92495,1.79622,-2.66282,0.29149
HS,6809,1739356624707,0.47895,0.67005,8.91405,3.55305,-2.59192,1.06355
HS,6810,1739356624724,0.47895,0.67005,8.91405,-3.23793,-2.38709,0.77994
HS,6811,1739356624744,-0.96105,-0.48495,11.65095,-1.00053,0.97689,1.41019
HS,6812,1739356624761,-0.648,-0.258,9.654,-1.21324,-4.55358,2.04045
HS,6813,1739356624776,-0.89895,-2.664,7.75695,0.11817,-10.5725,1.19748
HS,6814,1739356624800,0.915,-0.13095,9.876,0.60662,-3.85242,2.88341
HS,6815,1739356624817,-0.492,-1.644,9.47895,1.59139,1.1187,3.15915
HS,6816,1739356624829,-2.496,-1.089,8.17905,2.78099,2.65494,3.30095
HS,6817,1739356624848,-1.00005,-1.56495,10.77705,-2.60767,2.37921,3.15915
HS,6818,1739356624864,-3.31695,-3.55005,10.554,-5.61713,5.87711,2.45799
HS,6819,1739356624882,-3.31695,-3.55005,10.554,1.03204,3.63184,3.64759
HS,6820,1739356624900,-1.02795,-2.68605,8.77695,1.52049,-0.07878,3.8603
HS,6821,1739356624917,0.345,-1.905,10.959,2.78099,-0.84296,3.30095
HS,6822,1739356624933,-1.26795,-0.84495,10.18305,5.01839,-1.40231,4.00211
HS,6823,1739356624949,-0.624,-0.186,10.68105,4.67175,2.86765,3.7894
HS,6824,1739356624965,1.24005,-1.359,10.51305,1.86713,3.07249,3.23005
HS,6825,1739356624982,-0.52305,-0.174,10.305,0.25998,2.09559,3.30095
