ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1501,1739354094511,0.30179,-2.49003,9.43968,10.78002,4.33337,-9.25418
Abj,1502,1739354094527,0.5318,0.26949,9.36999,-6.54583,-4.9437,-9.13212
Abj,1503,1739354094544,0.94846,0.12832,11.19542,-0.74766,5.6761,-7.78938
Abj,1504,1739354094562,0.7666,-5.58754,9.83001,6.21014,4.63854,-8.15558
Abj,1505,1739354094574,0.79053,-2.59771,11.25554,6.57634,0.42723,-8.88798
Abj,1506,1739354094594,0.19143,-0.11366,10.68276,4.13501,2.3803,-9.74245
Abj,1507,1739354094610,0.19143,-0.11366,10.68276,6.21014,0.3662,-9.19315
Abj,1508,1739354094626,0.50548,-1.11506,9.3006,0.22888,2.13617,-8.70488
Abj,1509,1739354094643,1.15214,0.2336,9.41097,-8.31579,0.42723,-7.24008
Abj,1510,1739354094661,0.61077,-1.15095,8.78794,-5.81343,4.08923,-7.78938
Abj,1511,1739354094677,0.47677,-4.66511,9.03709,0.16784,1.4648,-8.09455
Abj,1512,1739354094693,0.19621,-1.40728,10.65404,-2.39556,1.03757,-9.01005
Abj,1513,1739354094711,0.19621,-1.40728,10.65404,-11.6116,-0.67137,-8.58282
Abj,1514,1739354094727,0.36401,0.10439,11.03271,-9.35336,1.6479,-8.15558
Abj,1515,1739354094743,1.21436,-3.0673,9.38944,2.73124,1.03757,-9.13212
Abj,1516,1739354094761,0.67298,-3.52493,8.34258,2.12091,4.33337,-10.10865
Abj,1517,1739354094785,0.61316,-0.14716,11.12603,-9.90266,-0.79343,-8.15558
Abj,1518,1739354094797,0.49591,-2.44696,11.02314,-8.74303,-0.48827,-9.49832
Abj,1519,1739354094808,0.49591,-2.44696,11.02314,-0.13733,0.5493,-7.85042
Abj,1520,1739354094825,0.81206,-3.4337,9.25992,3.03641,0.24413,-9.92555
Abj,1521,1739354094843,0.80249,-1.92233,10.25654,-5.75239,-4.33337,-10.90208
Abj,1522,1739354094861,0.35683,-1.2012,10.51287,1.44954,-2.07513,-9.68142
Abj,1523,1739354094879,0.62752,-2.6336,7.73869,-0.50353,-1.2817,-9.86452
Abj,1524,1739354094895,1.11864,-0.88505,9.18575,-0.80869,-1.76997,-9.49832
Abj,1525,1739354094915,1.11864,-0.88505,9.18575,3.52468,-3.41787,-9.13212
Abj,1526,1739354094933,0.45494,-3.4002,9.59043,1.26644,-7.99537,-9.49832
Abj,1527,1739354094951,0.28265,-1.92712,9.33889,5.35568,-4.69957,-7.72835
Abj,1528,1739354094967,0.78335,-0.75793,8.5364,-1.35799,-0.42723,-7.60628
Abj,1529,1739354094976,0.82403,-0.59521,9.72234,-6.42376,-1.76997,-7.85042
Abj,1530,1739354094994,0.82403,-0.59521,9.72234,-3.49416,-1.6479,-6.08808
Abj,1531,1739354095010,0.27547,-1.47428,8.84058,-5.93549,0.5493,-6.21014
Abj,1532,1739354095028,0.59163,-2.10927,8.54597,-1.35799,2.99063,-6.57634
Abj,1533,1739354095044,0.71127,-3.41934,9.89462,-1.05283,-1.22067,-5.90498
Abj,1534,1739354095061,0.10528,-1.9654,9.94278,2.24298,2.5634,-6.45428
Abj,1535,1739354095078,0.90299,-1.36182,10.75245,-1.84626,-2.7465,-6.14911
Abj,1536,1739354095104,0.66102,-2.75115,9.58565,9.25418,2.1972,-5.11154
Abj,1537,1739354095122,0.6347,-2.435,10.12702,7.17905,1.0986,-6.82048
Abj,1538,1739354095137,0.6347,-2.435,10.12702,-1.96833,-2.50237,-5.78291
Abj,1539,1739354095154,0.57009,1.01695,10.72134,-7.70546,-0.61033,-5.23361
Abj,1540,1739354095167,0.35444,-2.16192,10.22782,-3.25003,0.3662,-5.05051
Abj,1541,1739354095181,1.05643,-3.12233,9.89701,0.41198,0.7324,-5.47774
Abj,1542,1739354095193,1.05643,-3.12233,9.89701,-0.50353,0.61033,-6.39324
Abj,1543,1739354095210,0.50309,-2.31027,9.9332,3.46364,0.12207,-5.53878
Abj,1544,1739354095227,0.34008,-1.97498,9.51865,3.40261,-1.6479,-6.75944
Abj,1545,1739354095247,0.71366,-2.54507,9.5665,8.15558,-2.1972,-6.57634
Abj,1546,1739354095263,0.45733,-3.29252,10.3666,7.85042,-3.4789,-7.30112
Abj,1547,1739354095278,0.68734,-2.34856,11.07099,11.39035,-5.3099,-6.33221
Abj,1548,1739354095301,1.16889,-1.20838,8.63241,16.70025,-7.56814,-6.39324
Abj,1549,1739354095317,0.67059,1.17518,10.87448,-6.24066,2.86857,-7.36215
Abj,1550,1739354095333,0.67059,1.17518,10.87448,-13.8088,-1.89203,-5.29464
Abj,1551,1739354095348,0.1675,0.05414,10.07677,0.77818,9.3381,-3.70778
Abj,1552,1739354095359,1.30319,-6.62453,8.8023,2.67021,6.46954,-7.54525
Abj,1553,1739354095378,0.30897,-1.05284,9.92124,4.19604,0.85447,-5.35568
Abj,1554,1739354095395,0.30897,-1.05284,9.92124,0.47301,3.90613,-6.69841
Abj,1555,1739354095412,0.37837,1.28764,10.436,-7.40029,-4.3944,-3.89088
Abj,1556,1739354095430,0.3329,-0.3341,9.01316,-1.23593,4.33337,-4.56224
Abj,1557,1739354095445,0.90299,-3.22313,7.75783,-2.57866,-0.79343,-4.44018
Abj,1558,1739354095463,0.69212,-2.28156,10.09113,-4.34863,3.41787,-4.86741
Abj,1559,1739354095488,-0.20608,-1.42881,10.27328,-7.88856,2.25823,-3.95191
Abj,1560,1739354095506,0.87188,-1.77847,11.7033,-10.63506,-2.5634,-4.98948
Abj,1561,1739354095523,0.46451,-2.54267,9.82523,-1.35799,1.22067,-4.25708
Abj,1562,1739354095536,0.46451,-2.54267,9.82523,-9.29233,-1.52583,-5.53878
Abj,1563,1739354095543,1.02772,-1.90558,10.66361,-5.20309,-2.31927,-3.76881
Abj,1564,1739354095564,0.22283,-3.47946,9.27907,5.72188,4.08923,-7.48422
Abj,1565,1739354095578,0.92692,-2.9019,10.16292,3.58571,0.30517,-5.84394
Abj,1566,1739354095593,0.92692,-2.9019,10.16292,-0.32043,-5.00474,-5.90498
Abj,1567,1739354095612,0.83599,-0.42024,11.92852,-5.99653,-4.0282,-5.05051
Abj,1568,1739354095631,0.57966,-0.12323,8.9031,-6.66789,1.0986,-4.92844
Abj,1569,1739354095646,0.35444,-2.10658,7.7674,-4.53173,0.48827,-5.90498
Abj,1570,1739354095662,0.9006,-6.09512,9.92842,10.04762,3.96717,-7.12564
Abj,1571,1739354095682,0.67059,-5.80289,10.05285,16.15095,-1.22067,-6.51531
Abj,1572,1739354095706,1.04207,2.85195,9.6697,6.63738,-5.6761,-5.41671
Abj,1573,1739354095725,-0.32333,2.78734,8.60369,-4.77586,-10.37567,-4.01294
Abj,1574,1739354095741,-0.32333,2.78734,8.60369,-0.50353,2.25823,-4.62328
Abj,1575,1739354095754,0.89103,-4.30588,7.82034,7.11801,1.4648,-4.68431
Abj,1576,1739354095765,1.08275,-5.26152,9.236,11.81758,5.18784,-4.25708
Abj,1577,1739354095779,0.39751,-0.23599,10.13659,0.90024,5.18784,-6.14911
Abj,1578,1739354095794,0.39751,-0.23599,10.13659,0.41198,1.6479,-3.82984
