ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,501,1739354074370,-0.55695,-2.628,10.35795,8.30359,19.23061,-5.03415
HS,502,1739354074390,0.09105,-0.79395,8.74605,9.5641,14.67703,-6.98794
HS,503,1739354074405,-0.39195,-1.33305,9.92895,2.49738,17.8992,-7.20065
HS,504,1739354074421,-1.17195,-2.86305,8.59305,-0.44118,10.69068,-8.74477
HS,505,1739354074439,-0.66705,-2.346,9.024,-0.9375,17.12714,-8.60296
HS,506,1739354074455,-2.25,-3.30105,9.01395,5.92438,12.02209,-9.50895
HS,507,1739354074470,-2.25,-3.30105,9.01395,8.4454,11.60454,-9.79257
HS,508,1739354074487,-1.776,-1.89795,9.64395,1.02416,12.85717,-11.95906
HS,509,1739354074506,0.21795,-3.438,11.50695,-0.30725,20.20751,-14.20434
HS,510,1739354074524,-0.801,-2.94,9.975,6.34193,13.77104,-15.95329
HS,511,1739354074539,-0.138,-3.40605,10.22805,10.54887,13.91285,-16.37084
HS,512,1739354074556,-1.34505,-1.446,10.94205,9.49319,13.48743,-17.27682
HS,513,1739354074572,-1.431,-2.53305,8.79705,9.77681,11.46274,-17.00109
HS,514,1739354074589,-1.431,-2.53305,8.79705,18.10403,10.20223,-13.50318
HS,515,1739354074601,1.60395,-0.303,7.101,6.48373,9.15443,-19.03366
HS,516,1739354074623,-2.38095,-2.21205,9.228,7.74424,7.75212,-19.5221
HS,517,1739354074638,-2.09205,0.29895,10.49205,-2.26103,12.22692,-21.34196
HS,518,1739354074655,-1.989,-4.44795,9.39495,-3.0331,7.12187,-22.60247
HS,519,1739354074670,-1.12395,-3.201,8.86605,4.73478,8.02785,-22.17705
HS,520,1739354074688,-1.098,-3.76995,10.51605,7.11399,10.27313,-22.94911
HS,521,1739354074704,-0.858,-0.36795,9.68505,9.00475,9.84771,-24.49323
HS,522,1739354074721,-0.858,-0.36795,9.68505,6.62554,11.17912,-25.95857
HS,523,1739354074737,-1.38,-1.53705,9.24,6.62554,5.1602,-27.01424
HS,524,1739354074754,-0.91095,-4.15605,10.65705,10.26525,12.92808,-26.80153
HS,525,1739354074771,-1.74,-4.96995,10.698,11.73847,7.19277,-29.25164
HS,526,1739354074788,-1.479,-2.01495,10.82895,14.46432,14.68491,-27.99114
HS,527,1739354074805,-1.24395,0.29205,11.44005,2.21377,5.51472,-30.37034
HS,528,1739354074822,0.29505,-5.367,8.955,5.36503,8.02785,-28.62139
HS,529,1739354074838,0.29505,-5.367,8.955,11.45486,3.26944,-28.55049
HS,530,1739354074855,-1.17705,-1.074,10.28805,12.15602,2.9228,-27.77843
HS,531,1739354074872,0.43305,-1.266,9.414,0.74843,5.51472,-30.0237
HS,532,1739354074886,-0.54195,-1.86,8.47095,1.23687,1.10294,-28.7632
HS,533,1739354074904,-3.29805,-3.09795,11.78205,-1.00053,11.10822,-28.69229
HS,534,1739354074921,-0.58095,-3.378,8.37795,5.71955,5.01839,-30.65396
HS,535,1739354074938,0.83595,-0.10005,9.79995,5.0893,7.82302,-29.03893
HS,536,1739354074953,0.486,-0.62205,10.58505,2.28467,2.43435,-29.39345
HS,537,1739354074969,0.486,-0.62205,10.58505,-2.68646,11.10822,-29.52738
HS,538,1739354074983,-1.73205,-3.066,8.16495,5.36503,1.17385,-29.32255
HS,539,1739354075002,-2.40795,-4.13205,9.22005,11.73847,5.01839,-29.45647
HS,540,1739354075018,-1.99305,-2.619,9.90495,14.04678,6.3498,-30.71698
HS,541,1739354075042,1.31205,-0.68205,10.54905,8.5872,11.25003,-31.55995
HS,542,1739354075048,-1.38495,-2.12295,8.55195,10.26525,12.16389,-29.74009
