ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739358404748,0.54855,-1.61575,9.1666,-1.41903,4.27234,-0.65611
Abj,502,1739358404762,0.6682,-1.06959,9.49711,-6.36273,-1.89203,-1.02231
Abj,503,1739358404774,-0.25872,-2.17866,7.3675,0.77818,17.56998,0.01526
Abj,504,1739358404797,0.51984,-2.19541,9.67927,0.47301,-0.12207,-2.48711
Abj,505,1739358404812,-0.08644,-2.74158,9.59522,2.48711,-6.71367,-0.71714
Abj,506,1739358404824,-0.08644,-2.74158,9.59522,6.02704,-1.89203,-1.51058
Abj,507,1739358404839,0.72802,-1.57747,10.73091,-4.16553,-9.21604,-0.96128
Abj,508,1739358404856,0.37837,-0.667,10.64686,-0.74766,0.30517,-1.08334
Abj,509,1739358404884,0.94367,-1.44556,10.50808,-0.01526,-1.03757,0.99179
Abj,510,1739358404893,0.0335,-2.32463,8.35693,-1.72419,15.67794,-2.18194
Abj,511,1739358404904,0.0335,-2.32463,8.35693,7.60628,4.3944,-0.41198
Abj,512,1739358404923,0.24915,-2.02762,9.07059,-0.01526,7.20194,-1.02231
Abj,513,1739358404940,0.46211,-1.13659,10.27807,-1.96833,-9.8874,0.25939
Abj,514,1739358404957,0.57009,-1.41685,11.75594,-5.63033,-1.70893,-1.93781
Abj,515,1739358404975,0.1651,-2.8995,10.34986,-3.79933,-0.48827,0.62559
Abj,516,1739358404991,0.32333,-3.10319,10.18954,6.63738,10.92497,-0.83921
Abj,517,1739358405008,0.32333,-3.10319,10.18954,6.69841,0.67137,0.13733
Abj,518,1739358405032,0.73519,-1.61336,10.66601,-0.19836,10.68084,-0.83921
Abj,519,1739358405048,-0.20847,-0.61914,8.85763,-2.45659,-5.55404,-0.83921
Abj,520,1739358405062,0.15075,-2.24566,9.72952,3.70778,0.30517,0.19836
Abj,521,1739358405075,0.34726,-3.17498,8.92942,6.08808,6.2254,0.19836
Abj,522,1739358405097,0.2683,-0.47527,11.7679,3.89088,-9.46017,-1.14438
Abj,523,1739358405116,-0.01196,0.11396,9.7678,-3.67726,-3.1127,-0.47301
Abj,524,1739358405129,-0.01196,0.11396,9.7678,-3.18899,10.49774,-0.53404
Abj,525,1739358405141,0.63709,-0.9018,9.01077,-4.77586,1.03757,-0.10681
Abj,526,1739358405158,-0.02393,-3.63021,8.57229,3.89088,9.8874,-2.05988
Abj,527,1739358405172,0.03829,-1.4671,8.7999,1.32748,9.155,-1.87678
Abj,528,1739358405189,0.03829,-1.4671,8.7999,-0.62559,-5.00474,-2.18194
Abj,529,1739358405207,-0.01196,-0.37478,9.79891,2.18194,-9.46017,-0.77818
Abj,530,1739358405225,0.00479,-3.03859,8.23939,6.99595,15.80001,-3.64674
Abj,531,1739358405242,1.09472,-1.72104,10.24218,-1.17489,-15.99074,-4.07398
Abj,532,1739358405259,-0.69721,0.62662,10.37378,-6.72893,1.03757,-2.36504
Abj,533,1739358405275,1.54756,-1.66122,11.0351,0.47301,9.46017,-3.40261
Abj,534,1739358405299,0.31376,-2.65304,9.66491,1.87678,21.10991,-3.28054
Abj,535,1739358405315,-0.39541,-2.48764,8.51964,-1.23593,-8.2395,-0.65611
Abj,536,1739358405331,-0.39541,-2.48764,8.51964,-0.32043,24.22261,-5.35568
Abj,537,1739358405345,0.91735,-2.46132,11.92852,-4.65379,-21.84231,-3.89088
Abj,538,1739358405358,-0.08166,-1.52213,9.98585,-1.90729,13.06114,-3.46364
Abj,539,1739358405382,0.72323,-0.13998,10.29003,-8.25476,-14.22077,-2.05988
Abj,540,1739358405397,0.33051,-1.75932,9.63111,-7.40029,-7.8733,-1.32748
Abj,541,1739358405414,0.44058,-4.72493,6.67508,3.76881,12.4508,-3.03641
Abj,542,1739358405425,0.44058,-4.72493,6.67508,7.72835,27.39635,-3.15848
Abj,543,1739358405444,0.01196,-0.31974,12.34308,0.10681,-1.0986,-4.62328
