ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,501,1739358699622,-4.13505,-2.14395,14.98095,-3.52154,-7.91756,-2.22952
HS,502,1739358699636,-4.13505,-2.14395,14.98095,-6.67281,24.49323,-2.37133
HS,503,1739358699654,-2.56905,1.173,9.30405,-6.87764,2.44223,0.22059
HS,504,1739358699670,-2.01105,-5.18505,7.33395,5.0893,-16.11086,-2.44223
HS,505,1739358699687,0.65505,0.288,14.019,-8.49267,-10.22586,-0.13393
HS,506,1739358699704,-2.45895,-0.74295,9.975,-17.86769,7.97271,-1.25263
HS,507,1739358699720,1.71105,-3.90105,8.457,-6.87764,9.72166,0.91387
HS,508,1739358699737,1.91505,-6.90405,7.74795,7.4685,-16.5284,3.08824
HS,509,1739358699754,1.91505,-6.90405,7.74795,-0.02363,2.30043,2.31618
HS,510,1739358699770,4.09095,0.90795,12.66795,1.16597,25.95857,5.46745
HS,511,1739358699786,-1.52505,-1.227,4.20195,-6.4601,-44.10987,2.87553
HS,512,1739358699803,0.90705,-0.85605,11.655,2.71009,17.2138,3.23005
HS,513,1739358699819,-2.47605,-1.692,8.92395,1.59139,-10.36767,3.50579
HS,514,1739358699837,1.80195,2.14305,10.59705,1.86713,4.26209,3.15915
HS,515,1739358699853,-1.362,1.707,9.048,-1.41807,-3.93121,2.94644
HS,516,1739358699870,-1.362,1.707,9.048,4.24633,-0.29149,4.76629
HS,517,1739358699886,1.476,-4.23405,6.38805,1.30778,-6.0977,2.38709
HS,518,1739358699903,1.69395,3.82905,13.947,-3.37973,17.48954,2.10347
HS,519,1739358699919,0.66195,-2.22795,3.093,1.44958,-8.96536,7.1455
HS,520,1739358699936,-1.09905,-3.66405,4.638,12.36873,-13.93648,5.68016
HS,521,1739358699953,-0.20295,0.402,24.48405,9.28836,57.39247,1.61502
HS,522,1739358699969,-0.80205,-3.36,2.634,5.71955,55.70654,6.65705
HS,523,1739358699986,3.37005,2.73,7.959,15.10245,-19.46696,1.82774
HS,524,1739358700002,3.37005,2.73,7.959,-7.09035,-36.05838,-1.67017
HS,525,1739358700019,-2.42295,1.94205,17.17395,-1.07143,43.39296,2.5998
HS,526,1739358700036,-2.71995,-4.17195,3.69195,-3.66335,-48.37984,4.76629
HS,527,1739358700052,2.57805,4.662,15.003,-12.13238,-11.97482,1.82774
HS,528,1739358700069,0.60705,-2.13405,6.654,-5.4123,10.84036,2.24528
HS,529,1739358700085,-1.92705,-3.19995,11.44695,-1.84349,-12.47114,1.68593
HS,530,1739358700102,-2.004,-0.00105,12.05505,1.66229,3.00158,-0.96901
HS,531,1739358700119,-2.004,-0.00105,12.05505,5.2311,-2.11135,1.82774
HS,532,1739358700135,1.12395,-3.147,8.68905,6.13709,-8.90233,1.26839
HS,533,1739358700151,0.29595,-1.46895,10.578,1.66229,5.5935,0.91387
HS,534,1739358700168,-3.49095,-0.73095,11.706,-6.4601,2.58404,0.98477
HS,535,1739358700185,-0.48795,-1.54305,10.35105,-5.19959,9.9974,1.41019
HS,536,1739358700201,0.48,-0.90405,7.69995,-2.19013,-5.53835,1.61502
HS,537,1739358700218,-2.89905,-0.28605,10.48695,-5.48321,-2.5998,1.26839
HS,538,1739358700234,-2.89905,-0.28605,10.48695,-1.34717,-3.7185,2.04045
HS,539,1739358700250,-1.875,-5.73105,10.851,9.14655,10.49372,3.64759
HS,540,1739358700267,-2.81595,-6.92295,5.868,16.29206,3.14339,8.96536
HS,541,1739358700284,0.492,3.80505,9.01905,8.02785,-4.00211,2.73372
HS,542,1739358700302,0.61395,-2.50995,12.52905,9.7059,38.13822,5.74319
HS,543,1739358700318,2.02905,-0.29805,4.79805,1.10294,-7.57092,4.34875
HS,544,1739358700334,0.81105,0.32595,12.02205,-0.15756,8.9496,4.49056
HS,545,1739358700351,-2.50905,-2.65395,7.53705,-4.98688,18.11979,4.69539
HS,546,1739358700367,-2.50905,-2.65395,7.53705,-5.05779,7.55517,2.5998
HS,547,1739358700383,-1.71405,-3.78195,8.706,5.30201,7.48426,4.27785
HS,548,1739358700401,-0.19095,3.69705,8.679,0.47269,-11.97482,1.96954
HS,549,1739358700417,-1.27095,1.88895,11.53995,-6.31829,14.13344,0.98477
HS,550,1739358700434,-1.48005,-5.33805,5.28195,3.68698,10.69855,2.04045
HS,551,1739358700449,2.81505,1.09005,10.13295,1.93803,-22.12978,-4.4039
HS,552,1739358700467,-0.012,-0.09195,12.048,-8.7684,31.84356,2.73372
HS,553,1739358700483,-0.012,-0.09195,12.048,-7.79151,32.74955,1.68593
HS,554,1739358700500,-2.58105,-0.40095,7.94205,-10.17072,-5.12081,2.52889
HS,555,1739358700517,-0.08895,-4.98105,11.61495,-1.77259,18.89185,0.98477
HS,556,1739358700533,-0.855,-1.26105,10.602,-9.12292,0.48057,0.35452
HS,557,1739358700550,0.28605,-1.00695,8.36295,-4.56934,-1.19748,2.73372
HS,558,1739358700567,-1.278,-3.91605,5.93505,-4.64024,-24.09144,4.76629
HS,559,1739358700583,-0.82095,-1.917,20.12595,-4.71115,24.00478,-0.13393
HS,560,1739358700600,-3.22305,-4.79205,4.92495,5.86136,53.05159,3.15915
HS,561,1739358700616,-3.22305,-4.79205,4.92495,1.16597,-13.51894,7.28731
HS,562,1739358700631,2.571,2.41605,8.703,2.15074,8.67386,0.00788
HS,563,1739358700650,-1.137,-3.66405,11.42805,-1.41807,13.84982,1.41019
HS,564,1739358700666,0.08805,-2.52,6.261,-2.67858,-3.8603,0.91387
HS,565,1739358700682,0.45195,-4.62705,8.76795,9.43017,19.93965,0.63813
HS,566,1739358700699,0.10905,-0.054,8.847,11.88028,2.85978,0.22059
HS,567,1739358700716,-0.49305,3.95595,9.414,6.42071,27.99114,-0.69328
HS,568,1739358700733,-0.49305,3.95595,9.414,-0.22847,11.95906,3.93121
HS,569,1739358700749,3.54,-1.33995,8.856,1.37868,16.51264,-2.09559
HS,570,1739358700765,-4.57305,-0.516,5.75295,5.37291,13.01474,1.89864
HS,571,1739358700782,1.359,0.85005,9.18495,-6.87764,-15.55151,-6.42859
HS,572,1739358700799,-1.51605,-2.202,10.59705,-1.55988,40.24169,-1.81198
HS,573,1739358700815,1.15305,1.068,11.17905,-7.23216,1.81198,-5.6644
HS,574,1739358700831,-1.56795,-5.094,7.09905,-1.41807,17.77315,-2.51314
HS,575,1739358700849,0.66705,-1.641,11.967,2.07984,-12.11662,-4.19119
HS,576,1739358700865,0.66705,-1.641,11.967,6.69644,9.16231,-4.04938
HS,577,1739358700881,-1.329,-0.12795,7.73805,1.86713,-1.4811,-5.5226
HS,578,1739358700898,-1.89405,-1.54095,14.84505,3.61608,18.82095,-4.04938
HS,579,1739358700913,-0.13395,-2.17995,10.77195,6.3498,20.98744,-6.29466
HS,580,1739358700931,-0.70905,-0.73905,9.02595,8.02785,11.39971,-3.97848
HS,581,1739358700948,1.88805,0.50505,7.87695,9.43017,11.68333,-3.49003
HS,582,1739358700965,0.04695,-2.391,12.44295,3.19854,6.92491,-5.45169
HS,583,1739358700981,0.04695,-2.391,12.44295,6.98006,20.85352,-6.36556
HS,584,1739358700998,-2.1,-2.94405,8.09505,2.00893,3.70274,-9.44593
HS,585,1739358701015,-1.54395,1.791,11.83305,4.52995,22.94911,-6.85401
HS,586,1739358701031,0.54,2.361,6.43305,-6.11346,-14.92125,-13.08564
HS,587,1739358701049,-1.02495,0.036,11.919,0.25998,20.6408,-7.68909
HS,588,1739358701064,-4.104,-6.00105,11.94,-0.78782,-6.51525,-10.1392
HS,589,1739358701081,-1.662,-3.64005,9.43095,1.03204,19.86874,-12.02997
HS,590,1739358701097,-1.662,-3.64005,9.43095,-0.37027,-7.35821,-14.06253
HS,591,1739358701114,-0.09105,-0.21195,12.57705,-0.37027,12.66022,-14.13344
HS,592,1739358701130,0.07305,-3.765,10.425,-2.47375,3.41913,-14.83459
HS,593,1739358701147,-2.92605,0.405,10.128,5.50684,2.78887,-13.99163
HS,594,1739358701164,-0.15795,-6.09705,8.088,5.2311,-6.38132,-16.29993
HS,595,1739358701181,-1.59,-0.79605,10.779,6.98006,-1.05567,-16.93019
HS,596,1739358701197,-0.40905,-0.159,11.43,7.88605,3.21429,-17.91496
HS,597,1739358701214,0.351,-0.55905,6.69195,8.31147,7.9018,-16.93019
HS,598,1739358701231,0.351,-0.55905,6.69195,3.9706,-8.61872,-16.166
HS,599,1739358701247,1.03605,-1.25295,9.615,8.72901,3.07249,-16.22903
HS,600,1739358701264,-1.04895,-2.88405,7.88205,9.01263,-5.32564,-16.0951
HS,601,1739358701280,0.033,2.52405,12.42405,1.03204,1.81198,-16.29993
HS,602,1739358701295,-2.08995,-1.299,10.91805,-4.98688,6.98794,-15.32304
HS,603,1739358701312,-0.429,-3.255,10.212,-9.25685,6.49949,-15.53575
