ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1501,1742632506165,-0.41157,-4.4351,5.25344,23.49306,32.55779,0.83123
Gar,1502,1742632506172,-0.41157,-4.4351,5.25344,19.92316,38.15763,2.93116
Gar,1503,1742632506181,-0.54736,-2.78824,9.33739,-16.89575,-4.96985,0.13125
Gar,1504,1742632506188,-0.54736,-2.78824,9.33739,-42.79499,-28.97915,0.83123
Gar,1505,1742632506199,-0.11844,-2.99641,9.58924,-21.30562,-4.96985,3.00116
Gar,1506,1742632506209,-0.11844,-2.99641,9.58924,8.79349,6.79855,1.39121
Gar,1507,1742632506214,-0.22373,-3.42891,7.38545,18.17322,22.89808,2.02119
Gar,1508,1742632506224,-0.22373,-3.42891,7.38545,22.2331,17.01825,-0.00875
Gar,1509,1742632506230,-0.22373,-3.42891,7.38545,13.90334,6.51856,1.46121
Gar,1510,1742632506239,-0.63589,-1.25683,8.97069,-9.68596,-2.79992,1.11122
Gar,1511,1742632506248,-0.63589,-1.25683,8.97069,-14.37583,-21.13938,0.48124
Gar,1512,1742632506256,-1.20658,-3.87458,8.14696,-6.60606,-11.82965,0.34124
Gar,1513,1742632506264,-1.20658,-3.87458,8.14696,21.67311,8.96849,-3.08866
Gar,1514,1742632506273,0.91466,-2.76251,6.5007,28.8829,6.72855,-0.98872
Gar,1515,1742632506281,0.91466,-2.76251,6.5007,24.12304,17.01825,0.90122
Gar,1516,1742632506289,0.91466,-2.76251,6.5007,26.50297,3.29865,-3.99863
Gar,1517,1742632506300,-2.10748,-0.22851,8.08056,32.59279,16.45827,-3.57864
Gar,1518,1742632506308,-2.10748,-0.22851,8.08056,7.60353,-0.41999,-1.89869
Gar,1519,1742632506317,-0.00718,-1.45244,12.28236,-19.76567,-28.97915,-3.22865
Gar,1520,1742632506323,-0.00718,-1.45244,12.28236,-13.74585,-7.13979,0.20124
Gar,1521,1742632506332,-0.20518,-2.48315,8.64886,19.50318,-11.54966,-7.28854
Gar,1522,1742632506341,-0.20518,-2.48315,8.64886,35.88269,34.65773,-2.59867
Gar,1523,1742632506349,-0.20518,-2.48315,8.64886,38.61261,15.89828,-7.84852
Gar,1524,1742632506359,-0.82552,-2.59382,4.602,37.49265,-4.33987,-4.48862
Gar,1525,1742632506365,-0.82552,-2.59382,4.602,42.18251,37.45765,-7.56853
Gar,1526,1742632506376,-0.42054,-0.59103,12.89372,-11.8559,-26.66921,-2.80867
Gar,1527,1742632506384,-0.42054,-0.59103,12.89372,-30.33536,-41.15879,-3.92863
Gar,1528,1742632506391,-0.38345,-2.93001,10.64268,-7.23604,-21.27937,-6.86855
Gar,1529,1742632506399,-0.38345,-2.93001,10.64268,18.31321,15.2683,-3.64864
Gar,1530,1742632506408,-0.38345,-2.93001,10.64268,47.50235,25.418,-6.16857
Gar,1531,1742632506415,0.0341,-0.80518,12.22373,0.88372,-0.90997,-4.13863
Gar,1532,1742632506424,0.0341,-0.80518,12.22373,-15.63579,-6.29981,-4.9786
Gar,1533,1742632506432,0.00299,-1.24128,11.63091,-10.45594,-18.61945,-2.52868
Gar,1534,1742632506441,0.00299,-1.24128,11.63091,10.40344,13.93834,-4.48862
Gar,1535,1742632506449,0.01196,-3.1687,11.07997,25.17301,10.29845,-5.95857
Gar,1536,1742632506457,0.01196,-3.1687,11.07997,17.33324,10.29845,-5.74858
Gar,1537,1742632506467,0.01196,-3.1687,11.07997,-4.85611,0.27999,-4.76861
Gar,1538,1742632506475,-0.60479,-1.70369,13.71327,-15.63579,-11.75965,-4.41862
