ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,1251,1739352598692,0.56261,0.1346,11.21217,103.54691,-1.35036,57.46291
RV,1252,1739352598711,-1.80867,-5.51247,8.03211,28.10968,-0.43486,1.9607
RV,1253,1739352598722,-1.80867,-5.51247,8.03211,-1.40758,11.97398,0.71333
RV,1254,1739352598738,0.62722,-6.53659,8.37907,9.60131,14.18263,11.19581
RV,1255,1739352598758,-0.95204,-0.0664,12.16212,8.39209,9.53646,6.36273
RV,1256,1739352598777,-2.55045,-2.52622,7.88615,12.16471,9.61275,12.17234
RV,1257,1739352598792,-5.35484,-3.85663,10.04208,-71.39758,-4.35244,-43.3909
RV,1258,1739352598809,-3.67029,-1.2006,9.31705,-73.40787,-0.40053,-30.71122
RV,1259,1739352598825,-3.67029,-1.2006,9.31705,-68.63201,-0.43486,-25.10378
RV,1260,1739352598850,-0.7343,0.96969,12.85365,-9.32666,2.09039,8.81551
RV,1261,1739352598870,-1.91635,-1.09531,13.09771,2.41463,-3.96717,7.81608
RV,1262,1739352598885,-3.27787,-0.67896,10.97528,2.47185,-4.33718,6.54583
RV,1263,1739352598897,-0.66491,-2.97607,6.84527,2.02173,-2.44515,6.57634
RV,1264,1739352598910,0.17258,0.62752,14.38266,1.6746,-0.70951,7.28204
RV,1265,1739352598927,-2.66531,3.78365,11.46342,26.16424,-12.40884,3.16229
RV,1266,1739352598947,-2.66531,3.78365,11.46342,29.6584,10.04762,33.09534
RV,1267,1739352598964,1.87627,-4.03609,10.45125,1.82719,-4.34481,-8.6057
RV,1268,1739352598979,-4.23739,1.7019,7.75933,-7.87712,7.4804,0.70188
RV,1269,1739352598997,0.10798,-1.65524,6.8668,11.94347,27.06067,37.27231
RV,1270,1739352599013,2.33809,-3.15553,8.88874,5.86302,15.18968,14.51449
RV,1271,1739352599026,2.33809,-3.15553,8.88874,4.09686,11.0623,7.23245
RV,1272,1739352599043,0.85932,-0.89192,9.54198,-13.09165,8.20517,-9.42965
RV,1273,1739352599060,-2.0336,-0.6335,9.7669,-29.45241,1.09479,-31.83653
RV,1274,1739352599075,0.44297,-0.09511,9.6688,-24.12343,2.18576,-27.91132
RV,1275,1739352599092,1.85952,-1.60977,8.50828,19.51542,-0.07248,-6.91203
RV,1276,1739352599109,0.62243,-2.866,8.59921,6.28262,-12.44318,-32.48882
RV,1277,1739352599128,-1.57896,-2.51665,5.51007,2.80372,-11.71078,-30.84473
RV,1278,1739352599150,-3.49322,0.51266,14.80858,4.16171,-2.13617,-12.10749
RV,1279,1739352599164,-3.49322,0.51266,14.80858,17.87514,-3.02497,-4.07779
RV,1280,1739352599178,-4.4336,-4.77308,12.22194,15.94115,-2.89527,-2.6931
RV,1281,1739352599195,-3.76122,-4.45962,11.68595,-20.82382,-2.22009,-16.96346
RV,1282,1739352599211,-5.61087,3.19023,12.62633,-43.64648,-5.14206,-32.08829
