ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,7001,1739356216355,0.25633,-1.62532,8.94617,1.75471,5.18784,8.86509
Abj,7002,1739356216373,0.28504,-1.04806,9.84676,-3.43313,-0.12207,8.43786
Abj,7003,1739356216392,0.42144,-1.72822,10.96062,-1.41903,-0.06103,8.86509
Abj,7004,1739356216409,0.42144,-1.72822,10.96062,-0.93076,6.2254,8.49889
Abj,7005,1739356216424,0.20847,-2.6674,9.69602,0.90024,5.43197,7.03409
Abj,7006,1739356216442,0.32094,-1.86251,10.23979,1.44954,4.5775,7.46133
Abj,7007,1739356216466,0.17946,-1.1342,10.10788,-1.35799,5.8592,7.15616
Abj,7008,1739356216475,0.58205,-1.33789,10.34986,-1.96833,6.34747,6.66789
Abj,7009,1739356216490,0.21326,-1.59661,9.21925,0.59508,9.155,6.60686
Abj,7010,1739356216508,0.21326,-1.59661,9.21925,0.22888,8.30054,5.75239
Abj,7011,1739356216524,0.07178,-1.93908,8.76641,0.10681,5.00474,5.50826
Abj,7012,1739356216541,0.38794,-1.51496,9.57847,0.04578,4.15027,5.75239
Abj,7013,1739356216560,0.52702,-1.53171,9.98824,-0.93076,3.41787,5.50826
Abj,7014,1739356216583,0.0335,-1.47667,8.77358,-1.54109,2.50237,4.65379
Abj,7015,1739356216600,0.31137,-1.33549,9.20728,-3.43313,2.44133,4.10449
Abj,7016,1739356216610,0.24915,-2.17627,9.32453,-1.29696,3.78407,4.04346
Abj,7017,1739356216622,0.24915,-2.17627,9.32453,0.04578,4.45543,3.37209
Abj,7018,1739356216640,0.47438,-2.23131,9.32214,-1.72419,1.6479,3.06693
Abj,7019,1739356216657,0.42861,-1.13659,10.89841,-1.35799,0.42723,3.06693
Abj,7020,1739356216674,0.03111,-2.07069,9.30539,-0.80869,6.10334,3.12796
Abj,7021,1739356216692,0.27547,-1.48624,9.98345,-0.68663,2.50237,1.96833
Abj,7022,1739356216715,0.55095,-1.49821,10.46262,-0.56456,6.28644,1.66316
Abj,7023,1739356216723,0.55095,-1.49821,10.46262,1.44954,5.8592,2.51763
Abj,7024,1739356216740,0.59402,-2.45892,10.06481,1.08334,5.493,1.54109
Abj,7025,1739356216758,0.39511,-1.11745,9.97628,-0.25939,5.00474,1.72419
Abj,7026,1739356216775,0.22044,-1.69232,9.83719,-1.11386,1.40377,2.02936
Abj,7027,1739356216793,0.64666,-1.18205,10.45544,-3.00589,5.6761,1.90729
Abj,7028,1739356216812,0.64666,-1.18205,10.45544,0.90024,5.73714,1.84626
Abj,7029,1739356216829,0.2994,-2.76072,8.59173,-0.50353,5.98127,1.54109
Abj,7030,1739356216847,0.08853,-0.9999,9.06102,-1.66316,1.76997,1.29696
