ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739356339984,-0.04068,-2.38475,8.57229,2.12091,11.77944,1.72419
Abj,502,1739356340000,0.81924,-1.2323,10.36421,-4.10449,-10.6198,2.51763
Abj,503,1739356340027,-0.25394,-2.30788,10.1007,-0.44249,-2.62443,2.15143
Abj,504,1739356340045,0.15553,-3.36431,9.89941,4.92844,-3.41787,0.25939
Abj,505,1739356340061,-0.2659,-1.74018,10.54158,9.55935,-9.46017,0.68663
Abj,506,1739356340076,0.21565,-1.29691,9.77498,5.11154,2.9296,-0.53404
Abj,507,1739356340089,0.21565,-1.29691,9.77498,7.54525,-15.56351,0.32043
Abj,508,1739356340100,0.19143,-0.64307,9.4349,6.08808,-3.662,-0.41198
Abj,509,1739356340123,0.41186,-1.42164,9.04427,6.33221,-5.18784,0.38146
Abj,510,1739356340141,0.23001,-0.44895,9.07059,1.44954,-1.15963,0.32043
Abj,511,1739356340156,0.46959,-0.4681,10.66122,-2.76176,-7.01884,-0.16784
Abj,512,1739356340163,0.46959,-0.4681,10.66122,-0.56456,-9.09397,0.50353
Abj,513,1739356340181,0.01914,-3.35234,9.17857,4.98948,1.34273,-0.35094
Abj,514,1739356340203,0.71845,-3.19442,10.06002,7.11801,-11.47427,0.25939
Abj,515,1739356340218,0.2324,-0.73878,10.56551,7.85042,-2.68547,0.13733
Abj,516,1739356340235,0.15553,-0.01795,9.78694,0.10681,-11.96254,0.50353
Abj,517,1739356340251,0.15553,-0.01795,9.78694,-5.01999,0.0,0.13733
Abj,518,1739356340275,0.06461,-0.42503,9.67209,-5.50826,-6.2254,1.35799
Abj,519,1739356340292,0.72562,-2.8014,11.11167,-1.23593,0.97653,1.54109
Abj,520,1739356340307,0.27787,-3.05055,10.52722,1.75471,0.24413,0.01526
Abj,521,1739356340322,-0.00718,-0.99512,10.35943,-1.11386,-3.1127,1.41903
Abj,522,1739356340343,0.4334,-1.33071,10.65883,-5.20309,-5.73714,1.23593
Abj,523,1739356340354,0.31376,-1.9008,10.55354,-4.28759,-6.9578,0.86973
Abj,524,1739356340367,0.31376,-1.9008,10.55354,-3.37209,-1.03757,1.41903
Abj,525,1739356340381,0.54855,-1.93669,9.24078,-1.90729,-1.58687,3.00589
Abj,526,1739356340404,0.26351,-1.85294,8.99881,-0.86973,5.06577,3.18899
Abj,527,1739356340422,0.21326,-0.44177,10.99442,-4.47069,-15.38041,2.27349
Abj,528,1739356340438,-0.15344,-2.60728,9.77259,-1.41903,-7.01884,2.57866
Abj,529,1739356340449,-0.15344,-2.60728,9.77259,-4.40966,3.05167,3.73829
Abj,530,1739356340466,0.6658,-2.39432,9.54258,-2.21246,-15.38041,2.70073
