ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,5001,1739352469047,0.98016,-1.1004,9.21386,4.7339,5.7791,14.86544
Ak,5002,1739352469064,1.899,-0.87547,9.82643,10.3566,8.96809,9.16645
Ak,5003,1739352469080,1.07109,-1.80867,9.50818,11.87862,6.16055,4.88267
Ak,5004,1739352469094,1.07109,-1.80867,9.50818,9.29233,5.20309,7.23245
Ak,5005,1739352469110,2.13589,-2.30877,10.34088,5.70662,-0.40816,8.09836
Ak,5006,1739352469126,1.63579,-1.18654,9.56322,4.52791,-4.65379,7.27441
Ak,5007,1739352469144,0.80309,-0.27009,10.49163,-2.04843,-11.26828,12.20286
Ak,5008,1739352469160,1.25055,-0.87787,9.63021,-5.18021,-9.50213,16.65829
Ak,5009,1739352469178,0.82941,-0.40648,9.56322,-0.81632,-10.24979,11.8481
Ak,5010,1739352469196,0.82941,-0.40648,9.56322,1.11004,-7.33163,10.98982
Ak,5011,1739352469212,1.26491,-0.87547,9.69243,1.76615,-5.26031,9.91029
Ak,5012,1739352469228,1.64536,-2.81127,9.50818,3.18899,-3.18518,8.44549
Ak,5013,1739352469247,1.85354,-0.8659,9.96042,5.24124,1.93018,6.41232
Ak,5014,1739352469259,0.89402,-2.31595,9.61586,5.75239,3.52468,3.94428
Ak,5015,1739352469276,0.49202,0.54586,9.38375,2.73506,2.63206,5.87446
Ak,5016,1739352469295,0.49202,0.54586,9.38375,-0.9155,2.67784,8.14032
Ak,5017,1739352469312,1.02084,-0.58834,9.47947,-5.30227,1.90348,11.19199
Ak,5018,1739352469331,1.39412,-0.39452,9.49143,-6.7747,2.39556,11.92821
Ak,5019,1739352469345,1.34387,-1.82782,9.94846,-6.57634,3.30725,11.8748
Ak,5020,1739352469364,1.09741,-1.04058,9.67089,-2.76176,6.39324,9.4945
Ak,5021,1739352469382,1.73629,-3.18455,10.50599,-1.9874,8.72014,10.18494
Ak,5022,1739352469391,1.73629,-3.18455,10.50599,-1.37325,6.44665,10.90971
Ak,5023,1739352469410,1.28644,-0.55484,10.13749,-0.16784,3.97861,9.87978
Ak,5024,1739352469431,2.03539,-0.97837,10.00828,-0.32805,3.42931,9.70049
Ak,5025,1739352469445,1.45872,-0.95683,9.43161,-1.38088,2.30019,9.9637
Ak,5026,1739352469463,1.01366,-0.50937,9.8695,-5.20691,-3.05167,10.2002
Ak,5027,1739352469479,0.68824,-0.51655,8.91476,-2.52144,-3.48272,4.85215
Ak,5028,1739352469494,0.68824,-0.51655,8.91476,-1.66316,-2.44896,3.36828
Ak,5029,1739352469508,1.42523,-1.07647,9.53929,-1.23593,-1.53346,2.52526
Ak,5030,1739352469528,1.58076,-2.44517,9.18276,4.87885,-0.17547,-5.21454
Ak,5031,1739352469545,1.68604,0.08883,9.70678,1.86533,-1.52965,-4.93989
Ak,5032,1739352469561,1.49222,-2.31356,9.57039,2.85331,-1.8043,-6.60686
Ak,5033,1739352469577,1.27926,-0.22941,10.11117,1.58305,-1.79667,-4.77967
Ak,5034,1739352469596,1.27926,-0.22941,10.11117,1.08716,-3.92902,-3.91376
Ak,5035,1739352469611,1.21944,-0.92812,9.78096,-0.53404,-8.5523,-3.11652
Ak,5036,1739352469630,0.8318,-0.8013,9.81925,-2.2506,-9.78822,-0.47301
Ak,5037,1739352469643,1.74108,-1.79432,9.78814,-3.7917,-7.91908,6.1987
Ak,5038,1739352469661,1.69083,-0.87069,10.6017,-0.83921,-5.08866,7.61391
Ak,5039,1739352469680,1.73629,-0.75344,10.12074,-1.23211,-2.99826,9.78822
Ak,5040,1739352469693,1.73629,-0.75344,10.12074,-0.40816,-1.75852,8.97953
Ak,5041,1739352469714,0.76481,-0.27966,9.45315,-0.10681,3.32632,9.09778
Ak,5042,1739352469728,0.89641,-0.82283,9.98435,0.45775,4.24182,8.18228
Ak,5043,1739352469744,0.99212,-1.98574,9.367,4.00913,5.55022,4.27234
Ak,5044,1739352469760,2.03061,-1.01186,9.68046,6.49242,4.73771,1.14438
Ak,5045,1739352469775,2.03061,-1.01186,9.68046,8.7621,4.05109,-1.8043
Ak,5046,1739352469795,1.30319,-1.15543,9.63978,8.1327,2.44896,-3.14703
Ak,5047,1739352469813,1.08544,-2.89262,9.64218,5.93549,0.5493,-3.26147
