ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,3501,1739356156478,-0.267,-0.54,8.88,-1.56776,-0.4333,1.6229
HS,3502,1739356156493,0.567,-0.945,9.723,-0.72479,2.08771,1.33929
HS,3503,1739356156510,1.698,-0.67905,9.09795,-2.68646,2.15862,1.552
HS,3504,1739356156526,-0.621,-0.50505,8.397,0.81933,-3.58457,1.27626
HS,3505,1739356156543,-0.01095,-0.129,10.35495,-0.58298,2.43435,1.6229
HS,3506,1739356156561,-1.64895,-0.79905,10.08495,-0.51208,-0.01576,0.64601
HS,3507,1739356156576,0.9,-1.302,9.97905,-2.61555,0.26786,0.85084
HS,3508,1739356156591,0.9,-1.302,9.97905,-2.54465,-2.60767,1.6229
HS,3509,1739356156609,-0.399,-1.50495,9.14595,-0.30725,-6.94067,1.06355
HS,3510,1739356156626,-0.99,-2.142,10.89195,-1.00053,-0.29149,1.76471
HS,3511,1739356156641,0.261,-2.24295,8.907,1.79622,-3.51366,1.96954
HS,3512,1739356156658,-0.32895,-1.13895,10.52805,1.02416,1.31565,2.6707
HS,3513,1739356156678,-1.524,-0.37305,9.831,-0.16544,1.17385,2.95431
HS,3514,1739356156688,0.117,-2.214,9.54795,-0.23635,-3.72637,2.04045
HS,3515,1739356156708,0.117,-2.214,9.54795,-0.16544,-4.14392,2.25316
HS,3516,1739356156725,-1.00905,-1.395,9.77295,1.16597,-4.00211,2.53677
HS,3517,1739356156742,0.354,-1.47705,9.07905,0.81933,-0.78782,2.7416
HS,3518,1739356156760,-1.09305,-0.873,9.89805,-1.21324,-0.01576,3.02522
HS,3519,1739356156775,0.177,-1.158,9.654,-0.9375,1.17385,2.32406
HS,3520,1739356156791,0.35205,-1.13205,9.53895,0.18908,-0.57511,2.53677
HS,3521,1739356156810,-0.717,-0.11205,9.687,-0.02363,-1.06355,2.81251
HS,3522,1739356156826,0.57,-0.54795,9.48405,-1.07143,-1.41019,2.46587
HS,3523,1739356156844,-0.57105,-1.27995,9.63705,0.53572,-5.68016,2.04045
HS,3524,1739356156858,-0.57105,-1.27995,9.63705,-0.23635,0.54359,2.88341
HS,3525,1739356156874,-0.411,-0.61005,9.18705,0.46481,-3.8603,2.25316
HS,3526,1739356156886,0.99405,-1.407,9.759,0.2521,-1.41019,2.95431
HS,3527,1739356156905,-1.75905,-1.20405,9.96495,-0.30725,0.6854,2.7416
HS,3528,1739356156924,0.28695,-1.43595,9.891,-0.65389,0.89811,3.51366
HS,3529,1739356156941,0.03795,-1.12695,9.88095,-0.51208,-0.5042,3.44276
HS,3530,1739356156958,0.03795,-1.12695,9.88095,-1.00053,-1.69381,3.37186
HS,3531,1739356156974,-0.30105,-0.97605,9.249,0.74843,-2.5998,3.23793
HS,3532,1739356156991,0.53205,-1.05495,9.08205,-0.16544,-1.76471,2.88341
HS,3533,1739356157008,-1.407,-1.26405,9.927,0.04727,-3.8603,3.72637
HS,3534,1739356157024,-0.99495,-1.88805,9.216,0.95326,-1.89864,3.65547
HS,3535,1739356157041,-0.684,-1.72995,10.734,-0.8666,2.37133,3.65547
