ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,6251,1739356435353,-0.44895,-1.254,10.104,1.23687,-2.24528,-0.20483
HS,6252,1739356435370,-0.79605,-1.788,9.675,0.25998,-1.41019,0.07878
HS,6253,1739356435389,-2.376,-0.81105,10.57305,-2.04832,-3.93121,-0.33876
HS,6254,1739356435408,0.45705,-0.60795,10.54695,-3.30883,-2.31618,-0.33876
HS,6255,1739356435424,0.19395,-1.73505,9.501,0.47269,-5.04991,-0.55147
HS,6256,1739356435441,0.19395,-1.73505,9.501,0.25998,0.20483,0.35452
HS,6257,1739356435458,-1.20105,-0.15495,9.75195,-1.70168,-3.8603,-0.48057
HS,6258,1739356435474,-1.16295,-0.6,11.14095,-0.15756,-0.00788,0.22059
HS,6259,1739356435489,-0.96105,-1.46505,9.168,-0.15756,-6.79886,-0.83509
HS,6260,1739356435503,-1.02795,-0.52395,9.88605,-1.70168,-0.85084,0.14969
HS,6261,1739356435518,-1.02795,-0.52395,9.88605,0.81933,-2.04045,0.22059
HS,6262,1739356435535,-0.138,-1.75395,8.55,0.18908,1.46534,-0.06303
HS,6263,1739356435552,-0.25005,-1.977,9.49605,-0.29937,-3.30095,0.56723
HS,6264,1739356435570,-1.04295,0.771,10.08705,0.67752,-0.42542,0.92175
HS,6265,1739356435586,0.07905,-1.01505,8.86395,0.81933,-1.54412,0.14969
HS,6266,1739356435603,-0.339,-0.91395,9.79995,0.81933,0.20483,0.77994
HS,6267,1739356435619,-1.17705,-0.59805,10.28295,-0.78782,-3.15915,1.12658
HS,6268,1739356435637,-2.03895,-2.166,8.24805,0.25998,1.53624,1.75683
HS,6269,1739356435652,-2.03895,-2.166,8.24805,-2.11923,-9.4538,1.12658
HS,6270,1739356435669,-0.48705,-0.33195,12.132,-1.00053,0.83509,1.89864
HS,6271,1739356435686,-1.29405,-1.40505,10.53195,0.89023,0.27574,1.89864
HS,6272,1739356435706,-0.60195,-0.84705,10.05105,0.47269,-0.42542,1.75683
HS,6273,1739356435722,0.01905,-0.28905,9.78495,-2.89129,-3.7185,1.552
HS,6274,1739356435730,-0.79905,-1.09095,9.61305,-0.65389,2.22952,1.68593
HS,6275,1739356435750,-1.323,-1.22295,9.333,0.40179,-4.979,1.75683
HS,6276,1739356435769,-0.576,-1.42395,10.695,-1.27626,-1.41019,2.11135
HS,6277,1739356435787,-0.576,-1.42395,10.695,-0.92962,-2.38709,2.31618
HS,6278,1739356435805,-0.52095,-0.60795,9.984,-0.44118,-0.70904,2.94644
HS,6279,1739356435820,-0.48,-1.60605,9.65595,-0.85872,-0.07878,2.5998
HS,6280,1739356435835,-0.222,-1.40205,9.02895,1.66229,-2.45799,3.50579
HS,6281,1739356435850,-1.254,-1.13205,10.58295,0.18908,1.67017,3.23005
HS,6282,1739356435870,-1.773,-0.45705,9.24195,-1.27626,-0.49632,3.01734
HS,6283,1739356435890,-0.66,-0.91605,9.58905,-2.26103,-3.23005,3.30095
HS,6284,1739356435907,0.417,-1.515,10.623,-2.60767,0.06303,3.37186
HS,6285,1739356435923,0.417,-1.515,10.623,-1.84349,3.2852,3.57669
HS,6286,1739356435939,-1.20795,-0.579,9.19905,-1.41807,1.59927,3.08824
HS,6287,1739356435954,-1.167,-0.86895,9.77805,-0.58298,0.97689,2.94644
HS,6288,1739356435972,-1.64895,-3.23595,10.65,0.47269,5.03415,3.08824
HS,6289,1739356435990,-1.20105,-0.34395,10.09695,0.60662,1.25263,2.94644
HS,6290,1739356436008,-1.90695,-0.51405,10.494,-0.71691,3.98635,3.01734
HS,6291,1739356436026,-0.933,-0.924,9.98205,-1.55988,-0.14969,2.7416
HS,6292,1739356436042,-0.753,-0.46395,10.116,-1.70168,-0.28361,2.81251
HS,6293,1739356436058,-1.428,-1.20105,10.55595,-2.04832,-3.15915,2.38709
HS,6294,1739356436074,-1.428,-1.20105,10.55595,0.04727,2.02469,2.52889
HS,6295,1739356436092,-0.171,-0.76305,8.83305,-0.15756,1.67017,2.45799
HS,6296,1739356436110,0.74205,-1.539,9.09405,1.66229,-4.41965,2.31618
HS,6297,1739356436129,-0.909,-0.11895,9.03795,-0.65389,2.44223,2.04045
HS,6298,1739356436146,-1.54095,-0.627,9.16095,-0.92962,-0.00788,2.24528
HS,6299,1739356436161,-1.15995,-2.391,9.01905,-0.15756,1.11082,1.96954
HS,6300,1739356436183,-1.14105,0.27,9.67305,-0.71691,1.03992,1.82774
HS,6301,1739356436201,-0.35805,-1.29195,9.51,-1.90652,3.56093,0.92175
HS,6302,1739356436218,-0.279,-0.98295,9.666,-4.00999,1.11082,1.19748
HS,6303,1739356436234,-0.43905,-1.76595,10.31505,-1.84349,3.77364,0.85084
HS,6304,1739356436250,-1.96905,-1.01205,9.56295,0.74843,2.65494,0.99265
HS,6305,1739356436269,-1.96905,-1.01205,9.56295,-0.71691,0.27574,0.56723
HS,6306,1739356436286,-1.74405,-0.33495,10.95105,-2.33194,0.20483,0.22059
HS,6307,1739356436303,-1.24395,-0.05895,9.735,-2.11923,-4.8372,-0.48057
HS,6308,1739356436320,-1.29195,-2.15895,9.17295,-1.77259,-5.04991,-0.13393
HS,6309,1739356436335,-1.93605,-0.55695,9.70395,-1.55988,-1.75683,-0.20483
HS,6310,1739356436351,0.20595,-3.081,10.164,-3.86818,0.90599,-0.26786
HS,6311,1739356436367,-0.28905,-0.375,8.81295,1.66229,-0.07878,0.29149
HS,6312,1739356436385,0.58695,-1.78995,10.518,2.78099,-0.49632,-0.40966
HS,6313,1739356436401,-0.46095,0.49005,10.97805,-1.21324,3.91545,0.29149
HS,6314,1739356436418,-0.46095,0.49005,10.97805,-1.48897,5.30989,-0.06303
HS,6315,1739356436436,-0.17595,-1.69695,6.97005,-2.74948,-10.29677,0.3624
HS,6316,1739356436454,-0.56205,-1.005,11.38995,-0.02363,4.12028,0.70904
