ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,4751,1739352250361,-0.09781,-4.00738,9.18784,9.28088,0.9689,15.0905
RV,4752,1739352250373,-0.09781,-4.00738,9.18784,7.70928,1.71656,10.20783
RV,4753,1739352250390,0.28744,-1.04028,10.53979,2.62062,3.19662,-3.83366
RV,4754,1739352250407,-0.91615,-2.42572,9.48455,2.00647,2.60155,-5.87446
RV,4755,1739352250424,0.42622,-1.6002,10.42254,0.5226,1.71656,-9.56316
RV,4756,1739352250440,0.24437,-1.78923,9.45105,-6.76707,2.26968,-23.15453
RV,4757,1739352250457,0.24437,-1.78923,9.45105,-8.58663,1.33892,-25.53483
RV,4758,1739352250478,-0.13609,-1.34656,10.36511,-11.66119,4.27234,-33.86207
RV,4759,1739352250490,-0.10499,-3.56949,9.48694,-8.78499,3.8451,-28.49113
RV,4760,1739352250505,0.05533,-0.79621,10.39382,-6.82048,3.33013,-25.1076
RV,4761,1739352250521,0.58415,-1.61456,8.403,-4.09686,4.84452,-22.52894
RV,4762,1739352250538,0.58415,-1.61456,8.403,-1.14819,3.2691,-16.33024
RV,4763,1739352250556,0.40229,-1.31545,10.83889,3.71541,2.20864,-6.95017
RV,4764,1739352250572,0.27308,-2.91147,9.12563,0.80106,2.97538,-13.30909
RV,4765,1739352250592,0.24676,-1.89691,10.31965,-3.4789,3.78788,-21.38075
RV,4766,1739352250609,-0.6003,-1.83709,10.03251,-4.63091,1.16726,-18.9623
RV,4767,1739352250625,-0.21505,-1.69591,9.30748,-4.08923,1.78904,-17.24192
RV,4768,1739352250637,-0.21505,-1.69591,9.30748,-3.36828,2.34216,-14.72811
RV,4769,1739352250654,-0.20788,-1.70788,9.48934,-3.61623,2.44515,-14.06819
RV,4770,1739352250671,-0.3682,-2.18883,10.60918,-6.03467,4.69957,-16.68118
RV,4771,1739352250688,0.28026,-2.17926,9.59701,-4.43636,7.11801,-15.41474
RV,4772,1739352250706,0.17737,-2.30608,11.02553,-3.10889,7.33545,-14.03004
RV,4773,1739352250722,-0.39691,-1.57149,9.86979,-0.82395,3.61623,-7.8199
RV,4774,1739352250743,0.19651,-0.92303,10.38665,-0.14495,3.15848,-5.51207
RV,4775,1739352250761,0.19651,-0.92303,10.38665,2.08276,1.54109,-1.1253
RV,4776,1739352250779,0.27787,-1.34895,10.36032,3.18899,0.74003,0.48445
RV,4777,1739352250793,0.11515,-1.55952,9.75494,4.31048,-1.4114,3.10126
RV,4778,1739352250809,0.50279,-1.7342,9.85065,4.61946,-5.47774,7.67113
RV,4779,1739352250826,-0.07627,-1.94237,8.9677,5.75621,-8.16321,12.89711
RV,4780,1739352250841,-0.42323,-2.68893,8.99881,5.27939,-8.56756,13.93849
RV,4781,1739352250858,-0.42323,-2.68893,8.99881,6.84718,-9.84163,18.32527
RV,4782,1739352250876,-0.04277,-2.3348,9.84587,1.62883,-8.10218,9.06345
RV,4783,1739352250892,0.46929,-1.04267,10.04926,-1.55635,-5.72569,2.91053
RV,4784,1739352250915,0.53868,-1.2341,9.2668,-3.01734,-4.17697,-0.45012
RV,4785,1739352250926,-0.09063,-1.1336,9.95594,-3.47127,-3.79933,-0.37001
RV,4786,1739352250943,-0.05713,-1.62891,9.65683,-1.72801,-2.62825,4.7606
RV,4787,1739352250955,-0.05713,-1.62891,9.65683,-1.43428,-0.95365,4.49358
RV,4788,1739352250977,-0.06909,-3.08854,10.33879,1.55635,1.81193,6.13004
RV,4789,1739352250994,-0.55962,-1.81316,10.468,5.18021,1.86152,8.8918
RV,4790,1739352251010,-0.08824,-2.44965,9.40798,7.46896,5.27939,-1.48387
RV,4791,1739352251025,0.21326,-1.22931,10.53261,5.19165,8.31579,-13.3129
RV,4792,1739352251044,0.87607,-2.34198,10.23829,3.92521,8.19373,-18.88601
RV,4793,1739352251066,0.47647,-0.801,10.10908,-1.23211,8.33868,-25.43947
RV,4794,1739352251085,0.74207,-2.06201,9.11127,-1.80811,6.88914,-21.04888
RV,4795,1739352251098,0.74207,-2.06201,9.11127,-2.39174,6.62593,-20.44999
RV,4796,1739352251119,0.14865,-3.08614,9.80519,-2.97919,5.13825,-15.03709
RV,4797,1739352251129,-0.31077,-2.52144,10.47518,-6.84337,3.8718,-11.37891
RV,4798,1739352251140,-0.31077,-2.52144,10.47518,-7.04935,2.7198,-7.4537
RV,4799,1739352251158,-0.32991,-0.35354,9.37687,-6.25973,1.70512,-3.95954
RV,4800,1739352251175,-1.01186,-1.44706,10.14258,-4.94752,1.55635,-3.32632
RV,4801,1739352251195,-0.45194,-2.2343,9.12323,-2.27731,2.08276,-1.19396
RV,4802,1739352251215,0.3999,-3.00239,10.65225,-1.38469,1.86533,-0.40053
RV,4803,1739352251228,-0.27727,-2.42094,10.29332,-2.45659,3.13177,-7.19431
RV,4804,1739352251241,0.09123,-1.34656,10.70968,0.15258,3.77644,-13.18702
RV,4805,1739352251257,0.09123,-1.34656,10.70968,0.7591,3.95191,-15.54062
RV,4806,1739352251273,-0.85155,-1.95195,9.38645,5.15732,1.96451,-6.62593
RV,4807,1739352251293,0.12712,-2.78943,9.78365,4.48595,1.94162,-6.61449
RV,4808,1739352251309,-0.67687,-1.35613,9.4678,2.80753,2.39937,-9.46017
RV,4809,1739352251327,-0.53091,-1.24606,10.29811,0.82395,2.50237,-10.97075
RV,4810,1739352251342,-0.75344,-2.56211,9.81715,0.29372,1.47243,-7.27441
RV,4811,1739352251364,-0.75344,-2.56211,9.81715,4.47069,-1.28933,8.0564
RV,4812,1739352251376,-0.67448,-3.29193,9.9009,3.83366,-1.21304,7.80464
RV,4813,1739352251390,0.1654,-1.98305,9.77408,1.45717,-0.01526,2.68165
RV,4814,1739352251407,-0.23659,-0.42772,11.83909,0.29754,0.24413,0.40435
RV,4815,1739352251425,-0.20788,0.47916,10.401,-0.06103,-0.02289,1.25118
RV,4816,1739352251442,-1.02383,-1.15992,9.21416,8.57519,-4.7072,16.60107
RV,4817,1739352251460,-1.02383,-1.15992,9.21416,10.55877,-2.94104,10.62362
RV,4818,1739352251475,-0.3658,-2.68654,9.10648,9.3381,-1.76997,5.80198
RV,4819,1739352251498,-0.11695,-1.52124,10.5015,9.36862,-1.43428,7.86567
RV,4820,1739352251509,0.23719,-3.21536,9.47498,16.73458,-4.90174,28.9527
RV,4821,1739352251529,-0.42323,-3.40917,9.81715,8.96427,-3.00971,14.93028
RV,4822,1739352251541,-0.55962,-0.01615,10.16411,-5.28701,-0.19836,-11.46283
RV,4823,1739352251559,-0.55962,-0.01615,10.16411,-15.84197,1.97214,-22.2314
RV,4824,1739352251576,0.52433,0.08435,11.03749,-16.18147,1.56779,-18.94323
RV,4825,1739352251594,-0.00688,-1.28674,11.05424,-11.77944,-2.57484,-4.76823
