ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,501,1739354846577,1.27687,-1.99412,10.92473,-1.78523,-3.8451,5.69136
Abj,502,1739354846595,1.48505,-3.22792,10.4001,0.47301,-1.89203,4.71483
Abj,503,1739354846612,0.39033,-2.75593,9.22882,-0.32043,0.61033,4.89793
Abj,504,1739354846629,1.06361,-3.88894,9.99781,6.93492,6.89677,3.61623
Abj,505,1739354846652,1.06361,-3.88894,9.99781,8.70488,-3.53993,2.02936
Abj,506,1739354846670,1.49462,-2.72722,10.54637,5.53878,16.77654,2.88383
Abj,507,1739354846686,1.02293,0.43011,9.25275,-3.92139,-0.1831,3.31106
Abj,508,1739354846696,1.27208,0.3344,9.49472,-5.44723,11.47427,3.86036
Abj,509,1739354846717,0.71127,-5.59472,9.9332,2.24298,0.42723,2.94486
Abj,510,1739354846735,1.0325,-6.18634,9.20728,9.68142,5.73714,1.72419
Abj,511,1739354846750,1.01815,-0.31017,9.55693,7.36215,1.22067,1.48006
Abj,512,1739354846762,1.01815,-0.31017,9.55693,3.46364,2.68547,1.17489
Abj,513,1739354846781,1.12343,1.45543,9.79652,-2.57866,2.31927,1.05283
Abj,514,1739354846793,0.96042,-0.8683,9.1017,-3.98243,1.22067,2.02936
Abj,515,1739354846812,1.54038,-2.98355,9.6673,-3.67726,4.2113,2.02936
Abj,516,1739354846829,1.54038,-2.98355,9.6673,-0.80869,-2.13617,2.57866
Abj,517,1739354846846,0.9341,-3.53689,8.8696,4.50121,11.1691,0.80869
Abj,518,1739354846862,0.90299,-2.57617,9.83719,-0.93076,1.58687,1.72419
Abj,519,1739354846881,1.65045,0.45165,11.67219,-5.14206,1.76997,2.02936
Abj,520,1739354846896,1.29362,-1.89601,9.4014,-2.39556,6.9578,1.60213
Abj,521,1739354846920,0.52463,-4.13809,7.54726,2.36504,19.09581,-0.16784
Abj,522,1739354846935,0.96999,-3.90808,10.8027,6.14911,0.0,-0.90024
Abj,523,1739354846949,0.96999,-3.90808,10.8027,9.74245,2.1972,-1.51058
Abj,524,1739354846963,0.81206,-2.83011,11.2699,3.09744,-0.42723,-1.63264
Abj,525,1739354846989,1.70548,1.79312,10.94387,-8.74303,2.1972,-0.28991
Abj,526,1739354847004,0.76421,0.47557,8.88874,-5.69136,12.38977,-1.08334
Abj,527,1739354847020,1.14257,-5.16102,8.86481,2.79228,6.28644,-1.20541
Abj,528,1739354847035,1.17847,-3.71665,9.55454,3.15848,7.01884,-0.96128
Abj,529,1739354847047,1.17847,-3.71665,9.55454,0.71714,2.7465,0.19836
Abj,530,1739354847065,1.91396,0.7008,10.63729,0.10681,8.66674,0.13733
Abj,531,1739354847077,0.6323,-2.72722,8.78315,-0.44249,4.82164,-0.28991
Abj,532,1739354847093,0.47677,-3.39302,8.80469,1.99884,5.493,-2.18194
Abj,533,1739354847115,1.01097,-1.75693,9.34607,1.44954,0.30517,-1.99884
Abj,534,1739354847131,0.96999,-0.63589,8.27528,1.51058,8.36157,-1.02231
Abj,535,1739354847147,0.96999,-0.63589,8.27528,-2.09039,10.31464,-2.18194
Abj,536,1739354847163,1.6337,-0.7989,10.65404,-7.88856,-2.86857,-1.02231
Abj,537,1739354847180,0.71605,-2.41107,10.81945,-6.05756,3.60097,-3.09744
Abj,538,1739354847203,1.0325,-3.1678,9.37239,-2.51763,2.07513,-0.83921
Abj,539,1739354847222,0.9341,-3.74537,8.12214,4.62328,7.99537,-2.05988
Abj,540,1739354847236,1.27448,-3.21117,9.77737,3.34158,8.48364,-2.42608
Abj,541,1739354847249,1.27448,-3.21117,9.77737,2.48711,-7.5071,-2.05988
Abj,542,1739354847262,0.68255,-1.52453,11.7009,1.38851,2.99063,-2.73124
Abj,543,1739354847288,0.88863,-2.64078,8.73769,5.41671,4.5775,-4.50121
Abj,544,1739354847304,1.38455,-0.55454,9.27907,-4.47069,-8.48364,-3.15848
Abj,545,1739354847318,1.04207,-0.17827,10.68036,-6.30169,5.06577,-3.70778
Abj,546,1739354847331,1.04207,-0.17827,10.68036,-7.33926,6.34747,-4.13501
Abj,547,1739354847347,1.10668,-2.48046,10.57269,-5.75239,-3.60097,-2.67021
Abj,548,1739354847361,0.85753,-4.80419,9.49951,5.78291,9.155,-3.82984
Abj,549,1739354847379,1.34865,-3.60628,8.89113,5.78291,-1.95307,-4.62328
Abj,550,1739354847400,0.71127,-0.71007,9.75584,-0.32043,6.4085,-5.47774
Abj,551,1739354847414,0.96999,-0.73161,10.55594,-4.04346,-5.24887,-3.40261
Abj,552,1739354847431,0.96999,-0.73161,10.55594,-0.07629,-2.13617,-4.74534
Abj,553,1739354847446,1.15214,-4.32024,8.55793,6.33221,5.61507,-5.05051
Abj,554,1739354847473,1.29362,-0.68136,9.53779,2.24298,2.3803,-5.72188
Abj,555,1739354847492,1.01575,-1.6014,10.06002,-7.15616,-6.53057,-4.25708
Abj,556,1739354847508,0.88385,-0.58564,10.29243,-5.50826,2.99063,-3.09744
Abj,557,1739354847522,1.25504,-3.85304,9.59043,-2.02936,-0.7324,-4.92844
Abj,558,1739354847532,0.89581,-1.03579,8.65394,-5.93549,3.35683,-3.21951
Abj,559,1739354847548,0.89581,-1.03579,8.65394,2.24298,7.1409,-4.07398
Abj,560,1739354847570,1.52094,-2.77986,8.37368,2.24298,3.78407,-4.92844
Abj,561,1739354847586,-0.04068,-1.75932,9.19771,-1.96833,3.35683,-4.56224
Abj,562,1739354847596,1.61695,-3.25902,9.85634,2.48711,0.42723,-5.23361
Abj,563,1739354847613,1.13779,-2.32941,10.05045,-2.57866,-6.46954,-3.70778
Abj,564,1739354847631,1.13779,-2.32941,10.05045,2.18194,0.67137,-4.62328
Abj,565,1739354847653,1.44915,-2.71526,9.77977,-0.56456,-10.49774,-4.92844
Abj,566,1739354847669,0.09571,-2.5331,10.28286,1.87678,3.90613,-5.84394
Abj,567,1739354847680,2.03599,-0.0658,11.2026,-6.91203,-7.38504,-4.31811
Abj,568,1739354847699,1.45633,-0.17109,9.62872,-10.02473,-8.84984,-2.85331
Abj,569,1739354847715,0.90538,-3.68285,8.71616,0.96128,21.78128,-3.46364
Abj,570,1739354847732,0.90538,-3.68285,8.71616,0.04578,-11.04704,-2.97538
Abj,571,1739354847748,0.57966,-5.3336,10.24457,6.87388,4.63854,-4.80638
Abj,572,1739354847765,0.69452,-2.69851,10.02653,-0.13733,-11.23014,-2.85331
Abj,573,1739354847787,1.95464,-0.93529,10.15574,2.91434,-8.2395,-4.92844
Abj,574,1739354847806,0.61316,-2.54746,8.07667,5.59981,-0.30517,-4.25708
Abj,575,1739354847820,1.0011,-0.07298,9.35324,2.05988,-2.13617,-4.50121
Abj,576,1739354847838,0.74028,-0.10887,9.94995,-6.97306,-4.82164,-2.91434
Abj,577,1739354847851,0.74028,-0.10887,9.94995,-4.89793,-12.20667,-2.36504
Abj,578,1739354847864,0.58205,-1.99651,8.29203,-1.23593,12.69494,-0.65611
Abj,579,1739354847889,1.4659,-4.0663,9.69123,-4.53173,-17.45554,-2.60918
Abj,580,1739354847903,0.41186,-2.97877,10.76441,1.38851,2.25823,-2.97538
Abj,581,1739354847918,0.48156,-4.58614,9.31975,6.27118,-4.2113,-4.31811
Abj,582,1739354847929,0.48156,-4.58614,9.31975,4.98948,-13.36631,-5.53878
Abj,583,1739354847947,1.49462,0.18335,8.98445,5.23361,5.98127,-4.07398
Abj,584,1739354847965,1.16889,-0.76511,9.8683,-3.55519,-12.32874,-3.40261
Abj,585,1739354847982,1.38694,-0.91137,10.95344,-3.43313,-4.0282,-5.17258
Abj,586,1739354848002,0.30897,-3.94636,8.80948,1.20541,-4.82164,-4.13501
Abj,587,1739354848015,1.46112,-1.22752,10.67797,-4.22656,-3.41787,-3.89088
Abj,588,1739354848032,1.46112,-1.22752,10.67797,-6.24066,-7.20194,-3.58571
Abj,589,1739354848049,1.7988,-2.17149,10.69472,-3.25003,3.90613,-2.67021
Abj,590,1739354848066,1.05882,-3.29731,9.37986,-1.11386,-3.8451,-3.40261
Abj,591,1739354848082,1.31994,-2.29113,9.25275,5.53878,-6.10334,-3.52468
Abj,592,1739354848104,0.49113,-1.92712,8.49572,1.57161,0.06103,-2.18194
Abj,593,1739354848124,1.55234,-2.33659,10.01935,2.36504,-11.84047,-2.36504
Abj,594,1739354848141,1.45155,-1.48146,9.94995,-1.11386,-5.79817,-1.26644
Abj,595,1739354848152,1.45155,-1.48146,9.94995,-4.77586,-10.55877,-1.38851
Abj,596,1739354848165,1.0011,-0.9329,10.02413,-9.04819,-5.493,-0.71714
Abj,597,1739354848181,0.80728,-1.07438,9.86591,-7.27823,-8.84984,-1.02231
Abj,598,1739354848197,0.42861,-4.0328,8.3016,-2.21246,-1.52583,-0.16784
Abj,599,1739354848214,0.42861,-4.0328,8.3016,1.20541,0.42723,-1.14438
Abj,600,1739354848232,1.47069,-3.91765,10.75005,2.67021,-11.77944,-0.59508
Abj,601,1739354848250,1.07797,-3.59671,10.47697,10.41382,-1.6479,0.01526
Abj,602,1739354848264,1.03729,-1.37139,8.84298,4.68431,-5.55404,-1.44954
Abj,603,1739354848282,1.48744,2.71555,10.09352,-8.1327,-16.72314,0.44249
Abj,604,1739354848304,0.16271,-1.60618,8.45743,-6.97306,5.61507,1.48006
Abj,605,1739354848322,1.32233,-5.7335,9.6673,0.77818,-9.76534,-0.35094
Abj,606,1739354848339,0.58445,-3.38106,9.32453,5.66084,-2.99063,0.56456
Abj,607,1739354848353,0.58445,-3.38106,9.32453,4.80638,-11.04704,1.11386
Abj,608,1739354848372,1.54277,-1.71864,9.74387,0.41198,-9.58224,0.19836
Abj,609,1739354848386,1.32951,0.16181,10.88884,-5.32516,-18.73724,2.27349
Abj,610,1739354848408,0.62512,-2.19302,8.57737,-3.37209,-0.30517,0.19836
