ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1251,1739354302166,0.92752,-2.78495,7.34268,-51.03152,-9.68142,35.58245
Ak,1252,1739354302183,-0.42921,0.81147,9.71875,-7.44988,-8.64766,-3.35683
Ak,1253,1739354302200,-1.42702,-0.71994,10.37677,46.37391,4.72627,-51.6037
Ak,1254,1739354302212,-1.42702,-0.71994,10.37677,41.60949,4.51647,-47.03001
Ak,1255,1739354302230,-0.65175,-4.41685,9.28325,33.36236,3.44076,-37.79872
Ak,1256,1739354302246,1.70519,-4.78056,6.75643,9.09016,1.19015,-17.63101
Ak,1257,1739354302264,0.7672,-2.18196,9.19951,-40.25531,-14.15211,35.76173
Ak,1258,1739354302285,-2.96321,3.57039,12.15703,-20.60639,-8.04496,20.7132
Ak,1259,1739354302296,1.4683,1.4671,9.45075,37.5584,7.88475,-29.89872
Ak,1260,1739354302309,1.4683,1.4671,9.45075,33.97651,6.08426,-24.32942
Ak,1261,1739354302326,1.09502,-5.6683,9.0009,11.96254,-2.64732,-0.69425
Ak,1262,1739354302346,-1.43181,-9.27667,8.6348,-53.83905,-8.62859,56.78391
Ak,1263,1739354302363,-2.95603,5.40569,10.49881,-27.97998,-17.82937,39.05372
Ak,1264,1739354302381,-0.17797,1.15843,12.97777,74.84978,11.60778,-60.68623
Ak,1265,1739354302397,-0.37657,-7.45334,7.17757,29.61644,2.30782,-25.09997
Ak,1266,1739354302413,-0.37657,-7.45334,7.17757,-27.32769,-17.39069,30.52431
Ak,1267,1739354302433,-0.77139,0.43101,12.15703,-59.70588,12.72164,37.71098
Ak,1268,1739354302451,-0.46271,-2.60788,8.78555,-31.34063,6.19107,17.41739
Ak,1269,1739354302465,0.65474,1.70399,10.6687,10.83342,22.63193,-27.41924
Ak,1270,1739354302481,0.41545,-4.73988,11.35783,60.49932,16.31116,-57.12722
Ak,1271,1739354302500,-0.68764,-1.82542,11.8005,-30.19244,1.70893,19.26365
Ak,1272,1739354302515,-0.68764,-1.82542,11.8005,-41.8231,1.26263,30.2344
Ak,1273,1739354302533,-3.51117,-4.43121,8.14666,-28.60176,9.45636,17.77596
Ak,1274,1739354302550,0.02064,-1.05254,5.35903,-24.49726,-2.05606,25.23729
Ak,1275,1739354302565,0.32213,1.34507,17.64378,-9.83018,4.341,10.20783
Ak,1276,1739354302580,0.87727,2.31894,8.50559,23.13164,-12.344,-3.58952
Ak,1277,1739354302597,-2.27169,-4.40728,5.91416,-5.79817,-5.44723,14.62512
Ak,1278,1739354302611,-2.27169,-4.40728,5.91416,-8.09836,9.60894,6.29788
Ak,1279,1739354302632,0.91316,-0.58594,12.14268,-17.84463,2.61299,17.50131
Ak,1280,1739354302646,1.10219,-3.59611,7.15843,18.82498,8.68581,-16.67355
Ak,1281,1739354302663,2.31536,-0.24616,12.98256,17.14656,-11.07755,-5.53878
Ak,1282,1739354302680,1.27687,3.15165,8.38595,7.59484,-10.83724,-3.10126
Ak,1283,1739354302700,-0.60867,-0.25334,7.03879,10.97837,1.91874,-17.37162
Ak,1284,1739354302718,-0.60867,-0.25334,7.03879,0.45394,6.54964,-12.65679
Ak,1285,1739354302733,0.03021,0.77318,8.95783,20.90774,7.06843,-27.10262
Ak,1286,1739354302749,0.25274,-2.25374,12.94906,45.13035,6.70223,-40.96101
Ak,1287,1739354302766,1.32712,-4.07946,9.26411,13.87364,4.7873,-17.08934
Ak,1288,1739354302783,-0.14686,1.1991,9.89103,14.51449,1.56017,-13.0497
Ak,1289,1739354302799,0.82223,3.434,11.54926,18.81735,3.21188,-13.20991
Ak,1290,1739354302813,0.82223,3.434,11.54926,21.03744,3.50179,-13.74013
Ak,1291,1739354302832,-0.07507,-6.11576,6.25873,-10.13154,-1.86152,12.06172
Ak,1292,1739354302846,0.00867,-1.65553,13.11656,-47.49921,-18.63806,51.48927
Ak,1293,1739354302864,0.02303,-0.8324,6.28983,-44.8824,-15.1706,43.78762
Ak,1294,1739354302880,-0.25932,1.34028,15.18396,-0.89643,-13.62951,4.10831
Ak,1295,1739354302896,-1.0011,-5.89801,6.85454,28.10205,-0.35857,-28.55598
Ak,1296,1739354302912,-1.0011,-5.89801,6.85454,-7.00739,1.07571,-6.77852
Ak,1297,1739354302930,0.8653,1.93131,11.73111,-30.56245,-1.64409,12.68349
Ak,1298,1739354302948,-0.89103,0.67268,8.5008,31.45888,7.80464,-42.21601
Ak,1299,1739354302963,1.09023,-4.70878,5.20349,53.04562,14.16737,-61.32708
Ak,1300,1739354302979,-1.07288,-4.01486,11.26451,0.27084,-11.91295,-5.07721
Ak,1301,1739354302997,-0.74028,-2.24656,13.17398,-10.12391,-4.917,-0.54549
Ak,1302,1739354303015,-1.18056,-1.23679,7.75663,-22.82266,-2.13998,8.25095
Ak,1303,1739354303034,-1.18056,-1.23679,7.75663,-18.29475,-1.85007,5.95457
Ak,1304,1739354303049,0.65952,-1.50479,4.7991,-42.92552,3.95954,24.77191
Ak,1305,1739354303066,0.29581,0.71575,16.28705,-38.10007,1.19778,24.64222
Ak,1306,1739354303082,-0.27607,-0.54048,7.03161,-5.21072,-11.27973,9.20459
Ak,1307,1739354303097,-0.91017,0.66072,9.40768,24.55448,5.02762,-22.85699
Ak,1308,1739354303116,-0.91017,0.66072,9.40768,49.07082,8.97572,-42.41055
Ak,1309,1739354303131,-1.38634,-1.85175,8.74726,61.51781,14.23984,-53.20583
Ak,1310,1739354303149,-0.31914,-5.40269,9.8695,25.67216,10.71898,-26.62962
Ak,1311,1739354303168,0.85573,-0.29402,9.62782,23.73435,9.10923,-24.585
Ak,1312,1739354303180,0.25753,-0.4998,7.3666,28.52165,-2.03699,-20.7399
Ak,1313,1739354303198,-1.24277,-1.2679,9.04158,0.679,5.55022,-8.29672
Ak,1314,1739354303210,-1.24277,-1.2679,9.04158,-0.37383,5.24124,-8.10599
Ak,1315,1739354303229,-0.99153,-1.78475,11.90579,-24.31035,8.33868,5.16495
Ak,1316,1739354303247,0.35563,-3.93589,8.95065,-30.06656,6.60686,10.23835
Ak,1317,1739354303264,-0.80967,-3.76361,12.07807,-36.49413,1.4114,18.74106
Ak,1318,1739354303280,-1.50359,-0.54766,9.68525,-29.49818,-1.27789,16.27683
Ak,1319,1739354303297,0.2336,-1.45454,11.68565,-23.13927,-1.04901,12.49658
Ak,1320,1739354303315,0.2336,-1.45454,11.68565,-19.65656,-2.1438,11.35602
Ak,1321,1739354303333,1.45155,-1.78235,10.47009,-21.41126,-8.17847,17.84081
Ak,1322,1739354303349,-0.49143,-5.23998,8.07967,-24.56211,-7.81608,21.23198
Ak,1323,1739354303365,0.90598,3.44596,9.25215,-54.96817,-14.44583,51.72958
Ak,1324,1739354303382,-0.1995,1.62024,11.71675,29.38375,-1.26644,-21.62488
Ak,1325,1739354303398,-0.57039,-5.17538,8.39312,46.37772,-1.44191,-33.33566
Ak,1326,1739354303417,0.12353,-5.85733,3.96401,37.0625,-2.37267,-26.48466
Ak,1327,1739354303432,0.12353,-5.85733,3.96401,-46.54556,-9.43347,40.83513
Ak,1328,1739354303448,-1.07288,1.09382,16.62922,-17.14274,9.23892,3.95191
Ak,1329,1739354303465,-1.41027,0.11994,3.44716,-5.8058,1.34655,0.40435
Ak,1330,1739354303479,0.0996,4.3672,13.72433,68.01405,-5.46249,-47.11394
Ak,1331,1739354303495,0.59013,-3.80429,7.03879,67.29309,-0.06103,-49.86425
Ak,1332,1739354303512,0.59013,-3.80429,7.03879,7.30874,-2.81898,-8.23569
Ak,1333,1739354303532,-2.15922,-6.99631,8.66591,-31.31393,2.15143,16.36457
Ak,1334,1739354303547,0.38913,0.85693,11.34826,30.69215,6.84337,-32.83976
Ak,1335,1739354303564,0.48006,-0.41605,11.4033,47.97985,8.44931,-45.24479
Ak,1336,1739354303584,0.01585,-2.66291,10.81466,21.54478,12.69875,-29.76902
Ak,1337,1739354303606,-1.24038,-4.44078,8.78794,-3.53612,11.70315,-10.08195
Ak,1338,1739354303618,1.52333,2.88604,10.70938,-51.16121,15.57495,25.14193
Ak,1339,1739354303630,1.52333,2.88604,10.70938,-14.50305,14.18263,-1.65172
Ak,1340,1739354303648,-0.07507,-3.22044,9.56322,38.73711,5.8058,-29.25024
Ak,1341,1739354303668,-1.5658,-2.54566,12.51357,27.32006,7.41555,-20.55298
Ak,1342,1739354303682,-0.75703,-1.73928,12.39392,-4.50884,1.12149,10.49774
Ak,1343,1739354303698,1.45394,-2.24417,7.34746,-5.88209,0.07629,13.8622
Ak,1344,1739354303713,1.45394,-2.24417,7.34746,-7.24008,-1.96451,15.85341
Ak,1345,1739354303732,2.52353,3.36461,9.4029,-1.78904,-11.08518,16.55911
Ak,1346,1739354303751,0.38195,2.33809,10.46531,9.10541,-11.6383,6.65645
Ak,1347,1739354303764,0.80309,-6.71635,9.35265,8.54086,-10.13535,5.08484
Ak,1348,1739354303778,0.51595,-4.13928,7.65614,-4.77967,-7.22482,10.19638
Ak,1349,1739354303797,0.75045,-1.8326,10.94148,-24.56974,-4.9437,19.76718
Ak,1350,1739354303814,0.75045,-1.8326,10.94148,-22.13985,-2.17431,14.38098
Ak,1351,1739354303833,-1.47248,1.63699,11.0348,18.74868,13.91942,-28.28515
Ak,1352,1739354303848,-0.05115,0.62004,7.4336,10.27649,3.14322,-14.34665
Ak,1353,1739354303870,0.98255,0.8665,8.41466,-5.56166,3.40261,-1.6479
Ak,1354,1739354303884,-0.42443,-7.00589,9.16122,-5.56166,3.40261,-1.6479
Ak,1355,1739354303898,-1.3672,-2.37338,9.53211,-12.12656,-2.29638,10.27268
Ak,1356,1739354303915,0.28146,-3.17737,12.89642,-1.09097,0.7591,0.94602
Ak,1357,1739354303932,0.28146,-3.17737,12.89642,-2.99826,-0.82776,6.11859
Ak,1358,1739354303950,1.04716,1.81406,8.02942,-6.61068,-0.64848,10.03617
Ak,1359,1739354303965,0.39392,-0.80847,6.87368,-22.18563,-1.30459,22.64719
Ak,1360,1739354303977,-0.01286,1.3666,6.15823,-39.50766,-4.1312,38.23358
Ak,1361,1739354303999,-0.47707,2.22084,12.76242,-43.86391,-2.79991,39.77467
Ak,1362,1739354304014,-0.47707,2.22084,12.76242,22.99432,15.46814,-29.04425
Ak,1363,1739354304032,-0.58475,-3.00748,9.45554,40.77791,16.56674,-43.24976
Ak,1364,1739354304044,-0.635,-1.2344,12.34128,36.72301,14.99513,-39.48858
Ak,1365,1739354304062,-1.1327,-5.92194,8.18495,30.70359,12.55761,-33.97269
Ak,1366,1739354304079,-0.22582,-3.39512,7.35225,-11.30643,11.85954,-4.71101
Ak,1367,1739354304099,0.17617,3.96281,12.62842,-3.04022,7.32019,-6.48479
Ak,1368,1739354304115,0.17617,3.96281,12.62842,27.54512,0.82776,-21.41126
Ak,1369,1739354304133,-0.17318,-1.46411,6.74686,0.38527,-3.1127,2.0408
Ak,1370,1739354304155,0.44177,-3.43819,14.10479,-18.89364,-6.85481,20.7132
Ak,1371,1739354304168,-1.80269,-4.72313,8.89083,-29.17013,-7.26297,30.47091
Ak,1372,1739354304181,-0.14207,2.39791,9.59671,-26.95386,-8.98716,30.77607
Ak,1373,1739354304199,-2.11376,-2.64138,10.46052,16.41416,-13.94612,1.4915
Ak,1374,1739354304217,-2.11376,-2.64138,10.46052,15.7962,-12.16853,0.64466
Ak,1375,1739354304233,-1.81705,-4.84277,11.27169,-15.50247,-8.34631,21.01836
Ak,1376,1739354304251,1.35823,-7.28824,5.1341,-72.03844,-24.22261,80.28557
Ak,1377,1739354304265,-0.93649,1.00768,11.67608,-58.35934,-18.51599,63.43273
Ak,1378,1739354304280,-1.68305,2.19212,10.41267,9.10541,-1.27026,-8.08311
Ak,1379,1739354304298,-1.51795,-1.52632,8.42662,65.46972,7.52236,-56.58936
Ak,1380,1739354304316,-1.51795,-1.52632,8.42662,55.30004,7.10657,-49.29969
Ak,1381,1739354304328,-0.12054,-6.13968,11.28605,16.68881,2.18576,-18.58847
Ak,1382,1739354304346,-0.29282,-3.51236,9.58236,-46.66,2.18576,30.4976
Ak,1383,1739354304363,-1.33849,-0.57876,9.64696,-0.52641,-12.2143,4.10068
Ak,1384,1739354304380,0.36999,-2.9668,12.72174,32.91224,3.40261,-29.73088
Ak,1385,1739354304400,-0.01525,1.26132,9.434,19.03096,0.72477,-17.08934
Ak,1386,1739354304414,-0.01525,1.26132,9.434,15.17442,-1.1253,-12.0846
Ak,1387,1739354304435,-0.50818,0.72293,9.27129,-7.2706,-7.8466,11.77181
Ak,1388,1739354304449,1.08305,-3.93829,5.69163,-2.13998,-5.77528,7.22101
Ak,1389,1739354304467,0.14028,-2.84237,12.84138,24.39808,-2.81898,-13.82406
Ak,1390,1739354304482,0.66431,-3.0003,11.33151,22.76544,-1.22448,-14.31232
Ak,1391,1739354304495,0.66431,-3.0003,11.33151,10.0171,-1.11386,-5.8859
Ak,1392,1739354304517,-0.30479,-3.45972,9.02244,-6.63738,-5.59218,8.9452
Ak,1393,1739354304534,-1.83141,-1.37318,6.19173,-44.66116,3.31106,30.29543
Ak,1394,1739354304550,-0.09182,-1.00708,13.28645,-38.05048,2.39937,21.40745
Ak,1395,1739354304566,-0.00568,0.47647,11.0683,-14.54501,4.70338,-0.01907
Ak,1396,1739354304584,-0.46989,-2.27288,8.23281,10.1735,11.68789,-23.92508
Ak,1397,1739354304595,0.21446,1.93849,10.31456,10.00566,14.45728,-25.63782
Ak,1398,1739354304611,0.21446,1.93849,10.31456,38.75999,7.88093,-39.43899
Ak,1399,1739354304631,-1.29063,-6.98435,10.1351,27.86936,6.20633,-27.67863
Ak,1400,1739354304650,-1.6998,-6.53211,9.62543,-29.45622,-6.45046,27.36583
Ak,1401,1739354304665,-1.30738,2.74008,8.15145,-18.94704,-8.72396,22.58234
Ak,1402,1739354304680,-0.85274,1.40967,9.45554,3.99387,-5.11154,4.02439
Ak,1403,1739354304699,0.37478,-6.9676,9.25454,4.88267,0.72859,-0.24032
Ak,1404,1739354304718,0.37478,-6.9676,9.25454,-18.51599,-6.07663,22.86844
Ak,1405,1739354304733,-0.72592,-0.92812,7.44317,-54.91095,-6.87007,54.62486
Ak,1406,1739354304749,-0.16839,1.64417,14.42782,25.4738,2.84568,-17.82555
Ak,1407,1739354304765,-1.6663,-4.08903,6.31376,51.38627,8.62478,-40.0951
