ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1251,1739354300401,-2.391,-2.60205,10.52295,-1.9853,0.74843,1.4811
HS,1252,1739354300417,0.582,-2.343,10.125,-2.61555,0.25998,0.77994
HS,1253,1739354300434,-2.391,-0.43995,10.482,-0.44118,13.14079,0.92175
HS,1254,1739354300451,-0.48705,-3.591,7.611,-1.35505,-4.64024,0.4333
HS,1255,1739354300467,-0.77205,-1.431,9.462,4.03362,4.52995,0.70904
HS,1256,1739354300482,-0.72195,-0.33705,9.84105,4.73478,-4.91598,0.85084
HS,1257,1739354300499,-0.72195,-0.33705,9.84105,1.16597,0.81933,0.49632
HS,1258,1739354300516,-1.038,0.97395,12.93405,-1.00053,15.24426,1.41019
HS,1259,1739354300535,-0.516,-1.896,6.80895,-4.64024,-4.77417,-0.48057
HS,1260,1739354300552,-0.684,1.206,9.25905,-7.16126,-9.25685,-1.81198
HS,1261,1739354300567,-0.98805,-4.86,10.224,-3.0331,-9.8871,-1.81198
HS,1262,1739354300583,-0.123,-4.90005,8.39205,9.00475,-3.51366,-0.26786
HS,1263,1739354300598,-1.869,-1.98405,7.37205,15.44909,-8.6975,0.29149
HS,1264,1739354300616,-1.869,-1.98405,7.37205,8.65811,-3.58457,-0.96901
HS,1265,1739354300631,-3.15195,3.07395,13.212,1.51261,8.03573,-1.88288
HS,1266,1739354300649,-2.18295,-0.57195,7.38195,-3.24581,-1.27626,-0.89811
HS,1267,1739354300667,-0.207,-0.55005,9.59595,-4.85295,-7.29519,-1.81198
HS,1268,1739354300681,-2.91495,-4.43805,9.34305,-1.70168,-0.22847,-0.89811
HS,1269,1739354300699,-1.58595,-2.53995,9.702,3.12763,-9.11504,-0.96901
HS,1270,1739354300716,-0.942,-1.35495,11.40195,4.17543,4.60085,-0.40966
HS,1271,1739354300732,-1.72005,3.55005,10.51095,-2.54465,-1.27626,-0.19695
HS,1272,1739354300749,-1.72005,3.55005,10.51095,-7.65758,3.26944,-1.03992
HS,1273,1739354300765,-3.03495,-1.39995,9.333,-6.81462,-12.06148,-1.74108
HS,1274,1739354300783,-0.03705,-5.98005,8.48295,5.71955,-15.34667,-0.76418
HS,1275,1739354300799,-0.42795,-3.15495,9.07005,17.96223,-22.5552,0.99265
HS,1276,1739354300816,-0.696,3.85905,11.43495,-1.14233,-4.84507,0.56723
HS,1277,1739354300831,-2.55105,-1.11495,10.056,0.60662,22.24007,1.96954
HS,1278,1739354300848,-1.512,-0.519,10.731,-12.34509,1.24475,1.33929
HS,1279,1739354300866,-1.512,-0.519,10.731,-7.86241,3.19854,0.77994
HS,1280,1739354300882,-0.38205,-0.54,8.96205,-1.28414,-13.94436,1.33929
HS,1281,1739354300897,1.35495,-4.56495,8.62395,2.77312,-9.18595,1.96954
HS,1282,1739354300915,-0.08505,-0.435,10.92495,5.43594,1.30778,2.88341
HS,1283,1739354300932,-1.09995,1.33605,11.064,1.16597,3.48215,3.37186
HS,1284,1739354300949,-0.34095,0.129,10.01505,-3.24581,5.37291,2.31618
HS,1285,1739354300963,-0.70305,-0.31995,7.97805,-3.73425,-2.26103,1.89864
HS,1286,1739354300980,-1.80705,-2.082,8.08605,-3.80516,-5.68804,1.6229
HS,1287,1739354300997,-1.80705,-2.082,8.08605,17.19804,-28.78683,2.94644
HS,1288,1739354301014,-0.05895,-2.66895,6.57195,1.72532,-15.48848,1.75683
HS,1289,1739354301041,1.76205,-0.15,10.884,-18.57673,23.57148,3.8603
HS,1290,1739354301055,-0.04905,1.803,10.76205,-8.35086,5.44382,2.88341
