ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1001,1739358464573,0.19382,-1.75214,9.89701,-1.96833,4.2113,-0.10681
Abj,1002,1739358464596,0.57009,-2.15952,9.61436,1.81574,4.7606,-0.90024
Abj,1003,1739358464611,0.57009,-2.15952,9.61436,-2.09039,3.60097,-0.83921
Abj,1004,1739358464626,-0.17019,-2.15474,10.81466,2.79228,0.85447,-1.08334
Abj,1005,1739358464636,-0.07687,-1.65404,11.20978,-1.54109,-3.05167,-1.81574
Abj,1006,1739358464655,0.68495,-2.1018,10.87448,1.02231,2.25823,-0.22888
Abj,1007,1739358464672,0.68495,-2.1018,10.87448,2.12091,0.1831,-0.77818
Abj,1008,1739358464691,0.25633,-1.50538,10.25414,-3.00589,1.58687,-1.20541
Abj,1009,1739358464708,0.34008,-0.71725,10.56072,-3.12796,7.56814,-0.71714
Abj,1010,1739358464723,0.134,-1.60379,9.61915,-3.31106,1.89203,-0.96128
Abj,1011,1739358464744,0.22283,-3.1343,10.09113,3.28054,2.80753,-0.83921
Abj,1012,1739358464764,-0.24676,-2.79661,8.81905,11.14622,0.67137,-1.75471
Abj,1013,1739358464781,0.16032,-0.79412,8.33061,6.08808,-3.8451,-1.63264
Abj,1014,1739358464790,0.16032,-0.79412,8.33061,0.53404,0.30517,-2.12091
Abj,1015,1739358464814,0.42622,-0.39153,9.89701,2.91434,-7.93434,-1.75471
Abj,1016,1739358464826,0.07896,-2.08265,9.36282,4.62328,-1.15963,-2.24298
Abj,1017,1739358464846,0.2324,-1.18923,8.61566,-0.25939,2.25823,-2.36504
Abj,1018,1739358464855,0.73789,0.399,10.52722,-5.38619,-6.71367,-2.05988
Abj,1019,1739358464873,0.73789,0.399,10.52722,-1.11386,0.85447,-2.67021
Abj,1020,1739358464891,-0.20847,-2.74636,9.6335,0.35094,7.62917,-2.36504
Abj,1021,1739358464907,0.61316,-2.10927,10.7019,0.90024,-4.08923,-1.38851
Abj,1022,1739358464924,0.2683,-2.01326,10.29961,8.82695,12.87804,-2.30401
Abj,1023,1739358464940,0.03111,-1.64207,9.97867,5.72188,-2.31927,-3.15848
Abj,1024,1739358464962,0.51506,0.17617,9.6024,0.10681,11.10807,-2.30401
Abj,1025,1739358464983,0.29222,-0.88026,9.61915,-4.59276,7.38504,-2.12091
Abj,1026,1739358465002,0.19621,-3.16541,10.39771,-3.79933,3.78407,-1.87678
Abj,1027,1739358465011,0.19621,-3.16541,10.39771,3.82984,0.0,-1.02231
Abj,1028,1739358465027,0.14118,-3.33799,10.96541,3.58571,-1.95307,-1.81574
Abj,1029,1739358465044,0.32572,-1.43121,10.55833,5.47774,-3.41787,-0.22888
Abj,1030,1739358465062,0.3329,0.24317,9.9691,-3.86036,-3.662,-0.96128
Abj,1031,1739358465076,0.6682,-0.01795,10.84338,-8.80406,4.7606,-0.65611
Abj,1032,1739358465093,0.00718,-2.81097,8.05992,-3.31106,19.40098,0.93076
Abj,1033,1739358465105,0.00718,-2.81097,8.05992,-8.92613,9.3381,-0.96128
Abj,1034,1739358465123,0.07178,-2.0683,9.57608,0.28991,18.24134,-0.22888
Abj,1035,1739358465140,-0.55813,-3.88654,8.94856,-1.54109,5.8592,-1.14438
Abj,1036,1739358465159,0.5988,-1.85294,10.25893,2.85331,-4.51647,-0.10681
Abj,1037,1739358465175,0.5988,-1.85294,10.25893,-5.87446,-12.32874,-1.38851
Abj,1038,1739358465192,0.19382,1.02174,10.0361,-8.92613,-8.2395,-1.26644
Abj,1039,1739358465208,0.40229,-0.41785,9.61436,-1.23593,-0.3662,-3.34158
Abj,1040,1739358465231,-0.32572,-3.82672,8.17957,4.56224,10.00947,-0.35094
Abj,1041,1739358465246,0.11246,-2.61685,8.98206,0.28991,-8.30054,-1.87678
Abj,1042,1739358465265,0.5988,-0.71246,11.43739,2.12091,-6.83574,-0.04578
Abj,1043,1739358465281,0.02871,-0.3006,9.02034,-8.55993,-5.79817,-1.38851
Abj,1044,1739358465298,0.02871,-0.3006,9.02034,-10.57403,-5.92024,-0.59508
Abj,1045,1739358465306,0.2324,-0.4657,10.29961,-6.85099,3.23477,-1.08334
Abj,1046,1739358465324,-0.18933,-4.35374,8.8672,5.35568,2.25823,-0.96128
