ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739359456431,-0.741,-6.02295,5.31495,9.98952,25.54103,2.52889
HS,752,1739359456448,1.248,3.20895,10.52505,-3.0331,-9.80832,0.56723
HS,753,1739359456464,0.67305,1.63305,7.61295,5.43594,40.17079,0.00788
HS,754,1739359456481,-2.35005,-0.75,8.69595,-4.08089,-20.94017,-0.41754
HS,755,1739359456497,0.79695,-1.22205,9.54795,-2.67858,-7.35821,0.56723
HS,756,1739359456513,0.14595,-0.94395,9.75195,-4.2227,-0.63813,0.49632
HS,757,1739359456530,0.14595,-0.94395,9.75195,-2.26103,-0.77994,0.35452
HS,758,1739359456548,-0.05205,-2.412,8.262,3.61608,-6.65705,0.07878
HS,759,1739359456563,-0.25005,-4.18605,9.05205,3.41125,-1.26839,0.21271
HS,760,1739359456580,-1.962,2.10495,9.85695,9.14655,13.49531,0.00788
HS,761,1739359456597,-0.38205,-1.275,10.05105,4.0415,9.65076,-0.34664
HS,762,1739359456620,0.76395,-0.03705,5.70795,1.59139,-6.59403,0.56723
HS,763,1739359456637,0.85305,-2.60295,13.18305,-4.85295,0.7563,-0.90599
HS,764,1739359456646,0.85305,-2.60295,13.18305,1.86713,34.28579,-0.76418
HS,765,1739359456664,-0.279,3.384,8.08005,-8.06725,-13.87346,-1.25263
HS,766,1739359456680,-1.75095,-0.801,10.14405,-8.56357,-4.20694,-1.32353
HS,767,1739359456697,-2.178,-1.66995,8.79105,-5.82985,-1.552,-1.32353
HS,768,1739359456713,0.11295,-3.16605,8.55,-5.4123,-14.63764,-2.37133
HS,769,1739359456729,-0.94695,-4.74195,9.447,0.60662,-0.56723,-0.55147
HS,770,1739359456747,-2.20905,-1.63905,10.38105,6.56252,0.62238,-2.58404
HS,771,1739359456763,-0.19305,0.18,11.00895,4.87659,10.76946,-1.25263
HS,772,1739359456779,-0.19305,0.18,11.00895,-2.40284,4.32512,-3.3561
HS,773,1739359456795,-1.62,0.573,11.91405,-4.2936,8.66599,-3.00158
HS,774,1739359456812,0.12495,-0.264,10.41195,-2.11923,25.32832,-4.26209
HS,775,1739359456829,-3.12105,-3.82905,5.18295,1.44958,-3.51366,-2.09559
