ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1251,1739352595350,-0.55603,-4.14407,5.08385,-11.06611,-4.23037,-15.46814
Ak,1252,1739352595364,-0.57517,-5.00309,3.97837,-17.4708,-5.48919,-17.44791
Ak,1253,1739352595378,4.29183,-1.3349,8.71137,-25.47761,-0.49208,-11.34839
Ak,1254,1739352595394,4.81346,2.34766,12.91556,-17.81792,-4.03202,-10.94404
Ak,1255,1739352595414,6.03619,-4.56999,11.4344,-11.8481,-6.82429,-10.12772
Ak,1256,1739352595431,6.03619,-4.56999,11.4344,-2.88764,-40.21335,-42.19312
Ak,1257,1739352595447,-5.28664,-1.77039,5.62941,-29.49818,-31.1766,-38.58452
Ak,1258,1739352595464,6.87368,0.7325,11.95604,-34.50292,-9.56698,-17.40977
Ak,1259,1739352595482,3.12652,-1.80867,7.94806,48.68554,-19.36665,-8.23187
Ak,1260,1739352595504,0.62363,-6.65653,4.97139,54.27391,-25.30596,-14.75481
Ak,1261,1739352595512,1.93011,2.74965,11.968,30.13903,-9.47924,-4.47451
Ak,1262,1739352595531,1.93011,2.74965,11.968,-18.05443,9.04438,2.78465
Ak,1263,1739352595546,-0.79771,-0.31555,7.16321,-7.5338,5.65703,1.97214
Ak,1264,1739352595563,-0.39093,-5.85972,12.64517,6.33603,19.42005,18.85168
Ak,1265,1739352595580,1.32233,4.77159,11.65454,6.93492,6.92729,6.04993
Ak,1266,1739352595597,-0.98674,-0.67926,5.88784,25.43565,26.24053,30.84855
Ak,1267,1739352595615,2.8681,-0.38255,11.93929,7.83134,32.18747,29.3723
Ak,1268,1739352595636,2.8681,-0.38255,11.93929,46.61423,30.93628,39.05372
Ak,1269,1739352595650,2.70299,-2.20828,8.45294,38.66845,16.69644,21.45704
Ak,1270,1739352595663,-0.15643,-3.94786,10.69981,-33.4768,33.10678,13.05351
Ak,1271,1739352595679,-0.28086,-3.1989,10.47488,-10.73043,13.70962,3.59715
Ak,1272,1739352595697,-2.77896,-4.48624,6.88804,-1.03375,11.13477,4.99329
Ak,1273,1739352595714,-0.30479,-2.2681,11.95604,-67.97209,34.34652,7.53762
Ak,1274,1739352595731,-0.30479,-2.2681,11.95604,-42.05198,2.51381,-11.29499
Ak,1275,1739352595748,0.48245,0.02423,7.75663,-16.10518,-21.47993,-26.07269
Ak,1276,1739352595762,-1.42941,-0.54048,10.08485,30.36409,-22.16274,-10.74187
Ak,1277,1739352595775,-0.62542,-4.86192,5.85195,38.18399,-2.62825,12.48895
Ak,1278,1739352595791,2.96381,-4.36182,14.11915,42.78057,-1.67842,15.92971
Ak,1279,1739352595813,2.28903,1.12971,11.30519,-18.2833,-5.50445,-6.79378
Ak,1280,1739352595829,2.28903,1.12971,11.30519,-24.56593,-1.56779,-4.66905
Ak,1281,1739352595846,1.14048,1.51496,7.8021,1.30077,-12.17615,-7.20194
Ak,1282,1739352595863,0.72413,-5.2328,8.17299,8.62859,-11.34457,-3.80314
Ak,1283,1739352595878,0.72174,-5.87408,6.87129,-23.1469,1.48387,-0.54549
Ak,1284,1739352595899,0.31974,-7.84816,4.65075,-90.18823,-7.43463,-23.69239
Ak,1285,1739352595915,0.67149,4.38874,15.25574,-100.171,-8.20517,-25.59205
Ak,1286,1739352595931,0.67149,4.38874,15.25574,-0.41579,-5.65703,-5.0734
Ak,1287,1739352595947,1.02323,0.45494,10.52034,35.17429,-12.50421,-3.18899
Ak,1288,1739352595964,0.24078,-0.49023,10.1686,29.07477,-7.94578,0.6027
Ak,1289,1739352595982,1.83679,-0.25334,9.69003,28.18597,-1.3084,8.14795
Ak,1290,1739352595993,-1.64955,0.41186,6.28983,61.23553,-6.38561,13.71343
Ak,1291,1739352596011,0.15942,-7.34806,8.74487,104.37086,24.97409,66.8506
Ak,1292,1739352596028,0.15942,-7.34806,8.74487,123.97782,0.89261,51.46638
Ak,1293,1739352596046,-0.4005,-12.60988,8.00549,42.31137,-4.98566,9.76152
Ak,1294,1739352596066,-0.60628,-1.43061,6.69183,-87.84225,20.67886,-6.09571
Ak,1295,1739352596075,-0.4675,2.43619,9.70918,-94.5483,25.8667,-2.02173
Ak,1296,1739352596092,5.22742,-6.46032,12.9012,-94.65892,6.172,-16.98253
Ak,1297,1739352596114,-0.35025,1.67049,11.47747,-93.94559,-5.02762,-21.10228
Ak,1298,1739352596130,-0.35025,1.67049,11.47747,-61.89164,-24.69562,-29.36086
Ak,1299,1739352596147,1.77218,-1.08365,8.27109,-53.54533,-17.95525,-20.02657
Ak,1300,1739352596163,-1.20209,-4.12014,14.22683,34.62117,-17.88277,0.04196
Ak,1301,1739352596184,2.27228,-2.35902,13.64298,91.78272,-28.7696,5.6494
Ak,1302,1739352596197,1.47787,-2.67248,9.93171,81.43757,-32.1684,-1.78523
