ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,1,1742632640694,0.01256,-0.48933,11.50469,4.98735,-1.53995,22.74933
Gar,2,1742632640700,0.01256,-0.48933,11.50469,3.86739,-2.37993,22.67933
Gar,3,1742632640706,0.01256,-0.48933,11.50469,-1.10247,-2.65992,22.25934
Gar,4,1742632640715,-0.59641,-1.84546,9.42413,-6.21232,-4.96985,23.93929
Gar,5,1742632640724,-0.59641,-1.84546,9.42413,-1.94244,-3.14991,24.07929
Gar,6,1742632640733,0.38584,-0.36969,10.82992,-0.19249,-0.55998,23.09932
Gar,7,1742632640741,0.38584,-0.36969,10.82992,-2.85242,-2.23993,23.51931
Gar,8,1742632640750,-0.54556,-1.21196,10.05883,-5.44234,-5.24985,24.56928
Gar,9,1742632640757,-0.54556,-1.21196,10.05883,-3.20241,-3.00991,24.91927
Gar,10,1742632640766,-0.54556,-1.21196,10.05883,-3.90238,-2.79992,24.63928
Gar,11,1742632640774,-0.44387,-0.91705,10.83769,-4.04238,-1.95994,24.98927
Gar,12,1742632640783,-0.44387,-0.91705,10.83769,0.0875,-2.37993,25.12926
Gar,13,1742632640791,0.08016,-0.60239,11.55674,0.71748,0.69998,24.14929
Gar,14,1742632640799,0.08016,-0.60239,11.55674,-2.22243,1.95994,23.44931
Gar,15,1742632640807,-0.78664,-1.0331,9.85783,-5.30234,0.41999,23.7993
Gar,16,1742632640816,-0.78664,-1.0331,9.85783,-5.30234,5.10985,21.13938
Gar,17,1742632640825,-0.78664,-1.0331,9.85783,-5.86233,4.12988,21.97935
Gar,18,1742632640834,-0.08016,-0.21176,9.80459,-2.15244,4.19988,20.5094
Gar,19,1742632640841,-0.08016,-0.21176,9.80459,5.33734,0.48999,20.92938
Gar,20,1742632640850,-1.00439,-1.01396,10.42852,5.82733,1.18996,19.73942
Gar,21,1742632640857,-1.00439,-1.01396,10.42852,3.16741,2.23993,20.01941
Gar,22,1742632640867,0.22792,-0.42114,9.72264,-0.40249,3.4999,21.97935
Gar,23,1742632640875,0.22792,-0.42114,9.72264,5.75733,2.02994,19.66942
Gar,24,1742632640883,0.22792,-0.42114,9.72264,11.28717,2.44993,19.45943
Gar,25,1742632640891,-0.35354,-0.2997,9.8004,12.26714,6.29981,16.72951
Gar,26,1742632640899,-0.35354,-0.2997,9.8004,3.09741,4.54987,10.70968
Gar,27,1742632640908,-0.70469,-1.26999,8.79961,3.09741,-3.2899,11.82965
Gar,28,1742632640916,-0.70469,-1.26999,8.79961,8.34725,-1.46996,12.94962
Gar,29,1742632640925,0.13938,0.53121,9.67598,9.11723,5.73983,17.49949
Gar,30,1742632640934,0.13938,0.53121,9.67598,7.50728,1.25996,17.49949
Gar,31,1742632640942,0.13938,0.53121,9.67598,9.95721,0.20999,17.0095
Gar,32,1742632640949,-1.21316,0.76092,10.85444,13.87709,1.25996,17.42949
Gar,33,1742632640959,-1.21316,0.76092,10.85444,0.71748,5.52984,14.97956
Gar,34,1742632640967,0.18425,-0.33858,7.47278,-6.42231,3.70989,14.34958
Gar,35,1742632640975,0.18425,-0.33858,7.47278,-2.71242,-0.62998,13.7196
Gar,36,1742632640984,-0.90748,0.09332,10.867,7.57728,2.44993,13.22961
Gar,37,1742632640992,-0.90748,0.09332,10.867,0.85747,-0.41999,11.82965
Gar,38,1742632641000,-0.90748,0.09332,10.867,-3.4824,1.04997,11.68966
Gar,39,1742632641008,-0.06042,-0.33918,8.22593,-3.90238,4.47987,11.40966
Gar,40,1742632641015,-0.06042,-0.33918,8.22593,-3.13241,4.54987,11.61966
Gar,41,1742632641026,-0.20997,-0.23031,10.81915,4.49737,3.70989,10.98968
Gar,42,1742632641033,-0.20997,-0.23031,10.81915,6.59731,6.22982,10.0797
Gar,43,1742632641042,-0.34277,-0.37388,8.18106,-2.01244,8.25976,9.51972
Gar,44,1742632641051,-0.34277,-0.37388,8.18106,-0.96247,0.97997,9.65972
Gar,45,1742632641058,-0.34277,-0.37388,8.18106,3.09741,6.08982,8.46975
Gar,46,1742632641068,-0.16869,-0.82792,10.3334,2.25743,6.22982,8.46975
Gar,47,1742632641076,-0.16869,-0.82792,10.3334,-3.13241,2.23993,7.97977
Gar,48,1742632641084,-0.48275,-0.07119,9.83091,-2.36243,3.56989,7.76977
Gar,49,1742632641093,-0.48275,-0.07119,9.83091,2.81742,4.12988,7.62978
Gar,50,1742632641100,-0.63111,-0.64247,10.08874,2.04744,3.21991,7.27979
Gar,51,1742632641108,-0.63111,-0.64247,10.08874,0.64748,1.74995,7.69977
Gar,52,1742632641118,-0.63111,-0.64247,10.08874,-3.3424,1.95994,6.7198
Gar,53,1742632641126,0.07896,0.24467,10.17368,-2.92241,3.3599,6.36981
Gar,54,1742632641135,0.07896,0.24467,10.17368,-2.08244,1.46996,4.82986
Gar,55,1742632641143,-0.99362,-1.03011,9.61735,-3.90238,1.46996,3.84989
