ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,501,1739352584189,-0.92805,-4.14405,9.04995,0.74843,-8.0121,-3.84455
HS,502,1739352584204,-1.36605,-1.51695,2.571,10.05254,-12.14026,-1.67017
HS,503,1739352584221,-3.114,-2.78205,21.498,0.88235,-3.46639,-1.11082
HS,504,1739352584239,0.996,-4.34505,7.51095,-5.82985,-7.52365,-3.98635
HS,505,1739352584254,-2.448,-3.303,3.807,17.05624,6.47586,0.00788
HS,506,1739352584272,-2.448,-3.303,3.807,1.58351,-2.89917,-4.96325
HS,507,1739352584286,-3.37995,-2.17305,17.48505,-11.22639,-10.60402,-0.48057
HS,508,1739352584304,0.07905,-4.58895,10.40595,5.01839,10.04467,2.04045
HS,509,1739352584322,3.819,-1.455,10.602,-4.57722,-6.12134,0.35452
HS,510,1739352584339,-2.52705,0.555,6.86205,2.00893,12.42387,5.53835
HS,511,1739352584355,-2.472,-5.14695,13.20195,0.04727,-3.46639,3.7894
HS,512,1739352584370,2.93805,-1.64895,5.29395,16.63869,-0.10242,1.05567
HS,513,1739352584384,2.93805,-1.64895,5.29395,9.14655,-5.49108,4.34875
HS,514,1739352584400,-1.84995,1.09095,10.815,-5.76682,0.31513,5.19171
HS,515,1739352584413,-1.368,1.25895,12.426,-12.416,9.13868,3.8603
HS,516,1739352584428,1.2,-0.91605,10.33395,-14.16495,11.02944,6.51525
HS,517,1739352584447,0.98595,-6.414,10.494,-3.0331,8.50842,5.19171
HS,518,1739352584461,0.75195,-1.02405,7.00605,4.73478,3.32459,8.76052
HS,519,1739352584483,1.032,4.38795,12.936,8.02785,-24.11508,3.64759
HS,520,1739352584498,1.032,4.38795,12.936,-14.51159,0.52784,6.38132
HS,521,1739352584510,-1.46895,-0.95205,9.63495,3.54518,2.69433,3.99423
HS,522,1739352584528,1.21905,-7.431,4.398,20.1366,-13.47167,6.38132
HS,523,1739352584544,-0.68595,0.993,16.50105,4.52995,6.05831,2.7416
HS,524,1739352584561,-1.19595,-1.08405,6.64395,2.14286,-3.88394,3.15915
HS,525,1739352584577,7.52805,-0.52395,12.83805,-6.18436,-2.48162,4.69539
HS,526,1739352584594,-0.492,-0.88995,9.10995,0.25998,6.26314,4.8372
HS,527,1739352584611,-0.492,-0.88995,9.10995,12.57356,-1.85137,9.73742
HS,528,1739352584627,4.94205,0.50205,7.84605,7.11399,20.05782,5.39655
HS,529,1739352584644,-3.47505,-1.20405,6.98205,2.49738,1.50473,8.54781
HS,530,1739352584662,0.73005,1.50795,11.89995,-1.28414,9.55622,8.68962
HS,531,1739352584678,4.99905,4.21095,9.702,-7.51577,8.92597,5.39655
HS,532,1739352584695,-2.022,-5.262,4.53705,3.26944,26.707,7.35821
HS,533,1739352584711,2.36805,-0.86895,4.26705,28.88925,-1.57563,-1.03992
HS,534,1739352584726,2.36805,-0.86895,4.26705,1.37868,-39.446,9.87922
HS,535,1739352584753,3.38595,3.83505,4.53495,8.30359,22.64974,8.1933
HS,536,1739352584766,-3.07995,1.824,6.31905,-5.13657,13.82619,7.50002
HS,537,1739352584777,-3.07995,1.824,6.31905,-3.59245,20.26265,3.57669
HS,538,1739352584793,2.62905,1.668,10.31205,-0.9375,4.09665,-4.33299
HS,539,1739352584810,5.74605,3.62505,8.256,-5.69592,-4.78993,-4.19119
HS,540,1739352584827,4.64505,0.88995,11.121,-11.36032,13.54257,1.89864
HS,541,1739352584844,-8.41005,-3.141,5.253,7.67334,18.44279,11.76999
HS,542,1739352584860,-8.41005,-3.141,5.253,-2.47375,-32.3714,-3.3561
HS,543,1739352584877,0.132,-3.33705,14.60295,0.60662,7.80727,-3.41913
HS,544,1739352584893,-1.57005,-4.278,10.446,4.73478,-3.04097,-1.88288
HS,545,1739352584910,2.868,-4.053,14.787,-4.2227,8.29571,-3.84455
