ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,6251,1739356436072,-0.06969,-1.47428,9.57608,0.96128,-1.34273,3.92139
Abj,6252,1739356436089,-0.10319,-0.85394,9.76541,0.04578,0.79343,3.37209
Abj,6253,1739356436105,-0.14148,-1.15813,9.22164,-1.72419,0.3662,3.43313
Abj,6254,1739356436124,-0.18215,-1.71625,9.36042,-2.15143,1.2817,3.43313
Abj,6255,1739356436140,-0.09123,-1.41206,10.16052,-2.39556,-1.58687,3.61623
Abj,6256,1739356436165,-0.32333,-1.71625,9.65534,-0.38146,1.95307,3.31106
Abj,6257,1739356436181,-0.15583,-1.57268,9.94038,-0.86973,3.1127,2.76176
Abj,6258,1739356436189,-0.15583,-1.57268,9.94038,1.81574,-3.05167,3.18899
Abj,6259,1739356436205,-0.09123,-1.45274,10.0002,1.51058,1.22067,3.06693
Abj,6260,1739356436221,-0.14148,-1.24187,10.11985,-1.60213,-0.5493,3.00589
Abj,6261,1739356436241,-0.17498,-0.9999,10.07199,-1.78523,2.5634,2.94486
Abj,6262,1739356436258,-0.17498,-0.9999,10.07199,-1.29696,5.493,2.70073
Abj,6263,1739356436274,-0.02871,-2.2002,9.79891,-1.78523,4.88267,2.70073
Abj,6264,1739356436295,-0.06969,-0.93051,9.94756,-0.86973,0.79343,2.33453
Abj,6265,1739356436306,-0.22044,-1.82154,9.66252,-1.60213,3.78407,2.33453
Abj,6266,1739356436325,-0.17019,-1.48863,9.49951,-1.35799,-0.97653,2.21246
Abj,6267,1739356436341,-0.14865,-1.48863,8.98684,-1.72419,2.13617,2.57866
Abj,6268,1739356436359,-0.14865,-1.48863,8.98684,-2.27349,-3.05167,1.48006
Abj,6269,1739356436375,0.00239,-0.94247,9.81566,-1.17489,0.7324,1.66316
Abj,6270,1739356436391,-0.1989,-1.72343,9.15464,-1.41903,-1.6479,1.17489
Abj,6271,1739356436417,-0.17976,-1.03849,9.5354,-2.70073,-0.9155,1.60213
Abj,6272,1739356436436,0.05503,-0.95683,9.94517,-3.55519,-0.61033,1.29696
Abj,6273,1739356436444,-0.24915,-1.70429,9.84916,-3.31106,1.95307,0.80869
Abj,6274,1739356436456,-0.24915,-1.70429,9.84916,-1.96833,-1.89203,0.99179
Abj,6275,1739356436474,-0.1008,-2.28873,10.13899,2.60918,0.85447,0.86973
Abj,6276,1739356436492,-0.18694,-1.79522,9.87787,0.90024,-2.3803,0.44249
Abj,6277,1739356436510,0.07178,-0.2333,10.32593,-3.00589,1.70893,-0.10681
Abj,6278,1739356436528,-0.21565,-0.77498,9.55454,-4.10449,3.41787,-0.22888
Abj,6279,1739356436548,0.07178,-2.29352,9.45404,-2.39556,5.8592,-0.16784
Abj,6280,1739356436557,0.07178,-2.29352,9.45404,-2.33453,1.40377,0.13733
Abj,6281,1739356436574,-0.067,-1.50299,9.97388,-2.27349,0.06103,-0.28991
Abj,6282,1739356436591,-0.18694,-2.4685,9.66012,2.24298,0.79343,0.07629
Abj,6283,1739356436606,-0.1654,-2.17627,9.00838,0.71714,-6.28644,-1.20541
Abj,6284,1739356436623,-0.05264,-0.17348,10.54158,-2.27349,-7.75124,0.25939
Abj,6285,1739356436642,-0.05264,-0.17348,10.54158,-2.27349,-8.30054,-0.22888
Abj,6286,1739356436670,0.3329,-2.02283,9.01556,0.47301,3.4789,0.32043
Abj,6287,1739356436684,0.02393,-1.88405,9.57368,1.32748,5.8592,-0.28991
Abj,6288,1739356436691,0.02393,-1.88405,9.57368,2.42608,1.70893,1.11386
Abj,6289,1739356436706,-0.19172,-1.89601,9.65534,-2.39556,-1.22067,-0.41198
Abj,6290,1739356436724,-0.19412,-0.82522,10.80748,-3.18899,-8.7888,0.80869
Abj,6291,1739356436742,-0.06461,-1.86012,9.61675,-0.38146,-0.30517,0.50353
Abj,6292,1739356436765,0.10768,-1.53649,9.32692,1.81574,9.3381,0.01526
Abj,6293,1739356436774,0.10768,-1.53649,9.32692,1.75471,0.9155,0.68663
Abj,6294,1739356436791,0.05025,-1.02383,10.54637,3.46364,-0.67137,1.05283
Abj,6295,1739356436807,0.06939,-2.05633,9.32214,1.38851,0.9155,2.21246
