ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,3751,1739352448143,1.01127,-0.42562,9.89582,2.54814,-0.79343,0.68663
Ak,3752,1739352448162,2.57139,-1.7656,10.13031,9.51357,0.22125,-2.77702
Ak,3753,1739352448179,0.84138,-1.41864,9.63261,10.08958,0.54167,-3.85654
Ak,3754,1739352448192,0.84138,-1.41864,9.63261,11.74892,1.24355,-5.95075
Ak,3755,1739352448207,2.24836,-1.85653,9.56322,6.93873,2.00266,-6.58397
Ak,3756,1739352448224,-0.26411,-1.08126,9.74028,5.93549,2.61299,-6.97306
Ak,3757,1739352448240,1.49701,-2.2992,9.57039,3.89851,0.9689,-4.90937
Ak,3758,1739352448258,0.70499,-1.05733,10.05614,-9.91411,-0.86973,1.26263
Ak,3759,1739352448279,1.73629,-0.76301,9.57279,-13.24042,-1.17108,2.02554
Ak,3760,1739352448295,1.73629,-0.76301,9.57279,-9.94462,-0.2098,0.07629
Ak,3761,1739352448312,0.21685,-0.57398,9.45075,-0.68281,2.49855,-4.56606
Ak,3762,1739352448329,1.38215,-2.48824,8.86451,12.61483,5.02381,-10.03617
Ak,3763,1739352448351,1.59512,-1.97857,9.71875,13.83169,4.95515,-10.50155
Ak,3764,1739352448364,1.13091,-2.3662,9.62543,7.72453,4.51647,-8.42642
Ak,3765,1739352448379,1.22184,-0.21266,10.39592,5.72569,5.493,-7.33926
Ak,3766,1739352448392,1.22184,-0.21266,10.39592,7.17142,5.53115,-6.3818
Ak,3767,1739352448412,0.59013,-1.83978,9.1684,3.71922,2.9563,-0.20217
Ak,3768,1739352448430,2.11914,1.101,10.48445,-1.58687,1.81956,4.83308
Ak,3769,1739352448446,1.58076,-1.8015,9.51536,-5.73714,1.18634,7.1676
Ak,3770,1739352448463,1.44676,-2.88305,7.33789,-4.95515,0.16021,8.06022
Ak,3771,1739352448480,0.66431,-0.78215,10.27388,-5.8859,-1.09097,8.19754
Ak,3772,1739352448499,1.3989,-2.02642,10.02024,-4.45543,-1.152,7.33926
Ak,3773,1739352448513,1.3989,-2.02642,10.02024,-3.60478,-2.70836,6.00797
Ak,3774,1739352448534,0.66431,-2.30399,8.95783,-4.61565,-2.39556,2.24298
Ak,3775,1739352448544,0.70499,-1.55504,10.09442,-3.89851,-3.10507,0.87354
Ak,3776,1739352448559,1.16201,-1.95942,10.31456,-4.3143,-2.49474,-0.72477
Ak,3777,1739352448575,1.16201,-1.95942,10.31456,-6.23685,-1.87678,-0.54549
Ak,3778,1739352448595,1.91097,-2.00967,10.06571,-6.26355,-1.76997,-0.44631
Ak,3779,1739352448613,1.59033,-1.15304,8.57976,-7.94959,-0.45394,-0.24032
Ak,3780,1739352448628,1.95882,-1.39711,9.94846,-11.49334,-0.5493,1.11767
Ak,3781,1739352448645,1.08066,-1.26072,8.91955,-9.13212,-1.37707,1.51439
Ak,3782,1739352448664,2.10718,-1.30857,10.53949,-6.6946,-1.31603,1.02994
