ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,7501,1739356223170,-0.01095,0.0,10.07505,-2.96219,0.76418,-15.39394
HS,7502,1739356223188,-0.01095,0.0,10.07505,-2.53677,10.35192,-15.66968
HS,7503,1739356223207,-1.275,-5.00295,8.40195,5.37291,-3.8603,-15.46485
HS,7504,1739356223226,-1.34895,-5.03895,10.578,10.96641,5.6644,-15.53575
HS,7505,1739356223244,-0.84405,1.51005,9.762,4.52995,2.22952,-15.03943
HS,7506,1739356223262,-0.16695,-0.078,9.87405,-0.08666,2.51314,-13.43228
HS,7507,1739356223280,-0.921,-3.47805,7.626,1.86713,-5.39655,-10.76946
HS,7508,1739356223295,0.342,-2.20695,9.25905,5.93226,1.52837,-13.71589
HS,7509,1739356223312,-0.68895,-1.31895,8.706,4.87659,1.25263,-13.92073
HS,7510,1739356223327,-0.71205,2.418,8.75595,-1.00053,-0.22059,-13.21957
HS,7511,1739356223335,-0.71205,2.418,8.75595,-3.16702,4.19119,-13.21957
HS,7512,1739356223351,0.25395,-1.42395,9.345,-5.54623,2.58404,-12.10087
HS,7513,1739356223369,-0.43695,-4.431,9.39795,-1.77259,5.79833,-11.68333
HS,7514,1739356223387,-0.74805,-2.556,9.67995,3.26944,4.82144,-11.75423
HS,7515,1739356223405,-0.339,-4.33995,10.96095,7.82302,7.27155,-11.68333
HS,7516,1739356223422,0.05505,0.61995,9.153,8.65811,5.16808,-12.66022
HS,7517,1739356223441,0.50505,-0.00705,10.66905,6.2789,0.55147,-12.17177
HS,7518,1739356223459,-0.55905,-0.09795,10.68795,2.15074,7.34245,-11.68333
HS,7519,1739356223478,-0.94905,-3.05895,10.24995,-4.92386,5.79833,-11.68333
HS,7520,1739356223495,-0.97605,-3.59295,8.42295,-2.19013,-1.19748,-11.39971
HS,7521,1739356223513,-0.97605,-3.59295,8.42295,2.07984,-2.7416,-13.21957
HS,7522,1739356223529,-0.387,-2.74995,12.699,1.16597,3.84455,-13.71589
HS,7523,1739356223545,-1.74195,-1.79505,10.176,1.16597,1.67017,-13.64499
HS,7524,1739356223562,1.44105,0.141,10.34805,-2.96219,3.00158,-13.29047
HS,7525,1739356223581,-1.19805,-1.91505,7.173,-3.16702,-7.42911,-13.99163
HS,7526,1739356223598,1.731,-2.63295,7.56405,-2.82038,-15.96905,-16.37084
HS,7527,1739356223618,-1.122,-2.06295,11.45895,-0.58298,12.51841,-15.18123
HS,7528,1739356223637,-0.63105,-3.01905,8.574,0.67752,-1.82774,-16.65445
HS,7529,1739356223655,0.71595,-2.57595,9.9,-0.15756,18.82095,-14.06253
HS,7530,1739356223676,-0.74595,-1.527,10.497,0.33088,21.12925,-15.03943
