ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,4251,1739356401865,1.75695,-1.57995,10.16595,2.14286,3.14339,8.6975
HS,4252,1739356401882,-0.12795,0.26805,10.758,0.74843,-1.4811,8.41389
HS,4253,1739356401899,-0.19995,-1.55295,9.09105,2.00893,1.18173,8.20905
HS,4254,1739356401916,-0.19995,-1.55295,9.09105,-0.30725,-2.18225,7.15338
HS,4255,1739356401933,-1.476,-0.83505,9.21105,-1.00053,-4.07301,5.89287
HS,4256,1739356401948,0.04605,-1.122,10.51605,0.95326,-4.13604,7.43699
HS,4257,1739356401965,-0.882,-3.24405,7.79805,0.11817,6.7122,7.29519
HS,4258,1739356401982,-1.11,-0.36105,10.224,2.42648,7.20065,6.94067
HS,4259,1739356401999,0.23505,0.435,10.38195,-0.15756,2.64706,5.68016
HS,4260,1739356402014,-1.14105,-1.14405,8.493,0.60662,3.56093,5.60926
HS,4261,1739356402031,-0.91395,-1.455,10.96605,-3.37973,2.08771,5.04991
HS,4262,1739356402049,-0.91395,-1.455,10.96605,-1.70168,5.86924,5.18384
HS,4263,1739356402066,0.876,-0.67695,9.73305,0.40179,-0.99265,5.39655
HS,4264,1739356402083,-0.897,-2.52105,9.02895,1.93803,0.19695,5.32564
HS,4265,1739356402100,0.345,-0.89505,10.94205,-0.37027,8.67386,5.18384
HS,4266,1739356402117,-0.59805,-1.458,8.96895,-0.08666,-0.92175,4.62449
HS,4267,1739356402131,-0.279,-1.56,9.69,0.89023,2.37133,5.25474
HS,4268,1739356402148,-2.982,-0.91905,9.21105,-1.27626,0.26786,4.49056
HS,4269,1739356402165,-2.982,-0.91905,9.21105,-2.89129,0.13393,4.41965
HS,4270,1739356402185,-0.05595,-1.062,10.91805,-0.65389,0.40966,5.11293
HS,4271,1739356402198,-0.79395,-2.724,9.852,3.19854,3.56093,5.81409
HS,4272,1739356402208,-0.34095,-0.114,9.48405,-0.08666,-0.70904,5.46745
HS,4273,1739356402230,1.05795,-0.624,8.51895,1.7332,-1.41019,5.68016
HS,4274,1739356402248,-1.122,-0.69105,9.38595,0.89023,3.49003,5.74319
HS,4275,1739356402265,-1.68495,-1.584,8.943,2.15074,2.93068,5.9559
HS,4276,1739356402282,-0.147,-0.46395,11.763,1.03204,4.75054,6.44434
HS,4277,1739356402299,-0.147,-0.46395,11.763,0.33088,4.4039,6.37344
HS,4278,1739356402313,-1.017,-1.608,9.87405,2.00893,4.96325,6.37344
HS,4279,1739356402330,-1.005,-1.845,10.05405,3.68698,1.52837,6.37344
HS,4280,1739356402349,-0.40605,-0.47295,9.43095,4.0415,-1.552,6.23951
HS,4281,1739356402366,-0.70995,-1.695,10.95405,2.22164,2.15862,6.94067
HS,4282,1739356402381,-0.411,-0.48105,8.29395,3.48215,-1.26839,6.65705
HS,4283,1739356402396,0.38595,-0.14295,11.07405,1.44958,1.81198,7.42911
HS,4284,1739356402413,0.38595,-0.14295,11.07405,2.07984,4.26209,6.58615
HS,4285,1739356402430,-0.82995,-1.347,9.10995,0.04727,0.76418,6.58615
HS,4286,1739356402447,-1.31295,-1.098,9.82095,0.81933,0.62238,6.23951
HS,4287,1739356402464,-0.34605,-1.80705,10.389,0.11817,5.5226,6.65705
HS,4288,1739356402482,-1.04805,-1.764,7.803,0.47269,0.40966,5.9559
HS,4289,1739356402498,-0.26205,0.411,10.30695,1.16597,4.53783,5.53835
HS,4290,1739356402515,1.14705,-0.02295,10.068,0.89023,2.51314,5.60926
HS,4291,1739356402533,-0.63105,-1.347,8.337,1.16597,5.23898,4.9081
