ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,4501,1739352464240,-1.31336,0.73759,10.72164,-25.92392,-8.25095,28.21648
RV,4502,1739352464257,-0.88744,-1.52363,8.75235,-11.93584,-6.02323,22.01015
RV,4503,1739352464274,-0.88744,-1.52363,8.75235,-6.89677,-6.91584,20.91537
RV,4504,1739352464291,-1.53829,-2.30369,9.62812,4.54317,-7.57958,18.12691
RV,4505,1739352464309,0.6655,-1.78684,8.84088,8.75829,-5.06958,16.30354
RV,4506,1739352464325,-1.58136,-1.21256,8.93899,13.58755,-3.96717,15.13627
RV,4507,1739352464341,-1.47368,-3.45703,8.88395,29.65458,3.40261,8.17847
RV,4508,1739352464358,-2.13888,-4.57209,9.90808,27.42305,4.42873,8.57519
RV,4509,1739352464380,-2.13888,-4.57209,9.90808,-9.85689,-2.51,22.70059
RV,4510,1739352464398,-2.61266,-0.18604,10.81017,-7.52236,-3.19281,22.56327
RV,4511,1739352464405,0.61525,-0.32483,8.95574,-4.17316,-1.95307,21.12517
RV,4512,1739352464424,-0.14806,-0.72203,8.54178,5.05051,-2.84949,19.08055
RV,4513,1739352464442,-0.83719,-3.77767,9.94397,12.56906,-2.95249,17.36018
RV,4514,1739352464459,-1.05254,-3.18425,9.25484,6.9311,-6.16437,20.56443
RV,4515,1739352464475,-1.05254,-3.18425,9.25484,5.88972,-8.81169,21.87283
RV,4516,1739352464490,0.44297,-3.70588,9.05145,9.53265,-12.80938,21.21291
RV,4517,1739352464512,0.81386,-3.48335,11.62373,7.96485,-12.84371,21.31972
RV,4518,1739352464526,-1.68664,0.72802,10.68336,-9.44491,-24.78336,30.57008
RV,4519,1739352464540,-1.68425,-2.75115,11.59502,-12.92381,-20.82382,28.71619
RV,4520,1739352464558,-1.68425,-2.75115,11.59502,-21.93386,-18.81735,30.4175
RV,4521,1739352464576,0.78514,-3.25843,10.79103,-25.51194,-19.60697,30.09326
RV,4522,1739352464591,-1.80389,1.30708,10.78146,4.08923,-9.90266,13.60281
RV,4523,1739352464608,0.18455,-1.42792,9.57787,10.25742,-5.86683,9.62801
RV,4524,1739352464624,-1.49761,-0.22672,8.59203,14.14448,-4.24945,7.89238
RV,4525,1739352464649,-1.28943,-1.98784,9.66401,32.02725,4.40966,0.22125
RV,4526,1739352464667,-0.53091,-0.6335,12.27937,22.58234,2.01792,5.53496
RV,4527,1739352464681,-0.53091,-0.6335,12.27937,26.16424,2.36123,4.75679
RV,4528,1739352464689,-0.75344,-1.57866,10.43929,32.51552,4.29904,2.58247
RV,4529,1739352464706,-0.49023,-4.84726,9.36252,28.3004,6.0156,3.36446
RV,4530,1739352464723,-0.97119,-4.00259,10.0349,-26.66776,-3.12033,26.95767
RV,4531,1739352464742,-0.31795,0.36191,10.43211,-27.55275,-2.21246,26.48466
RV,4532,1739352464758,-1.44018,-0.10947,9.48455,-25.3174,-3.46746,25.1076
RV,4533,1739352464774,-1.44018,-0.10947,9.48455,-12.67968,-2.38793,17.8637
RV,4534,1739352464798,1.69442,-4.26341,9.07299,-18.88601,-16.27302,25.4471
RV,4535,1739352464808,-2.02403,-2.57169,12.67418,-48.65884,-27.60996,43.31079
RV,4536,1739352464830,1.0675,-0.10229,9.88415,-40.08747,-20.7399,37.55077
RV,4537,1739352464839,-0.93051,0.17049,12.2339,22.2047,-3.18136,6.45046
