ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1001,1739355276454,-0.495,-3.19605,7.386,10.12345,-5.07354,-7.27155
HS,1002,1739355276471,-1.03605,-0.402,12.975,9.14655,10.74582,-8.53206
HS,1003,1739355276486,-0.882,-0.447,9.93195,2.49738,14.51947,-8.81567
HS,1004,1739355276503,-0.882,-0.447,9.93195,0.67752,7.94119,-8.88658
HS,1005,1739355276518,-0.10005,1.37595,11.17395,-0.09454,13.89709,-7.97271
HS,1006,1739355276535,-1.74405,-2.88705,7.413,6.06619,-0.59874,-8.39813
HS,1007,1739355276552,-2.16795,0.77505,9.699,4.80568,8.22481,-8.67386
HS,1008,1739355276568,1.281,1.314,11.778,1.44958,0.87448,-11.61242
HS,1009,1739355276586,-0.51405,-2.844,10.13505,-6.18436,11.44698,-9.51683
HS,1010,1739355276601,-2.68305,-5.14005,9.97005,-0.51208,1.36292,-10.77734
HS,1011,1739355276620,-2.68305,-5.14005,9.97005,6.55464,3.67123,-9.93437
HS,1012,1739355276635,-1.215,-2.48505,9.963,10.12345,1.85137,-10.28101
HS,1013,1739355276651,1.13295,2.667,9.50805,4.52995,-3.04885,-12.24267
HS,1014,1739355276670,0.28305,-0.26805,11.421,0.67752,9.69015,-10.70643
HS,1015,1739355276686,-1.32795,-3.40905,6.36405,2.42648,-9.55622,-9.37502
HS,1016,1739355276701,-0.30495,-0.02595,13.25505,5.36503,4.79781,-10.77734
HS,1017,1739355276717,-0.447,-4.56795,10.209,4.24633,16.20539,-10.42282
HS,1018,1739355276734,-0.58995,-2.82495,11.00205,12.57356,4.58509,-9.65076
HS,1019,1739355276751,-0.58995,-2.82495,11.00205,11.52576,13.89709,-8.95748
HS,1020,1739355276767,-1.54095,3.237,10.80105,1.44958,11.02156,-9.93437
HS,1021,1739355276784,-0.61695,2.27895,8.337,-4.92386,-8.0121,-9.72166
HS,1022,1739355276801,-3.054,-4.707,9.33105,-1.28414,2.41072,-7.69697
HS,1023,1739355276816,-1.25595,-5.094,9.309,6.90915,-15.08669,-8.46115
HS,1024,1739355276834,-1.79205,-1.395,9.843,8.16966,5.7747,-7.48426
HS,1025,1739355276849,-1.11,0.41895,10.803,-0.02363,-10.67492,-11.12398
HS,1026,1739355276870,-2.29005,-0.624,8.85405,-2.89129,15.64604,-10.21799
HS,1027,1739355276887,-2.29005,-0.624,8.85405,-2.40284,4.58509,-11.05307
HS,1028,1739355276905,-3.801,-5.89905,10.746,5.01839,9.2017,-8.25632
HS,1029,1739355276924,-1.57905,-2.92005,6.61095,4.10453,-17.60771,-11.40759
HS,1030,1739355276938,1.362,4.692,13.31895,0.18908,6.19224,-10.63553
HS,1031,1739355276953,0.05295,0.51705,7.353,-2.19013,-20.54627,-11.96694
HS,1032,1739355276969,0.26595,-5.37495,16.008,-5.06566,-17.60771,-11.89604
HS,1033,1739355276986,0.91905,-1.185,11.12595,-1.35505,6.82249,-10.70643
