ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,251,1739357658264,0.08375,-1.92233,9.25035,-0.56456,-4.0282,4.10449
Abj,252,1739357658280,0.60598,-2.2337,7.65972,3.40261,13.97664,4.65379
Abj,253,1739357658298,1.06361,-0.56889,9.88984,-0.56456,-4.0282,3.67726
Abj,254,1739357658315,1.06361,-0.56889,9.88984,-0.56456,2.80753,3.67726
Abj,255,1739357658324,0.13161,-0.95683,8.39283,1.44954,5.73714,5.01999
Abj,256,1739357658340,0.48156,-1.51496,9.94995,1.75471,-7.38504,2.63969
Abj,257,1739357658358,0.9006,-1.84337,11.25315,-1.29696,-12.93907,2.88383
Abj,258,1739357658374,0.19382,-3.14626,8.26571,5.72188,7.6902,3.25003
Abj,259,1739357658392,0.19382,-3.14626,8.26571,6.99595,2.0141,4.65379
Abj,260,1739357658415,1.31276,-1.27777,11.0016,4.80638,0.12207,4.10449
Abj,261,1739357658432,0.60359,-1.68275,11.41586,5.23361,2.5634,6.54583
Abj,262,1739357658438,0.51984,-0.96879,10.1031,4.86741,8.72777,3.31106
Abj,263,1739357658456,-0.09123,0.92842,11.02792,-5.38619,-5.6761,6.05756
Abj,264,1739357658474,0.45494,-1.12702,10.90559,-8.07166,6.34747,4.22656
Abj,265,1739357658491,0.45494,-1.12702,10.90559,-9.84163,6.10334,5.99653
Abj,266,1739357658508,0.18664,-3.43849,11.09731,-2.45659,0.67137,5.01999
Abj,267,1739357658524,0.65623,-3.38106,10.4698,-1.17489,3.90613,0.99179
Abj,268,1739357658542,0.28265,-1.01904,10.10788,-8.37683,4.15027,3.98243
Abj,269,1739357658561,0.93649,-0.39631,10.14856,-2.21246,-6.16437,3.67726
Abj,270,1739357658582,0.25633,-2.0659,8.20589,-4.83689,10.0705,1.84626
Abj,271,1739357658597,0.25633,-2.0659,8.20589,-1.90729,-6.53057,2.09039
Abj,272,1739357658613,0.60838,-2.12602,9.74627,-0.56456,1.4648,3.00589
Abj,273,1739357658632,0.86949,-1.50778,9.15225,0.10681,-2.13617,1.72419
Abj,274,1739357658643,0.45494,-1.85533,8.22503,0.77818,0.61033,4.16553
Abj,275,1739357658658,1.12343,-1.7019,8.82144,2.85331,-1.52583,2.21246
Abj,276,1739357658674,1.12343,-1.7019,8.82144,-1.54109,-6.5916,3.79933
Abj,277,1739357658692,0.56052,-1.05284,9.78934,-0.80869,-0.97653,4.22656
Abj,278,1739357658713,0.35444,-1.07438,9.47079,4.19604,-4.08923,4.47069
Abj,279,1739357658735,0.47438,-1.23709,10.07917,2.54814,-0.97653,3.92139
Abj,280,1739357658741,-0.10558,-1.82393,9.91646,-0.32043,0.30517,3.92139
Abj,281,1739357658757,0.34726,-0.62632,9.15464,-1.35799,6.28644,4.95896
Abj,282,1739357658774,0.34726,-0.62632,9.15464,-1.96833,2.5634,4.65379
Abj,283,1739357658791,0.44776,-1.64447,8.70419,5.17258,3.8451,5.14206
Abj,284,1739357658808,0.57488,-3.41695,9.22164,5.47774,6.0423,4.28759
