ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1501,1739352602152,-1.22901,0.05892,10.41207,-0.13733,-4.69957,-0.10681
Abj,1502,1739352602170,-0.77617,-1.81914,9.61197,0.71714,-8.9719,2.70073
Abj,1503,1739352602194,-0.79531,-1.25384,9.65773,-9.29233,10.8029,4.59276
Abj,1504,1739352602212,-1.82303,-2.03719,11.82084,-2.70073,3.23477,-1.44954
Abj,1505,1739352602228,-0.87458,-3.05773,10.30918,-5.99653,-3.8451,4.04346
Abj,1506,1739352602247,-0.54138,-2.95244,9.99303,5.47774,8.48364,1.72419
Abj,1507,1739352602257,-0.97268,-1.45274,8.31626,5.59981,-7.07987,1.60213
Abj,1508,1739352602268,-0.97268,-1.45274,8.31626,0.28991,10.74187,0.44249
Abj,1509,1739352602285,-1.71296,-0.5665,10.34986,-15.88393,-10.4367,-3.34158
Abj,1510,1739352602304,-0.37388,-1.599,9.74866,4.98948,-11.41324,-2.30401
Abj,1511,1739352602321,-0.30179,-3.99452,7.01546,7.97248,7.20194,1.60213
Abj,1512,1739352602338,-1.17876,-1.49342,11.40868,-8.98716,-3.17373,-0.71714
Abj,1513,1739352602354,0.07418,-1.78086,8.69223,3.58571,-2.80753,1.66316
Abj,1514,1739352602373,0.07418,-1.78086,8.69223,11.81758,4.82164,3.25003
Abj,1515,1739352602393,-0.86231,-1.10788,7.79163,-7.03409,13.1832,3.00589
Abj,1516,1739352602414,-1.21226,-1.71864,11.72244,4.74534,4.27234,-0.04578
Abj,1517,1739352602428,-0.63021,-3.34517,8.84058,-10.1468,-5.24887,-1.69368
Abj,1518,1739352602438,-0.71874,-0.22851,10.85773,-8.49889,7.1409,-1.26644
Abj,1519,1739352602450,-0.71874,-0.22851,10.85773,-5.32516,-8.0564,1.90729
Abj,1520,1739352602468,-1.26969,-2.14517,7.5353,-0.99179,-1.89203,0.99179
Abj,1521,1739352602486,-0.12233,-2.44457,10.82662,-5.87446,-1.89203,2.09039
Abj,1522,1739352602505,-1.25773,-2.88036,10.17009,3.40261,-1.22067,1.66316
Abj,1523,1739352602521,-1.51167,-1.12223,9.7343,-0.19836,4.08923,-0.83921
Abj,1524,1739352602538,-0.85753,-2.57378,10.0361,2.54814,-7.99537,0.07629
Abj,1525,1739352602561,-1.0014,-3.24227,11.09731,4.56224,-3.53993,1.23593
Abj,1526,1739352602577,-0.10558,-0.47527,10.13899,-0.74766,4.88267,-0.77818
Abj,1527,1739352602594,-0.10558,-0.47527,10.13899,-0.56456,0.61033,-0.04578
Abj,1528,1739352602611,-0.91765,-0.71486,8.07428,0.65611,0.85447,-0.59508
Abj,1529,1739352602624,-1.13539,-1.22273,9.3006,-11.91676,0.06103,-2.36504
Abj,1530,1739352602642,-1.42552,-4.26521,9.41336,9.31522,-10.6198,-0.47301
Abj,1531,1739352602652,-1.42552,-4.26521,9.41336,-6.05756,4.82164,-1.81574
Abj,1532,1739352602669,-0.67807,-2.39671,10.90559,-1.48006,-4.5775,-1.20541
Abj,1533,1739352602687,0.18185,-0.81087,9.54018,-1.84626,-6.46954,0.44249
Abj,1534,1739352602705,-1.45902,-1.20598,9.08495,0.41198,-4.0282,-1.69368
Abj,1535,1739352602722,-0.57966,-3.38824,10.22064,-2.27349,6.9578,-1.20541
Abj,1536,1739352602738,-0.92243,-3.37388,9.39901,10.47485,-10.0705,-1.44954
Abj,1537,1739352602762,-1.01097,-0.0682,10.37378,-1.72419,-1.6479,1.05283
Abj,1538,1739352602778,-0.25394,-1.01904,7.51137,1.99884,-0.85447,1.05283
Abj,1539,1739352602794,-0.25394,-1.01904,7.51137,-9.78059,2.80753,0.07629
Abj,1540,1739352602811,-1.01575,-1.10309,10.6349,-6.54583,1.34273,2.21246
Abj,1541,1739352602821,-0.33799,-3.84347,9.57129,2.48711,-2.25823,1.54109
Abj,1542,1739352602840,-1.63131,-4.28674,9.17857,11.02415,-9.155,3.73829
Abj,1543,1739352602851,-1.63131,-4.28674,9.17857,-6.54583,2.1972,-1.08334
Abj,1544,1739352602869,-0.25155,-0.89462,13.08306,2.97538,-6.7747,5.01999
Abj,1545,1739352602887,-1.4662,-0.95922,8.85045,3.15848,1.70893,2.21246
Abj,1546,1739352602905,-0.57488,-2.05155,9.45883,-1.17489,-0.9155,4.47069
Abj,1547,1739352602922,-1.27687,-2.19541,8.96292,10.10865,-0.67137,2.88383
Abj,1548,1739352602939,-0.50309,-1.30917,9.24078,-1.72419,2.13617,1.29696
Abj,1549,1739352602955,-0.50309,-1.30917,9.24078,-6.24066,-2.07513,3.49416
Abj,1550,1739352602982,-0.51266,-3.79561,10.21107,-11.2454,2.44133,1.78523
Abj,1551,1739352602999,-0.51266,-3.79561,10.21107,22.49842,-2.7465,2.70073
Abj,1552,1739352603013,-0.58445,-4.55743,8.47179,-7.52236,9.64327,4.16553
Abj,1553,1739352603026,-1.23141,-0.08734,11.49482,18.47022,-8.36157,2.02936
Abj,1554,1739352603036,-1.3343,-1.19641,9.70798,-5.01999,-3.05167,0.32043
Abj,1555,1739352603053,-1.3343,-1.19641,9.70798,-20.0342,-1.52583,2.45659
Abj,1556,1739352603071,-0.07208,-0.13998,10.12463,12.73308,-1.03757,3.43313
Abj,1557,1739352603087,-1.75603,-4.55504,7.04656,5.59981,-7.56814,-0.59508
Abj,1558,1739352603106,0.2013,-3.31406,10.07438,7.36215,-1.40377,5.93549
Abj,1559,1739352603123,-1.81346,0.3006,10.1031,-5.63033,12.63391,-0.10681
Abj,1560,1739352603140,-1.09232,-1.30678,9.93081,-6.11859,-9.64327,2.39556
Abj,1561,1739352603156,-1.09232,-1.30678,9.93081,-8.43786,5.24887,-1.08334
Abj,1562,1739352603179,-0.58684,-3.58953,11.60758,3.46364,-7.99537,2.45659
Abj,1563,1739352603196,-1.09472,-3.13669,9.37717,3.95191,1.22067,1.72419
Abj,1564,1739352603210,0.07657,-1.60618,10.23979,-2.21246,7.56814,-1.08334
Abj,1565,1739352603223,-1.27208,-1.68515,10.13659,3.95191,-2.44133,0.38146
Abj,1566,1739352603238,-0.4672,-1.65643,8.7688,1.26644,-6.28644,-0.77818
Abj,1567,1739352603255,-0.4672,-1.65643,8.7688,-15.2736,7.01884,0.68663
Abj,1568,1739352603272,-1.0014,0.01077,11.25315,-0.13733,-3.1127,-1.08334
Abj,1569,1739352603289,-0.65175,-4.57179,6.55783,-2.02936,1.95307,1.41903
Abj,1570,1739352603306,-0.49831,-1.10548,11.61476,-8.43786,7.324,-0.71714
