ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,251,1739352578680,1.9349,0.44297,12.79113,38.71803,16.15858,37.57366
Ak,252,1739352578695,-0.36461,-7.24517,7.41207,40.65966,12.02357,33.5569
Ak,253,1739352578718,5.00249,1.73031,17.44757,-12.75979,12.54617,21.20146
Ak,254,1739352578731,5.00249,1.73031,17.44757,11.60778,2.70073,16.26539
Ak,255,1739352578748,1.28644,-5.07248,2.9016,1.41903,9.15119,19.96172
Ak,256,1739352578763,1.02802,-6.25454,18.52673,-75.40671,10.18876,6.36273
Ak,257,1739352578781,0.62363,-5.84776,7.99592,-63.08942,-10.78383,-9.69667
Ak,258,1739352578798,2.58335,-6.0009,13.36302,-65.3591,-18.16505,-16.15477
Ak,259,1739352578813,-1.61366,-0.17438,6.72293,-93.66713,-2.85712,-2.43752
Ak,260,1739352578829,-1.61366,-0.17438,6.72293,-80.36185,-2.33834,1.14819
Ak,261,1739352578847,-2.39611,1.7327,15.2677,-39.31311,-12.49277,-1.21685
Ak,262,1739352578864,4.63161,-1.65314,6.30898,-24.41334,3.52849,17.28007
Ak,263,1739352578890,-1.67587,-1.299,11.48944,18.66095,-13.13362,6.29788
Ak,264,1739352578903,3.25095,0.14148,7.68246,19.81677,31.86323,50.53562
Ak,265,1739352578913,2.7006,1.62742,13.5018,45.88564,17.27244,41.86507
Ak,266,1739352578930,2.7006,1.62742,13.5018,78.29053,15.05998,48.42234
Ak,267,1739352578947,3.07149,-0.19831,5.23221,84.28325,32.21798,66.43099
Ak,268,1739352578966,-3.06132,-1.6005,4.61246,68.26581,15.78094,42.83779
Ak,269,1739352578979,-0.41007,-0.65055,8.99372,52.84726,-10.24979,11.16148
Ak,270,1739352578996,-0.17797,-0.88505,6.76601,51.18791,2.33071,22.9104
Ak,271,1739352579014,-0.21864,-4.30678,7.22543,47.61746,4.09305,24.53922
Ak,272,1739352579031,-0.21864,-4.30678,7.22543,52.21404,0.28609,23.36433
Ak,273,1739352579049,2.04018,1.04836,8.63241,4.61946,-31.85178,-21.96056
Ak,274,1739352579065,2.05932,0.71815,10.74288,4.55843,-31.04691,-20.40803
Ak,275,1739352579085,0.00867,0.28026,7.06989,37.32953,-26.69446,-6.56872
Ak,276,1739352579093,-1.36481,-4.89542,10.88166,51.97753,-35.87999,-11.42087
Ak,277,1739352579112,6.52194,-4.29482,18.59851,-3.25003,-26.16042,-20.32411
Ak,278,1739352579127,6.52194,-4.29482,18.59851,-34.8386,-8.67055,-13.24805
Ak,279,1739352579147,-3.035,2.31655,12.98256,-52.98077,-44.39032,-50.44407
Ak,280,1739352579164,1.02323,-0.53091,9.10619,11.66119,3.41787,4.77586
Ak,281,1739352579180,1.25055,-1.93071,9.6015,1.81574,5.87827,1.06045
Ak,282,1739352579201,-0.95324,-5.69462,6.95265,-4.75679,6.10334,-2.00266
Ak,283,1739352579215,2.98535,2.55344,15.79173,-65.65282,18.66858,-5.84776
Ak,284,1739352579231,2.98535,2.55344,15.79173,-20.62927,16.13951,-0.39672
Ak,285,1739352579249,-1.98455,-3.33769,7.34507,14.89977,22.84173,13.86983
Ak,286,1739352579262,-0.85274,-2.74427,14.95185,10.50537,57.27217,44.23011
Ak,287,1739352579276,0.60927,-1.96421,4.19372,-10.71135,43.71514,26.69065
Ak,288,1739352579296,3.80608,0.04816,12.19532,-35.27347,24.75666,4.60039
Ak,289,1739352579312,4.08365,2.6659,6.08166,-31.95096,30.17336,10.66558
Ak,290,1739352579330,4.08365,2.6659,6.08166,33.82774,-6.74419,-2.33834
Ak,291,1739352579351,0.48245,-4.49821,6.65115,30.97062,-8.28146,-4.49358
Ak,292,1739352579364,2.13589,-2.12692,10.25474,-38.01234,-27.96853,-43.27265
Ak,293,1739352579380,2.08086,-2.14606,7.06989,-22.22758,-38.32895,-49.16237
Ak,294,1739352579395,3.8013,2.11316,9.58475,-22.09408,-44.87477,-55.78067
Ak,295,1739352579414,1.54247,-3.28265,9.74746,5.98127,-54.56382,-61.7772
Ak,296,1739352579432,1.54247,-3.28265,9.74746,12.86278,-55.07879,-60.64808
Ak,297,1739352579446,0.20249,-5.23041,4.62204,-13.94612,-56.64658,-65.17981
Ak,298,1739352579461,2.75803,-1.50479,13.42284,-47.52209,-26.9119,-33.99176
Ak,299,1739352579477,0.84616,-3.49083,7.15604,-17.61194,-28.50258,-33.04193
Ak,300,1739352579496,3.26052,0.632,10.82902,-18.05443,-8.81932,-12.69875
Ak,301,1739352579514,-1.32174,-0.37059,7.60349,-22.86844,-2.44896,-6.86625
Ak,302,1739352579530,-1.32174,-0.37059,7.60349,-3.75355,-2.92579,-3.92139
Ak,303,1739352579551,-5.01386,-3.833,6.7995,-40.69017,14.78152,11.86336
Ak,304,1739352579564,-0.04158,-4.34507,9.27847,0.70951,14.2284,15.33082
Ak,305,1739352579580,0.28863,2.38116,8.56301,10.30319,16.05177,18.00484
Ak,306,1739352579593,4.99771,-6.35504,12.86052,37.01291,8.99098,14.53738
Ak,307,1739352579609,4.99771,-6.35504,12.86052,37.91697,7.58721,13.96138
Ak,308,1739352579625,1.65972,-1.08604,8.92912,35.93339,7.44988,14.2284
Ak,309,1739352579641,3.27009,-3.46212,10.62563,24.35994,12.41266,19.21025
Ak,310,1739352579658,-0.31436,-0.37777,6.13909,6.33984,6.62975,12.79412
Ak,311,1739352579674,3.09302,-3.17258,13.56641,15.34607,-4.43255,4.81401
Ak,312,1739352579690,1.17876,-1.52393,5.46192,13.74013,-3.12796,9.26181
Ak,313,1739352579707,1.17876,-1.52393,5.46192,-24.21498,-2.6931,5.79054
Ak,314,1739352579730,2.61207,0.55543,9.50579,-28.1173,-6.82811,2.02554
Ak,315,1739352579748,1.96122,-1.43061,11.39133,11.13859,-18.16505,-3.21951
Ak,316,1739352579762,2.66231,-3.04098,8.28545,-5.96983,-11.31787,1.35036
Ak,317,1739352579774,2.54028,-0.45673,11.35305,-5.8592,-9.47924,3.26147
Ak,318,1739352579791,-1.21406,-0.60987,9.3359,8.28909,-3.80696,11.1157
Ak,319,1739352579807,-1.21406,-0.60987,9.3359,15.59402,7.02647,24.24169
Ak,320,1739352579823,2.25553,-3.38076,11.25733,32.80543,16.93676,37.79109
Ak,321,1739352579842,3.88983,-1.3995,11.50619,37.42108,13.46167,34.30456
Ak,322,1739352579856,2.12154,-2.26092,10.02503,7.03791,11.46664,22.91803
Ak,323,1739352579874,1.83918,-2.01685,9.16601,-0.45775,10.84105,19.49634
Ak,324,1739352579896,1.36062,-0.11216,13.3702,0.37383,7.31256,13.99953
Ak,325,1739352579913,0.87727,-7.76441,7.4025,18.61136,-18.56177,-8.80025
Ak,326,1739352579928,0.87727,-7.76441,7.4025,2.57866,-20.56824,-14.79677
Ak,327,1739352579945,-0.03679,-3.37837,8.05813,-59.69062,-21.96819,-26.64106
Ak,328,1739352579958,0.49681,-5.28545,10.91755,-54.72403,-17.59668,-21.72406
Ak,329,1739352579973,2.67189,1.24457,11.07787,-61.52925,0.14877,-4.61946
Ak,330,1739352579990,2.67189,1.24457,11.07787,-40.18665,-1.11004,-2.13998
Ak,331,1739352580007,2.4015,0.97896,9.08944,-21.93768,5.55404,7.78938
Ak,332,1739352580024,-1.27149,-3.41426,9.05115,-6.33221,6.00797,11.83284
Ak,333,1739352580041,1.55444,0.64875,9.62543,-21.29683,24.79861,29.43715
Ak,334,1739352580057,2.301,3.85514,10.0346,80.70135,6.89295,38.63793
Ak,335,1739352580073,0.84616,-0.83001,7.9002,109.28403,-3.57427,39.5458
Ak,336,1739352580090,1.34865,-4.7997,7.51974,108.75381,4.92844,53.7208
Ak,337,1739352580107,1.34865,-4.7997,7.51974,29.77283,10.73424,34.1062
Ak,338,1739352580124,1.9014,0.68465,13.17398,26.89282,0.09155,23.44825
Ak,339,1739352580141,1.11894,0.30658,7.57239,22.30388,-0.0534,22.08645
Ak,340,1739352580156,2.06411,0.07208,9.7666,29.94831,-2.48711,21.84231
Ak,341,1739352580175,1.73151,-2.52413,10.69502,30.41368,-5.64559,18.09639
Ak,342,1739352580192,1.1333,-0.22463,10.59691,-40.45749,-2.64351,-1.54109
Ak,343,1739352580214,-3.61406,-0.4663,7.93849,-26.6258,-4.50884,-2.05988
Ak,344,1739352580231,-3.61406,-0.4663,7.93849,19.56119,3.29199,13.496
Ak,345,1739352580250,1.87508,-1.45214,10.85534,19.68707,9.76152,17.04356
Ak,346,1739352580266,0.50877,-2.55763,8.3692,9.21222,15.0905,13.85457
Ak,347,1739352580283,-0.29282,-1.81585,11.81007,-2.49855,20.94207,12.22956
Ak,348,1739352580297,3.01406,-3.1343,15.7678,-8.69725,27.40016,14.88451
Ak,349,1739352580314,-0.1325,-0.52373,9.49622,2.66639,29.62406,19.63748
Ak,350,1739352580332,-0.1325,-0.52373,9.49622,-1.6212,18.96612,9.50595
Ak,351,1739352580347,-2.35543,-5.09402,7.76381,-4.23419,25.40132,14.77007
Ak,352,1739352580362,-0.63739,-2.84716,13.04238,-14.15974,-4.83689,-13.90798
Ak,353,1739352580382,-0.54407,-0.50459,6.70379,-17.98195,3.4789,-6.38943
Ak,354,1739352580398,2.66949,-5.50319,9.74507,-14.80822,3.99387,-3.78025
Ak,355,1739352580414,2.20768,-2.13649,8.51755,-18.07732,-6.14911,-11.10426
Ak,356,1739352580431,2.20768,-2.13649,8.51755,-37.25705,-19.77099,-26.84705
Ak,357,1739352580449,-0.24018,-1.29422,5.05992,-48.49863,-11.43994,-21.3426
Ak,358,1739352580465,1.2673,1.2326,11.81725,-47.59839,-14.12922,-22.86844
Ak,359,1739352580483,-0.78814,2.13948,7.58435,-5.9622,-10.2002,-8.9185
Ak,360,1739352580498,1.29841,-2.70359,11.62104,16.62778,-13.39682,-6.16055
Ak,361,1739352580511,2.48525,-2.96202,7.19911,20.38514,-20.7399,-13.44641
Ak,362,1739352580525,2.48525,-2.96202,7.19911,11.71459,-17.56998,-13.22517
Ak,363,1739352580543,-0.56321,0.30658,6.28744,-10.91353,-6.83192,-8.35394
Ak,364,1739352580562,0.39631,-2.22503,12.79592,69.87175,-20.56824,2.00647
Ak,365,1739352580579,-0.79053,-6.84317,5.23699,44.48187,-10.03236,5.58074
Ak,366,1739352580594,4.02383,0.29462,11.47747,-22.81885,4.17316,1.95307
Ak,367,1739352580614,0.80309,1.54606,9.03679,-43.98979,-15.66269,-17.59286
Ak,368,1739352580635,0.80309,1.54606,9.03679,-28.7963,-10.95167,-8.6057
Ak,369,1739352580648,4.08604,-3.55783,9.29761,16.38746,8.01063,20.81619
Ak,370,1739352580665,0.00628,-2.3351,10.94627,21.59818,-6.69841,7.23627
Ak,371,1739352580684,0.17378,-0.71515,10.98216,-32.74058,16.11281,12.79793
Ak,372,1739352580695,2.98056,-0.93529,11.28365,-24.67655,14.40006,12.23719
Ak,373,1739352580715,-1.49163,-2.13649,8.93869,25.8133,-6.5649,4.34481
Ak,374,1739352580733,-0.23539,-3.04337,10.3337,23.25752,14.8807,23.73816
Ak,375,1739352580747,-0.23539,-3.04337,10.3337,-11.86336,3.85273,3.94047
Ak,376,1739352580760,0.38674,-1.02861,13.11416,-25.82855,3.60478,1.17489
Ak,377,1739352580779,2.47567,-3.37358,11.1353,-7.64061,10.15442,12.21811
Ak,378,1739352580796,-0.6326,0.70618,8.3022,-4.22275,8.83839,13.06114
Ak,379,1739352580815,3.55484,-1.17936,9.04876,-3.65056,6.64501,11.43613
Ak,380,1739352580834,3.55484,-1.17936,9.04876,-3.22714,6.4352,10.85631
Ak,381,1739352580845,5.2011,0.75882,7.93849,-5.6761,3.65819,6.63356
Ak,382,1739352580863,-0.1014,-4.84517,12.90359,4.23037,14.22077,16.84902
Ak,383,1739352580881,4.03819,-0.90897,12.64278,-8.46456,8.93376,5.30227
Ak,384,1739352580897,-0.66371,0.53151,4.06929,-12.12275,0.42723,-4.45162
Ak,385,1739352580917,1.87029,4.21645,11.22862,14.00716,2.97919,5.16113
Ak,386,1739352580930,1.87029,4.21645,11.22862,20.67886,1.21304,5.62651
Ak,387,1739352580949,0.68106,-2.77538,9.31915,29.35704,-19.07292,-10.91734
Ak,388,1739352580961,2.15743,-1.55982,9.4029,19.95791,-4.45543,0.78962
Ak,389,1739352580976,3.13609,0.87368,8.98894,17.23811,-2.88383,1.32748
Ak,390,1739352580993,2.25075,-1.27747,10.88645,46.89651,-20.0342,-5.74858
Ak,391,1739352581013,-1.85294,0.62004,5.8017,44.96632,3.06693,14.84636
Ak,392,1739352581030,-1.85294,0.62004,5.8017,34.56014,0.55311,8.15558
Ak,393,1739352581047,3.35863,-2.08863,11.00369,41.30814,-1.4381,8.3425
Ak,394,1739352581068,1.92772,-3.27548,10.30499,20.25545,-0.1831,1.50295
Ak,395,1739352581082,-0.76899,-1.48804,10.08724,15.48722,0.06866,-0.49208
Ak,396,1739352581101,1.66211,0.12233,9.38375,-12.53473,16.29591,2.26205
Ak,397,1739352581115,0.9347,1.62742,8.97937,-8.70107,15.99074,0.86591
Ak,398,1739352581132,0.9347,1.62742,8.97937,12.71401,14.18263,5.7028
Ak,399,1739352581148,-0.0679,-5.81187,11.47747,-9.57079,5.5197,-9.28088
Ak,400,1739352581163,2.18136,-1.89242,6.28026,-55.37251,-4.21893,-30.79896
Ak,401,1739352581181,1.22662,0.34487,12.77438,-47.42292,0.30898,-23.58939
Ak,402,1739352581200,-0.86231,0.19412,10.2691,-30.0246,5.30609,-13.90416
Ak,403,1739352581210,-0.86231,0.19412,10.2691,17.78359,-2.13235,-5.00092
Ak,404,1739352581230,0.30538,-3.34247,12.19771,9.91029,-4.74916,-8.22043
Ak,405,1739352581246,-1.1016,-3.02184,8.30698,1.95688,-1.35418,-6.66026
Ak,406,1739352581264,-0.38375,-5.06291,8.62044,-34.88819,8.76592,-6.01179
Ak,407,1739352581281,1.18594,-3.65115,9.89103,24.66511,10.60836,15.53299
Ak,408,1739352581300,4.969,-0.88983,8.37638,16.70788,14.40387,17.89422
Ak,409,1739352581314,2.65992,1.59392,9.32633,-11.80614,-17.52039,-17.34492
Ak,410,1739352581331,2.65992,1.59392,9.32633,-28.51784,10.44433,4.35244
Ak,411,1739352581346,1.20269,1.66331,14.5355,-26.25197,9.29233,4.38677
Ak,412,1739352581365,0.03739,-0.77498,4.18415,-5.54259,7.37741,8.85747
Ak,413,1739352581383,3.50459,2.30459,8.6683,2.65877,14.08726,16.96346
Ak,414,1739352581397,1.68604,-1.97617,9.35743,41.26236,-7.27441,10.52444
Ak,415,1739352581414,3.54766,0.00748,10.47009,14.52975,-8.003,-0.6027
Ak,416,1739352581431,3.54766,0.00748,10.47009,12.09223,-6.22922,-0.3395
Ak,417,1739352581443,1.96122,0.82343,7.75903,10.66177,-0.49208,3.73448
Ak,418,1739352581461,0.62602,-4.1345,5.70598,3.35683,-19.37046,-17.37925
Ak,419,1739352581477,3.35623,-1.9331,7.92892,-40.73977,-26.29012,-37.59655
Ak,420,1739352581494,0.55424,0.50997,12.87727,-35.09418,-32.78254,-46.03441
Ak,421,1739352581514,2.03779,1.61306,9.02962,-19.32087,-32.46975,-46.34721
Ak,422,1739352581530,2.03779,1.61306,9.02962,-0.68663,-28.60939,-39.90819
Ak,423,1739352581548,-0.21386,-1.37557,7.55564,32.16458,-32.25232,-36.02112
Ak,424,1739352581568,2.15504,-6.166,11.29801,14.32758,-34.15579,-39.84715
Ak,425,1739352581584,-1.27388,-4.61546,9.71636,-4.02057,-25.87814,-31.24526
