ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,6501,1742632266883,0.36251,-2.43948,9.88236,17.74448,4.68986,0.24499
Gar,6502,1742632266889,0.55155,0.64307,11.85165,21.17438,7.20979,1.99494
Gar,6503,1742632266898,0.55155,0.64307,11.85165,14.94456,-5.38984,1.92494
Gar,6504,1742632266907,0.55155,0.64307,11.85165,9.48472,3.77989,1.36496
Gar,6505,1742632266915,0.74656,-2.2014,6.9679,3.5349,-2.30993,1.01497
Gar,6506,1742632266923,0.74656,-2.2014,6.9679,-4.79486,3.2899,1.01497
Gar,6507,1742632266932,-0.29791,-1.87298,9.11247,3.74489,-5.59984,1.22496
Gar,6508,1742632266940,-0.29791,-1.87298,9.11247,8.22476,-4.89986,2.90491
Gar,6509,1742632266950,0.08136,-1.03789,11.44846,9.62472,-0.41999,2.06494
Gar,6510,1742632266960,0.08136,-1.03789,11.44846,7.03479,5.24985,2.76492
Gar,6511,1742632266968,-0.1346,-2.00399,9.08196,8.92474,3.98988,2.55492
Gar,6512,1742632266974,-0.1346,-2.00399,9.08196,6.26482,0.0,1.29496
Gar,6513,1742632266983,-0.1346,-2.00399,9.08196,-6.40481,12.31964,-0.52498
Gar,6514,1742632266991,-0.2656,-2.62971,9.51626,4.93485,3.98988,-0.52498
Gar,6515,1742632266999,-0.2656,-2.62971,9.51626,15.36455,-4.05988,2.06494
Gar,6516,1742632267008,-0.51924,-1.2658,11.17807,13.19461,12.73962,1.78495
Gar,6517,1742632267017,-0.51924,-1.2658,11.17807,7.03479,1.53995,0.24499
Gar,6518,1742632267025,-0.51924,-1.2658,11.17807,9.62472,-4.40987,-0.105
Gar,6519,1742632267032,0.68195,-0.14955,10.98007,8.50475,11.26967,3.18491
Gar,6520,1742632267040,0.68195,-0.14955,10.98007,-0.17499,8.53975,-1.22496
Gar,6521,1742632267050,0.0323,-2.39402,10.39263,-5.84483,6.01982,1.36496
Gar,6522,1742632267060,0.0323,-2.39402,10.39263,0.59498,-10.56969,1.43496
Gar,6523,1742632267067,-0.43549,-2.03569,11.92164,-3.18491,5.24985,1.99494
Gar,6524,1742632267075,-0.43549,-2.03569,11.92164,-10.60469,4.33987,-0.105
Gar,6525,1742632267084,-0.43549,-2.03569,11.92164,-9.41472,-2.44993,-0.66498
Gar,6526,1742632267092,0.28295,-2.64227,10.89273,-2.48493,-0.90997,0.59498
Gar,6527,1742632267100,0.28295,-2.64227,10.89273,-9.27473,10.91968,-3.81489
Gar,6528,1742632267108,-0.57906,-3.74058,6.83689,-15.22455,14.06959,-4.72486
Gar,6529,1742632267117,-0.57906,-3.74058,6.83689,-1.29496,-0.55998,-1.57495
Gar,6530,1742632267125,0.01974,-0.9003,14.59323,14.52457,-9.65972,-1.71495
Gar,6531,1742632267134,0.01974,-0.9003,14.59323,0.38499,23.10807,-2.62492
Gar,6532,1742632267142,0.01974,-0.9003,14.59323,-4.51487,3.63989,-3.04491
Gar,6533,1742632267151,0.38046,-3.19023,9.6676,-8.01476,-5.66983,-4.65486
Gar,6534,1742632267158,0.38046,-3.19023,9.6676,-7.24479,4.82986,-2.55492
Gar,6535,1742632267168,-0.09452,-2.91984,6.18904,-12.28464,-5.03985,-5.84483
Gar,6536,1742632267175,-0.09452,-2.91984,6.18904,-11.37467,1.67995,-5.14485
