Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS200\Kanker\001_Abj_Kanker_1_12-2,7
Harshit_Preprocessed_Data-CS200\Kanker\002_Abj_Kanker_2_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\003_Ak_Kanker_1_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\004_Ak_Kanker_2_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\005_Gar_Kankar1,36
Harshit_Preprocessed_Data-CS200\Kanker\006_Gar_Kankar2,61
Harshit_Preprocessed_Data-CS200\Kanker\007_Gar_Kankar3,28
Harshit_Preprocessed_Data-CS200\Kanker\008_Gar_Kankar4,29
Harshit_Preprocessed_Data-CS200\Kanker\009_Gar_Kankar5,27
Harshit_Preprocessed_Data-CS200\Kanker\010_HS_Kanker_1_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\011_HS_Kanker_2_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\012_RV_Kanker_1_12-2,9
Harshit_Preprocessed_Data-CS200\Kanker\013_RV_Kanker_2_12-2,9
