Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS300\Concrete\001_Abj_Concrete_10_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\002_Abj_Concrete_11_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\003_Abj_Concrete_12_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\004_Abj_Concrete_13_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\005_Abj_Concrete_14_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\006_Abj_Concrete_15_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\007_Abj_Concrete_16_12-2,3
Harshit_Preprocessed_Data-CS300\Concrete\008_Abj_Concrete_17_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\009_Abj_Concrete_18_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\010_Abj_Concrete_19_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\011_Abj_Concrete_1_12-2,2
Harshit_Preprocessed_Data-CS300\Concrete\012_Abj_Concrete_20_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\013_Abj_Concrete_21_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\014_Abj_Concrete_22_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\015_Abj_Concrete_2_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\016_Abj_Concrete_3_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\017_Abj_Concrete_4_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\018_Abj_Concrete_5_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\019_Abj_Concrete_6_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\020_Abj_Concrete_7_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\021_Abj_Concrete_8_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\022_Abj_Concrete_9_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\023_HS_Concrete_10_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\024_HS_Concrete_11_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\025_HS_Concrete_12_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\026_HS_Concrete_13_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\027_HS_Concrete_14_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\028_HS_Concrete_15_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\029_HS_Concrete_16_12-2,3
Harshit_Preprocessed_Data-CS300\Concrete\030_HS_Concrete_17_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\031_HS_Concrete_18_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\032_HS_Concrete_19_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\033_HS_Concrete_1_12-2,2
Harshit_Preprocessed_Data-CS300\Concrete\034_HS_Concrete_20_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\035_HS_Concrete_21_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\036_HS_Concrete_22_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\037_HS_Concrete_2_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\038_HS_Concrete_3_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\039_HS_Concrete_4_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\040_HS_Concrete_5_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\041_HS_Concrete_6_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\042_HS_Concrete_7_12-2,5
Harshit_Preprocessed_Data-CS300\Concrete\043_HS_Concrete_8_12-2,4
Harshit_Preprocessed_Data-CS300\Concrete\044_HS_Concrete_9_12-2,4
