ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,6201,1739352275268,-0.74028,-1.24905,9.20489,-5.50826,1.831,-0.10681
Abj,6202,1739352275286,-0.74028,-1.24905,9.20489,-2.51763,-0.79343,0.25939
Abj,6203,1739352275303,-0.54377,-2.99551,9.50429,-0.01526,8.7888,0.93076
Abj,6204,1739352275320,-0.58684,-3.16301,10.20868,2.30401,9.76534,-0.28991
Abj,6205,1739352275344,-1.15005,-3.46032,10.01695,11.69552,12.4508,-0.83921
Abj,6206,1739352275357,-1.03968,-2.43739,9.86112,10.29175,24.58881,-1.14438
Abj,6207,1739352275367,-0.9344,-0.94008,10.12702,4.80638,18.60754,-1.63264
Abj,6208,1739352275385,-0.9344,-0.94008,10.12702,3.09744,16.83758,-1.44954
Abj,6209,1739352275402,-1.08993,-1.97019,9.36042,1.20541,9.46017,-2.12091
Abj,6210,1739352275422,-1.01815,-2.4996,9.76062,-1.54109,-0.97653,-1.81574
Abj,6211,1739352275437,-1.15484,-2.35334,10.07199,1.81574,-4.33337,-2.79228
Abj,6212,1739352275464,-1.066,-2.25524,10.30918,-4.34863,4.63854,-3.64674
Abj,6213,1739352275478,-0.89372,-1.8335,10.66122,-2.09039,-4.15027,-3.40261
Abj,6214,1739352275487,-0.89372,-1.8335,10.66122,-0.44249,1.2817,-3.21951
Abj,6215,1739352275501,-1.04207,-2.42303,9.60958,0.04578,-0.61033,-3.89088
Abj,6216,1739352275519,-0.98225,-1.98933,9.6359,-3.67726,-3.2958,-4.86741
Abj,6217,1739352275538,-0.89133,-1.77847,9.65055,-3.55519,-7.01884,-4.50121
Abj,6218,1739352275554,-0.87697,-2.15234,9.63111,-4.10449,0.12207,-5.05051
Abj,6219,1739352275572,-0.68524,-2.66501,10.1342,-3.73829,1.03757,-4.74534
Abj,6220,1739352275599,-0.9344,-2.85643,10.35225,1.20541,3.72303,-5.11154
Abj,6221,1739352275621,-0.80249,-2.5666,10.53201,10.04762,2.50237,-4.31811
Abj,6222,1739352275636,-0.76899,-1.6014,9.7343,9.68142,5.06577,-4.01294
Abj,6223,1739352275654,-0.80489,-0.02034,9.86351,3.89088,2.31927,-3.95191
Abj,6224,1739352275672,-1.03011,-0.49681,9.49472,-4.28759,-5.61507,-3.82984
Abj,6225,1739352275688,-1.03011,-0.49681,9.49472,-7.82753,-10.2536,-3.52468
Abj,6226,1739352275712,-0.87936,-1.08873,8.6683,-10.1468,-17.63864,-3.28054
Abj,6227,1739352275732,-0.85274,-2.11406,8.78076,-6.42376,-14.77007,-3.40261
Abj,6228,1739352275748,-0.8671,-3.26381,9.69123,0.22888,-4.27234,-3.46364
Abj,6229,1739352275762,-0.94158,-2.81815,10.27089,3.21951,-0.61033,-4.13501
Abj,6230,1739352275775,-0.79771,-1.8673,10.22304,6.99595,4.88267,-4.25708
Abj,6231,1739352275784,-0.79771,-1.8673,10.22304,5.59981,6.9578,-4.37914
Abj,6232,1739352275802,-0.67567,-1.60379,9.93081,6.14911,3.90613,-3.89088
Abj,6233,1739352275818,-0.72832,-2.11645,9.6,5.78291,8.66674,-3.52468
Abj,6234,1739352275837,-0.89133,-2.82533,10.26611,4.13501,3.78407,-3.76881
Abj,6235,1739352275862,-1.18116,-1.76411,10.27328,0.59508,3.05167,-4.07398
Abj,6236,1739352275872,-0.66371,-2.41825,10.33071,1.32748,-3.05167,-4.25708
Abj,6237,1739352275885,-0.66371,-2.41825,10.33071,5.96601,2.0141,-3.21951
Abj,6238,1739352275902,-0.74985,-2.6001,10.39771,3.76881,2.0141,-4.74534
Abj,6239,1739352275920,-0.90329,-3.00748,10.07438,8.27765,2.99063,-4.25708
Abj,6240,1739352275938,-0.83599,-1.40249,9.74866,5.66084,-0.61033,-3.64674
Abj,6241,1739352275965,-0.58923,-1.73779,8.93181,4.98948,-0.06103,-2.85331
Abj,6242,1739352275981,-0.75942,-1.56042,8.89592,-1.60213,-3.662,-2.30401
Abj,6243,1739352275988,-0.75942,-1.56042,8.89592,-2.39556,-4.7606,-2.97538
Abj,6244,1739352276002,-0.92004,-2.64347,9.20489,-2.21246,0.48827,-3.21951
Abj,6245,1739352276019,-1.01815,-3.20399,9.71994,-0.44249,-0.61033,-2.73124
Abj,6246,1739352276038,-0.80728,-3.02662,10.1031,6.02704,3.72303,-2.85331
Abj,6247,1739352276057,-1.22184,-1.83111,10.41446,2.42608,3.8451,-4.19604
Abj,6248,1739352276069,-1.22184,-1.83111,10.41446,3.89088,-1.831,-3.70778
Abj,6249,1739352276086,-0.89133,-2.24806,10.51287,7.30112,3.78407,-3.82984
