ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,201,1739352174125,-0.57637,-0.00658,9.77408,2.47948,-8.7087,-0.57982
RV,202,1739352174140,0.64875,-1.59541,9.51805,1.64409,-7.26297,-0.51497
RV,203,1739352174158,0.25872,-1.25324,10.03969,1.2817,-7.13327,-0.55693
RV,204,1739352174174,0.25872,-1.25324,10.03969,0.42723,-8.85365,-0.88117
RV,205,1739352174192,-0.83001,-0.95653,10.19283,-0.1297,-6.11096,-0.61033
RV,206,1739352174208,0.04576,-1.68156,10.11865,0.56456,-5.17258,-0.04959
RV,207,1739352174224,-0.3993,-2.81097,10.25265,-0.07629,-4.03583,-0.24032
RV,208,1739352174242,-0.58116,-1.61456,10.01336,-2.76557,0.12588,-1.43047
RV,209,1739352174265,-0.42084,-1.12403,10.28615,-8.05259,3.89851,-3.82603
RV,210,1739352174279,-0.44477,-1.95195,10.42254,-8.67818,5.9622,-3.86036
RV,211,1739352174296,-0.44477,-1.95195,10.42254,-11.32169,9.05964,-4.65761
RV,212,1739352174309,-0.3323,-0.51625,10.25743,-8.86509,11.00508,-3.24621
RV,213,1739352174329,0.12473,-0.79382,10.19761,-6.5115,9.16645,-1.98358
RV,214,1739352174344,-0.30598,-1.91605,10.22393,-4.24182,7.49184,-0.7858
RV,215,1739352174357,-1.09322,-0.03769,10.46082,2.10947,5.493,2.19339
RV,216,1739352174376,-0.39212,-2.38744,10.07079,8.59426,4.57369,5.27557
RV,217,1739352174392,-0.39212,-2.38744,10.07079,10.63506,3.34158,6.15674
RV,218,1739352174408,0.28744,-2.08594,9.87937,8.0564,3.07074,4.91319
RV,219,1739352174425,-0.07149,-1.73898,9.85305,4.64998,0.43868,3.50942
RV,220,1739352174451,0.14387,-0.58325,9.80997,-0.13733,-2.9296,1.40377
RV,221,1739352174467,-0.17677,-0.42532,8.81217,-6.62593,-2.36886,-1.23593
RV,222,1739352174481,0.17976,-1.3681,10.37229,-5.66847,-2.11709,-0.30898
RV,223,1739352174494,0.17976,-1.3681,10.37229,-8.07548,-3.71922,-1.65172
RV,224,1739352174513,-0.84437,-1.3657,10.08276,-5.57692,-6.27881,-0.83921
RV,225,1739352174528,-0.6338,-0.93978,10.19761,-4.97803,-7.09894,-0.80869
RV,226,1739352174543,-0.09781,-2.21994,10.55893,2.5367,-4.60802,2.68928
RV,227,1739352174561,0.44776,-2.05723,10.32443,5.19928,-2.41082,3.46364
RV,228,1739352174575,0.44776,-2.05723,10.32443,2.71598,-1.90348,1.86533
RV,229,1739352174593,0.33051,-1.37767,10.42254,-0.24795,-1.56398,-0.28609
RV,230,1739352174610,-0.12652,-1.75095,10.1689,0.45775,-1.46099,-0.06485
RV,231,1739352174629,0.09601,-1.67677,9.99901,-2.46804,-1.11767,-1.4381
RV,232,1739352174647,-0.41605,-0.61436,10.08754,-7.87712,-1.02994,-4.07016
RV,233,1739352174666,-0.0667,-1.25563,9.69751,-7.58721,-2.38412,-3.98624
RV,234,1739352174673,-0.0667,-1.25563,9.69751,-5.62651,-3.0593,-2.59392
RV,235,1739352174691,-0.20548,-0.33918,9.28116,-1.52202,-3.77644,0.57982
RV,236,1739352174707,0.76122,-0.9996,8.9342,-1.95688,-2.57866,1.05283
RV,237,1739352174725,0.03858,-1.10489,9.65923,1.43428,-1.54109,3.68489
RV,238,1739352174741,0.11755,-1.35613,9.75733,7.79701,-1.47243,7.22864
RV,239,1739352174759,-0.02363,-2.0333,9.10409,10.65032,-0.72859,8.76973
RV,240,1739352174778,-0.02363,-2.0333,9.10409,6.96925,-0.32424,6.93873
RV,241,1739352174790,-0.07149,-2.02373,9.51326,1.35418,0.3395,3.86799
RV,242,1739352174819,-1.27029,-1.33938,10.56371,-2.93723,0.82776,1.33892
RV,243,1739352174834,-0.79651,0.08913,10.3675,-10.53588,0.93839,-2.86475
RV,244,1739352174847,0.08883,-0.21236,10.0349,-6.38943,0.576,-1.31603
RV,245,1739352174861,-0.10977,-1.22931,9.74298,0.94602,-0.10299,1.0986
RV,246,1739352174877,-0.10977,-1.22931,9.74298,2.26968,-0.16403,1.17871
RV,247,1739352174893,-0.29402,-2.53579,9.78126,2.91434,0.07629,0.43868
RV,248,1739352174913,-0.43041,-1.48774,10.31486,4.32574,1.13675,0.77436
RV,249,1739352174926,0.31854,-2.3013,9.67837,4.83689,2.85331,1.21685
RV,250,1739352174940,0.82582,-0.69332,10.07797,3.26528,3.73066,0.78199
RV,251,1739352174958,0.68225,-0.34158,8.93899,1.34655,2.5901,0.10299
RV,252,1739352174974,0.68225,-0.34158,8.93899,-0.61033,2.16287,-0.65229
RV,253,1739352175004,0.1008,-0.65025,9.57069,-5.95457,2.407,-2.09039
RV,254,1739352175020,-0.3347,-1.88973,10.23829,-4.84834,1.47624,0.05722
RV,255,1739352175032,-0.3347,-1.88973,10.23829,-3.52086,-0.95365,1.2817
RV,256,1739352175045,0.03619,-0.78664,10.81017,-2.67784,-2.79991,1.4648
RV,257,1739352175064,-0.4017,-2.50229,9.75733,4.4974,-5.19928,4.27996
RV,258,1739352175076,-0.4017,-2.50229,9.75733,3.20425,-3.7917,3.46364
RV,259,1739352175097,0.48365,-1.11446,10.07079,0.94602,-3.29199,1.89585
