ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,4201,1742632528784,-0.50668,-0.97149,8.94736,-74.16282,-48.22858,8.36475
Gar,4202,1742632528793,-0.94816,-0.71904,14.82653,-56.94333,-58.37828,7.38478
Gar,4203,1742632528802,-0.94816,-0.71904,14.82653,0.80498,3.2899,6.33481
Gar,4204,1742632528811,0.51446,-1.52243,7.54397,24.32428,33.53776,8.29476
Gar,4205,1742632528820,0.51446,-1.52243,7.54397,22.43434,19.39818,8.85474
Gar,4206,1742632528827,-1.13839,-3.48874,2.1015,9.48472,19.60817,8.43475
Gar,4207,1742632528836,-1.13839,-3.48874,2.1015,33.42402,33.39777,3.3249
Gar,4208,1742632528843,-1.13839,-3.48874,2.1015,21.87436,15.32955,1.71495
Gar,4209,1742632528851,-0.59701,0.20997,13.12762,-58.27328,-20.78939,13.96459
Gar,4210,1742632528859,-0.59701,0.20997,13.12762,-66.04306,-46.05864,7.80477
Gar,4211,1742632528869,-0.42233,-5.56451,9.03051,-20.68439,-24.70927,10.39469
Gar,4212,1742632528876,-0.42233,-5.56451,9.03051,19.42443,4.26987,5.35484
Gar,4213,1742632528885,0.42592,1.28495,9.19502,38.88386,42.77749,3.04491
Gar,4214,1742632528893,0.42592,1.28495,9.19502,28.10417,51.94722,7.45478
Gar,4215,1742632528902,0.42592,1.28495,9.19502,-50.43352,-26.73921,7.45478
Gar,4216,1742632528910,-2.05185,-1.71745,12.58146,-62.05317,-44.86868,8.64475
Gar,4217,1742632528919,-2.05185,-1.71745,12.58146,-37.06391,-29.46913,6.54481
Gar,4218,1742632528931,1.67857,-5.49751,6.87338,29.64413,37.38765,3.81489
Gar,4219,1742632528936,1.67857,-5.49751,6.87338,31.18408,40.95754,3.95488
Gar,4220,1742632528943,1.67857,-5.49751,6.87338,25.58425,26.04798,-2.27493
Gar,4221,1742632528952,-1.20598,-6.61197,1.53141,36.43393,25.348,11.37467
Gar,4222,1742632528962,-1.20598,-6.61197,1.53141,78.92268,65.17683,16.69451
Gar,4223,1742632528969,-1.98544,7.60738,16.65464,-44.0637,-30.02911,19.70442
Gar,4224,1742632528977,-1.98544,7.60738,16.65464,-84.31252,-87.00744,-10.67469
Gar,4225,1742632528988,0.40857,-8.50529,12.19741,-52.18346,-68.59798,-10.95468
Gar,4226,1742632528993,0.40857,-8.50529,12.19741,12.84462,25.488,3.60489
Gar,4227,1742632529002,0.40857,-8.50529,12.19741,44.3437,38.22763,0.24499
Gar,4228,1742632529011,0.96969,-0.11246,9.66162,33.00403,10.3597,0.94497
Gar,4229,1742632529020,0.96969,-0.11246,9.66162,-9.69471,0.69998,12.98462
Gar,4230,1742632529028,-0.84766,-2.28873,0.48993,17.53448,-2.93991,-1.29496
Gar,4231,1742632529036,-0.84766,-2.28873,0.48993,74.7928,49.49729,-3.88489
Gar,4232,1742632529046,0.23928,-3.27817,13.71865,50.57351,65.10683,5.00485
Gar,4233,1742632529057,0.23928,-3.27817,13.71865,-45.60366,-46.89862,3.2549
Gar,4234,1742632529065,-3.45883,-3.67837,11.01656,-22.71433,-25.05926,-0.31499
Gar,4235,1742632529072,-3.45883,-3.67837,11.01656,34.40399,13.5796,-2.69492
Gar,4236,1742632529077,-3.45883,-3.67837,11.01656,38.46387,22.68808,5.56484
Gar,4237,1742632529089,2.99282,2.37607,14.11287,-13.40461,-3.21991,3.95488
Gar,4238,1742632529094,2.99282,2.37607,14.11287,-31.18408,7.62978,4.72486
Gar,4239,1742632529103,-3.58265,-2.46102,8.95334,-5.42484,-5.59984,-2.76492
Gar,4240,1742632529111,-3.58265,-2.46102,8.95334,25.72424,-17.98947,-7.45478
Gar,4241,1742632529120,-3.58265,-2.46102,8.95334,24.67427,-3.2899,-22.43434
Gar,4242,1742632529129,5.50289,-5.25763,0.51446,28.59416,35.5677,-43.01373
Gar,4243,1742632529137,5.50289,-5.25763,0.51446,71.64289,73.29659,-5.98482
Gar,4244,1742632529144,-4.57926,2.14217,22.06541,31.88406,20.16816,11.93465
Gar,4245,1742632529153,-4.57926,2.14217,22.06541,-122.67139,-34.019,4.72486
Gar,4246,1742632529163,0.10828,-6.79681,11.11765,-53.16344,-59.56824,-13.82459
Gar,4247,1742632529169,0.10828,-6.79681,11.11765,40.28381,4.26987,-15.78453
Gar,4248,1742632529177,0.10828,-6.79681,11.11765,66.18305,40.60756,-6.6848
Gar,4249,1742632529187,0.97627,-3.22313,4.01217,57.8533,36.12769,-18.79445
Gar,4250,1742632529196,0.97627,-3.22313,4.01217,57.7133,48.09734,-15.99453
Gar,4251,1742632529203,-2.61894,3.80638,11.68355,10.0447,31.57782,4.09488
Gar,4252,1742632529211,-2.61894,3.80638,11.68355,-69.96294,-45.28867,6.26482
Gar,4253,1742632529222,-0.8668,-6.13699,11.83311,-77.24273,-49.97853,-1.57495
Gar,4254,1742632529231,-0.8668,-6.13699,11.83311,1.50496,-12.38964,-16.8345
Gar,4255,1742632529239,-0.57488,-2.78883,9.40499,61.91318,42.21751,-9.76471
Gar,4256,1742632529258,-0.57488,-2.78883,9.40499,8.01476,0.62998,1.85495
Gar,4257,1742632529264,2.47837,0.42413,12.49412,-79.83265,-18.26946,2.55492
Gar,4258,1742632529270,2.47837,0.42413,12.49412,-57.99329,-15.74954,0.24499
Gar,4259,1742632529280,-1.6325,-4.77548,11.78046,21.94436,11.89965,1.57495
Gar,4260,1742632529288,-1.6325,-4.77548,11.78046,32.37405,15.88953,-2.55492
Gar,4261,1742632529298,0.99123,-3.01197,7.56551,-13.6146,13.7196,-0.80498
Gar,4262,1742632529305,0.99123,-3.01197,7.56551,-20.4044,-9.65972,-8.71474
Gar,4263,1742632529312,0.99123,-3.01197,7.56551,12.56463,9.44972,4.16488
Gar,4264,1742632529321,-0.89192,1.29631,8.86062,52.04346,30.31786,-9.62472
Gar,4265,1742632529328,-0.89192,1.29631,8.86062,24.11429,33.81776,1.43496
Gar,4266,1742632529337,-3.00359,-2.39103,11.80379,-55.89335,-27.99918,-5.56484
Gar,4267,1742632529347,-3.00359,-2.39103,11.80379,-29.78412,-33.03903,-0.24499
Gar,4268,1742632529355,-3.00359,-2.39103,11.80379,-5.98482,0.69998,-1.99494
Gar,4269,1742632529362,2.66381,-3.01017,10.49193,20.5444,28.07792,-1.50496
Gar,4270,1742632529370,2.66381,-3.01017,10.49193,-14.94456,3.4999,-1.85495
Gar,4271,1742632529379,-1.17607,-0.88475,11.06561,-33.914,-16.02953,0.80498
Gar,4272,1742632529388,-1.17607,-0.88475,11.06561,-22.71433,-14.97956,1.78495
Gar,4273,1742632529395,2.61715,-3.3326,6.65085,8.57475,9.30973,-1.01497
Gar,4274,1742632529405,2.61715,-3.3326,6.65085,21.10438,41.72752,5.70483
Gar,4275,1742632529414,2.61715,-3.3326,6.65085,0.105,-2.44993,-2.55492
Gar,4276,1742632529420,-1.8323,-1.12463,10.0002,-17.46449,-9.02973,1.64495
Gar,4277,1742632529431,-1.8323,-1.12463,10.0002,-24.25429,-6.29981,3.4649
Gar,4278,1742632529438,-0.82253,-2.84686,7.9011,1.92494,-0.07,-0.87497
Gar,4279,1742632529447,-0.82253,-2.84686,7.9011,12.49463,12.87962,-1.43496
Gar,4280,1742632529454,-1.0337,-2.74517,10.71207,9.06473,19.74817,2.27493
Gar,4281,1742632529465,-1.0337,-2.74517,10.71207,-29.43413,-11.12967,-4.65486
Gar,4282,1742632529470,-1.0337,-2.74517,10.71207,-38.25388,-29.39914,-2.06494
Gar,4283,1742632529479,-1.25623,-2.19123,8.72902,-15.50454,-28.55916,-2.13494
Gar,4284,1742632529488,-1.25623,-2.19123,8.72902,28.10417,31.92781,0.52498
Gar,4285,1742632529496,1.8999,-0.17348,11.4353,30.83409,48.16733,-1.92494
Gar,4286,1742632529505,1.8999,-0.17348,11.4353,-29.29414,-20.5094,3.88489
Gar,4287,1742632529513,0.75075,-2.52383,8.44307,-50.64351,-41.0188,2.55492
Gar,4288,1742632529524,0.75075,-2.52383,8.44307,-6.54481,-0.97997,3.74489
Gar,4289,1742632529530,0.75075,-2.52383,8.44307,14.03459,17.21949,5.07485
Gar,4290,1742632529539,-1.11087,-6.87278,5.15534,42.66375,27.30795,-10.74468
Gar,4291,1742632529547,-1.11087,-6.87278,5.15534,48.12358,33.32777,-5.49484
Gar,4292,1742632529555,-0.59282,1.09232,7.37588,32.02406,25.13801,-0.87497
Gar,4293,1742632529564,-0.59282,1.09232,7.37588,-15.43455,-15.67954,-3.4649
Gar,4294,1742632529572,-2.48554,0.18843,12.88535,-39.65383,-17.98947,-1.85495
Gar,4295,1742632529582,-2.48554,0.18843,12.88535,-6.05482,-25.40925,-2.20494
Gar,4296,1742632529589,-2.48554,0.18843,12.88535,8.85474,-15.74954,-5.14485
Gar,4297,1742632529597,1.08215,-4.16172,5.80618,38.95385,36.89767,-4.23488
Gar,4298,1742632529608,1.08215,-4.16172,5.80618,14.38458,21.14813,-1.15497
Gar,4299,1742632529615,0.48335,1.78684,12.98106,-33.28402,-33.17902,-3.4649
Gar,4300,1742632529622,0.48335,1.78684,12.98106,-54.63339,-39.26884,3.2549
Gar,4301,1742632529631,2.28096,-6.14058,5.71825,0.105,-16.37952,1.71495
Gar,4302,1742632529641,2.28096,-6.14058,5.71825,44.76368,51.80722,-0.52498
Gar,4303,1742632529650,-1.54995,-1.48415,9.28475,61.77318,47.11736,-2.48493
Gar,4304,1742632529655,-1.54995,-1.48415,9.28475,33.42402,28.35792,-1.92494
Gar,4305,1742632529663,-1.54995,-1.48415,9.28475,-55.68336,-31.98906,2.34493
Gar,4306,1742632529672,-2.13799,-0.67597,12.2351,-53.93341,-41.99876,2.41493
Gar,4307,1742632529680,-2.13799,-0.67597,12.2351,5.70483,-0.97997,-1.64495
Gar,4308,1742632529690,-0.64905,-2.94138,10.58944,45.60366,51.24724,-4.30487
Gar,4309,1742632529699,-0.64905,-2.94138,10.58944,33.84401,34.16774,-6.6848
Gar,4310,1742632529705,-0.64905,-2.94138,10.58944,-17.81448,-11.54966,-5.00485
Gar,4311,1742632529714,-0.24586,-1.51107,8.44427,-16.34452,-20.01941,-3.74489
Gar,4312,1742632529724,-0.24586,-1.51107,8.44427,20.96438,5.52984,-2.06494
Gar,4313,1742632529730,0.78604,-3.26022,8.75594,36.99391,23.94805,-7.94477
Gar,4314,1742632529740,0.78604,-3.26022,8.75594,14.17458,13.85959,1.92494
Gar,4315,1742632529748,0.55155,-1.88495,13.01516,-51.76348,-50.8885,1.29496
Gar,4316,1742632529758,0.55155,-1.88495,13.01516,-44.0637,-42.41875,-0.035
Gar,4317,1742632529767,0.55155,-1.88495,13.01516,47.6336,41.16754,-2.48493
Gar,4318,1742632529774,0.37866,-3.55334,11.41735,49.38354,36.75767,-3.3249
Gar,4319,1742632529780,0.37866,-3.55334,11.41735,22.43434,16.79951,1.29496
Gar,4320,1742632529790,-1.05643,-0.7663,8.1344,-18.93444,-20.92938,1.50496
Gar,4321,1742632529799,-1.05643,-0.7663,8.1344,17.67448,4.61986,-3.81489
Gar,4322,1742632529806,-1.05643,-0.7663,8.1344,31.53407,21.9881,-3.04491
Gar,4323,1742632529815,-0.71845,-2.41436,9.60658,23.13432,9.65972,-3.4649
Gar,4324,1742632529823,-0.71845,-2.41436,9.60658,-6.12482,-5.59984,-0.24499
Gar,4325,1742632529832,-0.83868,-3.91765,10.6666,-4.65486,-11.33967,-3.74489
