ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1401,1739352599125,-2.05095,-2.94405,9.14895,-14.93701,-6.54676,-0.27574
HS,1402,1739352599141,-2.475,-5.34795,10.33095,-0.09454,1.43383,2.03257
HS,1403,1739352599157,2.05005,-1.17705,7.15905,13.69226,-20.96381,-5.87711
HS,1404,1739352599174,2.29605,0.972,9.29505,7.67334,-12.9911,0.28361
HS,1405,1739352599188,-2.439,-1.54605,13.767,4.73478,-10.04467,0.77206
HS,1406,1739352599207,-1.20105,-0.65505,8.007,-6.32617,-0.38603,-0.55935
HS,1407,1739352599223,-1.20105,-0.65505,8.007,3.19854,-1.01628,-1.46534
HS,1408,1739352599242,-0.02505,-4.60395,4.722,4.24633,-24.25688,0.77206
HS,1409,1739352599257,2.928,0.69195,13.791,-5.06566,-9.83983,-0.83509
HS,1410,1739352599272,-5.23005,-3.01905,9.369,7.18489,-15.01579,2.87553
HS,1411,1739352599291,1.85595,-1.062,12.627,3.19854,-7.73636,1.82774
HS,1412,1739352599307,-1.452,-0.38205,12.88605,-6.95642,1.07931,3.01734
HS,1413,1739352599322,-2.262,-7.78095,7.71,-6.25527,9.34351,2.24528
HS,1414,1739352599341,1.257,0.94305,14.691,4.80568,-9.06777,3.29307
HS,1415,1739352599358,1.257,0.94305,14.691,-1.84349,0.44906,4.55358
HS,1416,1739352599373,0.417,-4.89105,5.55195,14.32251,-16.3472,4.48268
HS,1417,1739352599389,-1.69395,-4.266,8.244,15.44909,-18.16706,6.93279
HS,1418,1739352599403,0.98895,-6.19605,12.12705,15.44909,-0.11029,7.70485
HS,1419,1739352599422,0.00495,1.03905,9.117,-3.59245,-4.7269,7.49214
HS,1420,1739352599440,-2.199,0.22695,4.12305,-1.70168,4.44329,11.06095
HS,1421,1739352599457,-1.002,-5.30805,12.996,-6.95642,-1.93015,5.67228
HS,1422,1739352599473,-1.002,-5.30805,12.996,-10.31252,10.11557,7.49214
HS,1423,1739352599490,2.382,-0.44205,7.98,-4.64024,5.7747,7.63395
HS,1424,1739352599506,4.94205,1.005,10.152,-20.74322,6.47586,6.65705
HS,1425,1739352599522,-1.251,-3.45705,4.956,8.30359,2.76524,11.6912
HS,1426,1739352599539,-1.527,-6.65505,9.98205,9.21746,-13.96799,5.46745
HS,1427,1739352599555,3.57705,1.55805,9.46905,-10.31252,-6.47586,7.42124
HS,1428,1739352599572,3.20805,0.51405,9.264,-3.73425,-0.11029,9.94225
HS,1429,1739352599586,3.20805,0.51405,9.264,1.79622,2.33982,19.74269
HS,1430,1739352599603,3.32805,-1.91205,6.024,0.39391,-1.50473,2.80463
HS,1431,1739352599622,-5.661,0.438,11.46405,4.52995,-4.7269,7.1455
HS,1432,1739352599639,-3.11895,0.79005,9.98205,8.23269,-13.68438,7.98059
HS,1433,1739352599654,3.52905,2.811,12.86505,-0.51208,-1.50473,7.42124
HS,1434,1739352599673,-2.403,1.089,9.759,-11.08459,-2.62343,9.17807
HS,1435,1739352599689,3.56295,-6.138,14.835,-21.51528,12.14026,8.1933
HS,1436,1739352599705,-3.90405,-4.36695,7.80105,-14.86611,9.05989,9.312
HS,1437,1739352599721,-3.90405,-4.36695,7.80105,-9.54046,-2.06408,7.42124
HS,1438,1739352599737,2.25495,-2.121,10.84905,4.87659,-3.32459,12.88081
HS,1439,1739352599754,-0.04395,-6.63195,7.76205,14.18858,-8.083,9.73742
HS,1440,1739352599771,4.18995,2.145,8.265,-0.9375,-2.76524,10.78521
HS,1441,1739352599788,2.53995,-1.137,9.93195,-0.72479,0.80357,14.28312
HS,1442,1739352599804,-0.49905,-4.51005,4.72605,5.78258,-5.56987,14.21222
HS,1443,1739352599822,1.827,-2.109,6.474,28.32202,1.99318,15.47272
HS,1444,1739352599838,-5.793,7.63695,16.54695,12.92808,15.07882,9.52471
HS,1445,1739352599854,-5.793,7.63695,16.54695,-10.24162,2.89917,13.37713
HS,1446,1739352599870,2.28195,3.28005,6.37605,-14.16495,14.17283,13.37713
HS,1447,1739352599889,-1.95,1.70205,7.65495,-13.32199,10.74582,12.53417
HS,1448,1739352599906,1.71405,-4.22295,12.68505,-18.50582,20.47536,10.92702
HS,1449,1739352599922,-3.70095,1.467,5.93805,1.16597,9.48532,13.44016
