ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,5251,1739356187104,0.17468,-1.58704,9.62872,-0.50353,-2.80753,-3.89088
Abj,5252,1739356187123,0.25872,-1.65404,9.84916,-1.96833,-2.7465,-3.76881
Abj,5253,1739356187132,0.25872,-1.65404,9.84916,-0.93076,-3.23477,-4.07398
Abj,5254,1739356187150,0.134,-1.31635,10.30918,-0.01526,-0.1831,-4.25708
Abj,5255,1739356187166,0.22283,-2.14277,10.10788,3.46364,-3.17373,-3.64674
Abj,5256,1739356187185,0.07896,-1.40967,10.05045,0.53404,0.30517,-4.74534
Abj,5257,1739356187202,0.25872,-1.48146,9.57368,-0.93076,-0.06103,-3.58571
Abj,5258,1739356187220,0.20847,-1.72104,9.77498,-0.25939,-4.3944,-3.09744
Abj,5259,1739356187239,0.20847,-1.72104,9.77498,-0.38146,-4.69957,-3.09744
Abj,5260,1739356187249,0.00957,-1.40728,10.44318,0.83921,-0.42723,-3.03641
Abj,5261,1739356187267,0.31854,-1.56281,8.87199,0.16784,-0.79343,-3.34158
Abj,5262,1739356187284,0.05982,-1.47428,9.74148,1.51058,0.3662,-3.76881
Abj,5263,1739356187302,0.2683,-1.34746,9.43251,0.10681,-2.07513,-2.54814
Abj,5264,1739356187319,0.2683,-1.34746,9.43251,0.90024,-6.10334,-2.18194
Abj,5265,1739356187336,0.03111,-1.45514,10.19193,-1.23593,-1.2817,-3.21951
Abj,5266,1739356187362,0.21087,-1.75693,9.43968,2.54814,-0.48827,-3.64674
Abj,5267,1739356187375,0.45972,-2.21695,9.6335,0.71714,-8.36157,-2.73124
Abj,5268,1739356187381,0.12921,-1.07438,10.34268,-1.17489,-1.89203,-3.40261
Abj,5269,1739356187400,0.21805,-1.45992,9.69841,-2.09039,-1.95307,-2.85331
Abj,5270,1739356187418,0.21805,-1.45992,9.69841,-0.07629,-4.9437,-3.28054
Abj,5271,1739356187435,-0.00239,-1.80239,10.37139,0.35094,0.1831,-3.52468
Abj,5272,1739356187452,0.14836,-1.9989,9.91137,-1.29696,-0.67137,-3.03641
Abj,5273,1739356187476,0.32333,-1.82632,10.51287,-2.45659,-0.30517,-3.28054
Abj,5274,1739356187485,-0.04546,-1.67557,9.7678,-0.32043,-3.53993,-3.28054
Abj,5275,1739356187501,0.15314,-2.08505,9.45404,0.41198,0.24413,-2.67021
Abj,5276,1739356187518,0.15314,-2.08505,9.45404,0.22888,-1.52583,-3.52468
Abj,5277,1739356187536,0.1651,-1.61815,9.89223,0.35094,-4.27234,-2.85331
