ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,2001,1739355099666,-0.32154,-3.33051,9.20429,-7.97248,0.88498,1.04901
Ak,2002,1739355099682,0.15224,0.83061,11.00609,-24.24169,1.08716,-4.26089
Ak,2003,1739355099700,0.15224,0.83061,11.00609,-27.94565,1.39995,-3.77644
Ak,2004,1739355099715,-0.18275,-3.19173,8.48166,-26.49611,1.25118,-1.88822
Ak,2005,1739355099734,-0.24736,0.84736,11.17837,-30.92484,1.67842,-1.46099
Ak,2006,1739355099749,-1.05135,-1.75843,7.72792,-19.47727,-0.07629,5.79435
Ak,2007,1739355099764,-0.62542,-0.60509,11.02284,-15.42999,-0.14877,7.80083
Ak,2008,1739355099778,-0.62542,-0.60509,11.02284,-9.83018,2.71217,9.71575
Ak,2009,1739355099797,0.82941,-1.84217,10.19013,3.83747,0.13351,15.06761
Ak,2010,1739355099816,-0.3335,-1.87567,7.89542,16.33024,-0.97272,18.60754
Ak,2011,1739355099829,1.07587,0.37358,10.28106,14.35428,1.03375,16.50952
Ak,2012,1739355099848,0.60927,-2.57916,8.24477,21.65158,0.75147,17.63864
Ak,2013,1739355099865,-0.87428,-1.16022,11.97518,10.39093,1.71275,12.21049
Ak,2014,1739355099881,0.58056,-2.01206,9.6685,9.31522,0.83921,11.62304
Ak,2015,1739355099903,0.07807,-3.02184,10.44856,4.0549,-0.97653,8.7888
Ak,2016,1739355099916,0.07807,-3.02184,10.44856,-2.37649,-5.13062,6.18344
Ak,2017,1739355099928,-1.61366,-2.22981,9.50339,-13.67147,-9.11304,2.79991
Ak,2018,1739355099952,-2.31715,0.35204,9.78575,-35.68544,-21.97201,-3.15848
Ak,2019,1739355099966,-0.69482,-1.40907,9.59911,-26.70972,-15.26978,-2.11328
Ak,2020,1739355099982,1.47547,1.07468,7.12971,-22.10171,-13.99571,-0.24032
Ak,2021,1739355099995,1.47547,1.07468,7.12971,6.33984,-11.31024,10.71135
Ak,2022,1739355100011,1.57837,-1.79432,11.58036,8.58282,-8.17466,11.29499
Ak,2023,1739355100033,-1.71655,-2.16999,10.01546,12.42792,-6.81666,12.50039
Ak,2024,1739355100050,-1.26909,-2.84237,10.98694,11.48571,-4.32192,13.12599
Ak,2025,1739355100067,0.11396,-3.7014,11.68086,10.77239,-0.13351,13.40827
Ak,2026,1739355100083,-0.09422,-2.18913,9.40768,9.50595,-0.32043,13.41208
Ak,2027,1739355100102,-0.09422,-2.18913,9.40768,-31.50084,3.51705,-2.15143
