ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,251,1739351948645,1.84636,-1.58375,10.15185,3.09744,0.52641,4.15027
Ak,252,1739351948664,-0.10618,-1.57418,10.68784,2.18957,-6.64119,2.05606
Ak,253,1739351948681,-0.10618,-1.57418,10.68784,3.60478,-13.33197,0.5493
Ak,254,1739351948701,-0.85035,-3.03859,8.33809,14.79296,-9.55553,0.5226
Ak,255,1739351948716,-1.06092,-3.57458,10.95344,12.01594,-4.96277,-0.77436
Ak,256,1739351948729,2.15982,-3.833,10.97498,-6.30169,-0.38909,-2.02936
Ak,257,1739351948748,1.19551,0.51954,10.2021,-15.70465,-2.12091,-2.61681
Ak,258,1739351948764,-1.36959,-1.87089,9.24497,-13.51889,0.13351,-2.86475
Ak,259,1739351948779,-1.36959,-1.87089,9.24497,-4.94752,2.78083,-2.29257
Ak,260,1739351948793,-2.51097,-3.01705,10.59691,-1.255,3.23858,-1.91492
Ak,261,1739351948814,1.13091,-3.09841,8.70658,0.12588,5.47393,-1.22448
Ak,262,1739351948829,3.43998,1.6681,10.88166,1.93781,3.11652,-0.7324
Ak,263,1739351948845,1.5664,-1.50239,9.11576,14.72811,-2.91434,0.82014
Ak,264,1739351948865,0.65952,-1.80389,9.58954,24.2722,0.24795,2.1705
Ak,265,1739351948887,-0.434,-1.86371,9.45315,14.09489,-0.03433,3.12033
Ak,266,1739351948904,-0.434,-1.86371,9.45315,-1.14819,-1.2817,3.31106
Ak,267,1739351948909,-2.14965,-1.51675,9.26172,-6.46954,-0.61796,4.22656
Ak,268,1739351948927,0.21685,-4.34507,10.85773,-9.61657,-0.11062,4.33337
Ak,269,1739351948944,1.61904,-0.64816,8.72094,-18.45115,1.87296,3.87943
Ak,270,1739351948964,0.96341,-1.92353,9.01765,-16.53622,1.29314,3.17755
Ak,271,1739351948982,-0.69242,-0.54526,9.25454,-11.98543,0.81251,2.33071
Ak,272,1739351948993,-0.69242,-0.54526,9.25454,18.30619,-13.16032,2.7465
Ak,273,1739351949013,-3.72174,-0.87547,8.40748,21.89953,-6.42758,2.57103
Ak,274,1739351949030,-0.70678,-4.72792,12.14028,23.21175,-0.09536,1.80811
Ak,275,1739351949048,-0.34068,-2.77777,9.93889,16.30354,-0.05722,1.11767
Ak,276,1739351949064,-0.15404,-1.62443,9.1014,10.9059,1.51439,1.48387
Ak,277,1739351949087,0.8342,-1.14826,9.34068,10.00947,11.03178,3.08981
Ak,278,1739351949100,0.8342,-1.14826,9.34068,8.98716,11.78707,3.52849
Ak,279,1739351949112,0.79113,-0.18395,8.78076,8.90324,14.03004,3.74974
Ak,280,1739351949131,1.05194,1.5676,11.02762,6.31314,16.63922,3.47509
Ak,281,1739351949150,2.54746,-5.59412,8.47927,7.30112,11.18436,3.10507
Ak,282,1739351949164,-0.74028,2.20409,11.49183,4.50121,0.33187,2.19339
Ak,283,1739351949179,-0.74028,2.20409,11.49183,-2.19339,-3.34158,1.6746
Ak,284,1739351949194,1.899,-1.9331,9.46989,-2.43371,-7.27823,1.65934
Ak,285,1739351949214,-1.48205,-1.22243,10.47488,-4.81782,-15.70846,1.64409
Ak,286,1739351949230,2.04736,2.52951,10.7022,-10.27268,-6.69841,1.62501
Ak,287,1739351949247,5.28485,2.52473,9.8336,-7.90001,-5.66084,1.8577
Ak,288,1739351949264,-1.94387,-3.61047,8.5678,-2.17431,-4.85597,2.2239
Ak,289,1739351949281,-1.94387,-3.61047,8.5678,-0.28609,-3.86036,2.9563
Ak,290,1739351949300,1.9014,-3.14866,9.8025,2.30019,-2.87238,3.4255
Ak,291,1739351949318,-1.46052,-1.02622,9.63739,-5.6494,-5.27557,3.1394
Ak,292,1739351949329,-1.79791,-1.27268,11.49183,-5.50063,-4.25708,2.85331
Ak,293,1739351949342,-2.81964,-4.25175,10.75723,-6.26736,-0.06866,2.27731
Ak,294,1739351949362,-0.5656,-4.7327,8.42184,-9.08253,4.59276,1.4381
Ak,295,1739351949380,-0.5656,-4.7327,8.42184,-55.11312,14.94173,-2.58247
Ak,296,1739351949395,1.38933,-1.57179,11.18316,-14.55264,7.40029,-1.0986
Ak,297,1739351949413,0.43938,2.12752,6.52912,-0.14877,-7.09131,-2.72743
Ak,298,1739351949431,1.17398,0.70379,8.4027,24.32179,10.49011,-2.09421
Ak,299,1739351949452,0.60927,-0.75823,12.42025,46.58752,-4.07779,-2.23535
Ak,300,1739351949465,2.20289,-8.14248,8.18016,44.89385,-11.58489,-2.36886
Ak,301,1739351949481,2.20289,-8.14248,8.18016,-19.6146,-13.84694,-2.83042
Ak,302,1739351949493,2.3991,1.20389,13.06391,-19.13396,-5.75621,-1.5182
Ak,303,1739351949514,-0.98195,-0.97358,8.05095,4.13882,6.5916,2.67402
Ak,304,1739351949530,-0.71396,-1.40907,7.06032,3.82221,6.84718,3.95572
Ak,305,1739351949549,-1.33131,-4.54606,11.77658,-3.37209,9.68142,5.14206
Ak,306,1739351949561,2.76281,0.47408,8.18973,-16.36457,2.51763,4.71483
Ak,307,1739351949579,2.76281,0.47408,8.18973,-24.17302,4.13501,4.17697
Ak,308,1739351949595,1.87986,-2.31117,11.23819,-20.96496,3.38354,4.18841
Ak,309,1739351949613,0.68345,-1.94028,11.02284,37.27612,-4.73009,6.19489
Ak,310,1739351949631,-0.40768,-3.68704,7.90738,-15.77331,-1.99884,2.37649
Ak,311,1739351949651,-2.85314,-1.00229,14.04976,-27.84266,-4.55843,0.87354
Ak,312,1739351949664,-4.15484,-8.04437,7.9337,1.41521,9.27707,1.51058
Ak,313,1739351949680,-4.15484,-8.04437,7.9337,-4.45162,19.25984,1.61738
Ak,314,1739351949699,-1.26431,-3.7014,12.7337,-1.50295,5.18021,1.56779
Ak,315,1739351949715,1.4683,-3.99571,9.58714,-9.73101,7.8733,1.24355
Ak,316,1739351949729,2.32493,-1.81346,7.93131,-10.98982,5.66084,2.03699
Ak,317,1739351949742,0.51117,1.2685,14.71257,-20.99547,-0.50353,1.65553
Ak,318,1739351949760,-2.25733,0.1989,7.64178,28.78104,-8.59807,3.34158
Ak,319,1739351949780,-2.25733,0.1989,7.64178,30.43276,-0.17166,2.65495
Ak,320,1739351949797,-0.07986,-4.40249,9.77378,10.96312,-0.51878,1.59068
Ak,321,1739351949814,-2.5995,-1.74885,9.93649,8.80406,-2.67021,0.80869
Ak,322,1739351949830,1.67408,-1.81346,12.01825,7.56814,-2.22009,0.48827
Ak,323,1739351949851,1.52812,-0.37298,7.04357,15.10576,0.20599,0.48064
Ak,324,1739351949863,1.80568,-4.30917,10.44377,18.67239,-0.38527,0.05722
Ak,325,1739351949885,1.80568,-4.30917,10.44377,-29.32653,8.77736,-2.9563
Ak,326,1739351949897,-1.87208,-3.62722,9.9676,-44.4361,1.82719,-4.06253
Ak,327,1739351949914,0.22642,0.24915,10.39592,-36.72301,4.92081,-3.2958
Ak,328,1739351949930,0.05414,0.88086,8.66112,1.11767,14.34665,-0.17929
Ak,329,1739351949950,-0.35743,-5.52951,6.8354,5.73332,12.68349,0.69425
Ak,330,1739351949962,-4.13091,-0.14327,11.22383,-32.25232,4.16171,-1.83482
Ak,331,1739351949977,-4.13091,-0.14327,11.22383,-23.05535,-1.81956,-1.13675
Ak,332,1739351949994,1.37737,-0.09541,9.79771,42.38385,-10.28412,1.58687
Ak,333,1739351950013,0.43699,-8.08266,9.39811,53.48048,-6.15293,0.62941
