ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,301,1739352390637,2.19093,-0.8013,10.24996,4.78349,-6.66408,-6.4085
Ak,302,1739352390649,2.19093,-0.8013,10.24996,5.52733,-5.85157,-5.03144
Ak,303,1739352390664,1.39173,-0.16241,9.38615,2.72361,-5.73714,-3.44457
Ak,304,1739352390678,1.55922,-3.56022,9.42204,1.32748,-5.48919,-1.86152
Ak,305,1739352390700,1.20269,-3.1678,10.33849,1.43428,-2.23153,2.82661
Ak,306,1739352390713,2.04975,-2.31595,10.45813,-7.5071,3.27291,6.01941
Ak,307,1739352390731,1.92054,-1.06451,9.93889,-12.48132,4.15027,4.85215
Ak,308,1739352390748,1.92054,-1.06451,9.93889,-10.8792,6.28644,4.58132
Ak,309,1739352390761,1.73629,-3.78993,8.62284,-15.44525,6.85099,3.26528
Ak,310,1739352390780,1.4348,-2.86152,9.69003,-32.1684,6.30169,-4.63091
Ak,311,1739352390796,1.74347,-2.81127,9.35983,-32.28664,5.88209,-6.30932
Ak,312,1739352390813,1.48983,-0.60987,9.37179,-25.74845,3.87562,-8.49889
Ak,313,1739352390835,0.98495,-2.72034,7.73271,-18.49311,0.30517,-11.1424
Ak,314,1739352390848,0.98495,-2.72034,7.73271,-15.55588,-0.20217,-10.54733
Ak,315,1739352390867,2.44457,-2.90698,8.89801,-17.27244,-3.1394,-12.38214
Ak,316,1739352390879,2.26511,-1.14108,9.54407,-14.13304,-3.68107,-11.90532
Ak,317,1739352390895,1.27208,-2.99312,9.37897,-0.32043,-4.56224,-9.56698
Ak,318,1739352390914,0.55424,-2.11017,9.87428,3.55138,-4.82164,-7.73979
Ak,319,1739352390931,0.55424,-2.11017,9.87428,6.20633,-3.97861,-5.98508
Ak,320,1739352390947,2.35364,-3.55783,9.20908,-0.55693,-2.88383,-6.24066
Ak,321,1739352390961,1.77458,-2.48106,9.98196,-4.13501,-3.17755,-7.35833
Ak,322,1739352390975,1.81047,-1.62203,10.28106,-4.09686,-3.21569,-7.27441
Ak,323,1739352390995,2.16461,-0.31795,8.95783,0.97272,-1.0452,-4.7873
Ak,324,1739352391015,1.34626,-0.55005,9.1684,2.41463,-0.26321,-4.76823
Ak,325,1739352391031,1.29362,-2.85434,9.80728,19.70996,4.17316,3.50179
Ak,326,1739352391046,1.29362,-2.85434,9.80728,21.8118,3.54375,3.72685
Ak,327,1739352391067,2.13589,-3.68943,9.52254,12.56906,3.05167,2.64351
Ak,328,1739352391085,0.57817,-2.47388,11.04676,9.59368,6.04993,5.8859
Ak,329,1739352391096,2.42782,-1.09561,10.29542,9.13974,6.87007,7.17523
Ak,330,1739352391112,1.49462,-1.35404,9.5345,6.44665,6.39706,7.52236
Ak,331,1739352391131,1.14287,-2.30399,9.4005,1.0452,6.79378,5.45486
Ak,332,1739352391148,1.14287,-2.30399,9.4005,-2.81135,6.70985,3.74211
Ak,333,1739352391164,1.19551,-4.48864,10.1351,-13.15269,5.87065,0.0534
Ak,334,1739352391181,1.76022,-2.33031,9.74746,-11.38272,4.07398,-2.3269
Ak,335,1739352391195,1.966,-3.01226,9.53211,-5.97745,1.37325,-6.08426
Ak,336,1739352391213,1.19551,-1.45454,8.24956,-6.1987,-4.25326,-14.14067
