ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1801,1739355195951,0.90778,0.38704,10.01935,-1.35799,1.15963,-6.08808
Abj,1802,1739355195969,0.43579,-2.40628,8.26571,2.05988,3.72303,-5.72188
Abj,1803,1739355195985,0.35444,-3.60628,8.19153,5.35568,-0.30517,-6.39324
Abj,1804,1739355196002,0.70648,-1.40249,10.32593,-2.76176,-5.06577,-8.03352
Abj,1805,1739355196028,0.32572,-1.75932,10.4336,0.22888,-4.15027,-6.51531
Abj,1806,1739355196048,0.79053,-0.06102,9.68405,-4.95896,-7.07987,-4.74534
Abj,1807,1739355196068,0.22522,-1.62293,8.70419,3.82984,2.50237,-7.72835
Abj,1808,1739355196084,0.2683,-2.06351,8.81426,3.03641,-0.12207,-7.00358
Abj,1809,1739355196095,0.2683,-2.06351,8.81426,1.08334,3.4789,-6.51531
Abj,1810,1739355196100,0.83121,-1.29212,10.49372,-5.38619,-2.13617,-5.78291
Abj,1811,1739355196117,0.83121,-1.29212,10.49372,-4.16553,-2.1972,-6.27118
Abj,1812,1739355196137,0.36879,-3.64457,10.87927,5.05051,-5.8592,-6.75944
Abj,1813,1739355196152,0.05743,-3.1343,10.10788,12.06172,-11.77944,-6.45428
Abj,1814,1739355196169,1.14018,-1.47428,9.43011,14.01478,-7.1409,-8.58282
Abj,1815,1739355196187,1.14018,1.15125,10.7333,4.37914,-3.72303,-6.88151
Abj,1816,1739355196203,0.15075,-0.61196,10.31396,-1.72419,-4.08923,-5.72188
Abj,1817,1739355196227,0.15075,-0.61196,10.31396,-4.95896,5.79817,-8.21662
Abj,1818,1739355196246,0.56052,-3.24706,10.84577,-1.66316,-0.24413,-7.00358
Abj,1819,1739355196269,0.56052,-3.24706,10.84577,7.24008,-2.7465,-6.75944
Abj,1820,1739355196279,0.37597,-5.02912,9.78694,14.62512,-3.17373,-7.12564
Abj,1821,1739355196286,1.31755,0.00598,9.8348,7.66732,-3.53993,-5.05051
Abj,1822,1739355196299,1.31755,0.00598,9.8348,-3.37209,-8.66674,-5.47774
Abj,1823,1739355196319,0.9652,2.09492,10.7692,-1.96833,4.5775,-4.98948
Abj,1824,1739355196338,0.24437,-2.09462,8.46461,2.67021,2.5634,-4.01294
Abj,1825,1739355196352,0.83839,-2.64826,8.68505,-5.26413,10.31464,-4.98948
Abj,1826,1739355196370,0.17946,1.48893,11.92134,-11.00126,17.81411,-2.85331
Abj,1827,1739355196386,-0.15583,-4.95494,8.45265,-5.38619,4.27234,-5.05051
Abj,1828,1739355196411,0.88385,-3.68525,10.23979,-0.50353,-3.41787,-6.02704
Abj,1829,1739355196432,0.54377,-1.47906,9.50668,5.29464,-8.17847,-4.50121
Abj,1830,1739355196449,1.53769,-0.56411,10.14138,-2.45659,-7.62917,-5.11154
Abj,1831,1739355196453,1.53769,-0.56411,10.14138,-2.45659,-8.9719,-4.50121
Abj,1832,1739355196466,-0.24437,-2.7344,9.56172,-0.25939,-10.86394,-5.35568
Abj,1833,1739355196483,0.75464,-1.53171,9.98824,-1.35799,-7.5071,-4.98948
Abj,1834,1739355196504,0.80489,0.59791,10.64447,-6.85099,-4.15027,-4.92844
Abj,1835,1739355196520,0.80489,0.59791,10.64447,-5.56929,-0.67137,-3.58571
Abj,1836,1739355196537,0.20847,-1.64925,8.35454,-0.93076,3.53993,-3.95191
Abj,1837,1739355196553,0.90299,-3.75015,8.87438,-3.92139,-3.8451,-2.42608
Abj,1838,1739355196573,1.64088,-4.33938,11.15713,4.80638,-4.82164,-4.25708
Abj,1839,1739355196594,-0.39781,-2.77986,8.78315,9.80348,-6.7747,-4.01294
Abj,1840,1739355196608,1.08036,2.97906,8.98684,0.47301,-6.0423,-1.99884
Abj,1841,1739355196620,1.08036,2.97906,8.98684,-12.03883,-0.61033,-2.42608
Abj,1842,1739355196634,0.67059,0.71994,9.52822,-8.37683,3.35683,0.86973
Abj,1843,1739355196652,0.06221,-5.24955,8.41197,-5.50826,0.42723,-1.08334
Abj,1844,1739355196669,0.74985,-3.19681,9.55933,2.18194,1.4648,-1.14438
Abj,1845,1739355196685,0.32333,-1.93908,10.0002,1.75471,-2.99063,0.13733
Abj,1846,1739355196703,0.32333,-1.93908,10.0002,-1.48006,-7.07987,-0.59508
Abj,1847,1739355196720,0.94367,0.23599,10.73809,-5.08103,-3.8451,2.09039
Abj,1848,1739355196737,0.68495,-0.87069,9.48754,-0.13733,-1.22067,-0.96128
Abj,1849,1739355196762,0.35444,-2.83968,8.23699,5.05051,5.8592,-0.22888
Abj,1850,1739355196779,0.43579,-4.08784,9.32932,7.85042,1.22067,1.66316
Abj,1851,1739355196794,1.14018,-3.38584,11.24806,-1.17489,-13.48837,-1.20541
Abj,1852,1739355196809,0.41426,-0.93051,11.93091,3.15848,-20.38514,-1.87678
Abj,1853,1739355196822,0.41426,-0.93051,11.93091,5.84394,-23.97848,-3.09744
Abj,1854,1739355196834,0.32812,-0.19502,8.04557,5.23361,5.8592,-2.54814
Abj,1855,1739355196851,1.73181,0.19053,9.57129,-3.06693,-0.24413,2.70073
Abj,1856,1739355196869,0.04307,-0.66939,10.65404,-3.67726,13.1832,-1.08334
Abj,1857,1739355196887,0.34965,-5.4676,9.58804,0.47301,5.493,2.70073
Abj,1858,1739355196904,0.34965,-5.4676,9.58804,1.93781,4.63854,0.38146
Abj,1859,1739355196921,0.76899,-3.48425,11.77987,15.90682,0.9155,-0.83921
Abj,1860,1739355196938,-0.05025,-2.68654,10.1031,14.19788,-5.00474,-0.22888
Abj,1861,1739355196963,0.90538,0.51625,8.79512,4.50121,1.0986,-0.53404
Abj,1862,1739355196980,0.83599,1.29003,9.98106,1.93781,5.3099,-0.16784
Abj,1863,1739355196995,0.44297,-2.1332,8.76162,-0.99179,6.2254,1.48006
Abj,1864,1739355197012,1.19761,-0.67896,10.49133,-14.175,10.92497,0.93076
Abj,1865,1739355197022,1.19761,-0.67896,10.49133,-23.5131,4.82164,2.45659
Abj,1866,1739355197035,0.25155,-0.02273,11.37518,-11.2454,14.09871,1.54109
Abj,1867,1739355197054,0.71127,-7.19492,9.61675,-0.32043,5.37094,0.38146
Abj,1868,1739355197070,1.13779,-2.20259,9.46361,6.33221,7.01884,-0.35094
Abj,1869,1739355197086,0.29701,-0.23599,9.9332,2.18194,-2.62443,-0.22888
Abj,1870,1739355197103,0.29701,-0.23599,9.9332,9.43728,1.6479,-2.18194
Abj,1871,1739355197121,0.14357,-2.63839,8.73291,-0.68663,0.97653,-2.67021
Abj,1872,1739355197142,0.95563,1.1656,11.08056,-18.44733,-1.6479,-2.05988
Abj,1873,1739355197161,0.30658,1.41715,10.5344,-17.95907,8.4226,-1.99884
Abj,1874,1739355197175,0.43819,-5.25673,9.11396,-7.40029,10.00947,-3.15848
Abj,1875,1739355197189,0.41186,-5.35753,8.84298,4.07398,2.44133,-2.67021
Abj,1876,1739355197202,0.41186,-5.35753,8.84298,3.28054,5.98127,-4.37914
Abj,1877,1739355197219,1.17847,-2.17388,11.368,-5.99653,-11.23014,-2.79228
Abj,1878,1739355197237,0.18903,-0.62871,10.11027,8.88798,-11.5353,-4.92844
Abj,1879,1739355197253,-0.01196,-2.39671,5.39851,11.14622,0.85447,-4.07398
Abj,1880,1739355197272,1.77248,2.75145,10.74527,-4.22656,-2.25823,-4.74534
Abj,1881,1739355197288,0.02393,-4.4351,9.80848,-5.56929,-6.83574,-1.38851
Abj,1882,1739355197312,0.69452,-8.59861,9.20728,24.20736,9.46017,-3.82984
Abj,1883,1739355197328,0.69452,-8.59861,9.20728,15.23545,5.79817,-6.02704
Abj,1884,1739355197343,0.68016,1.48415,11.42543,-1.54109,-8.2395,-5.66084
Abj,1885,1739355197358,1.22871,3.54676,10.23021,-1.23593,-3.17373,-0.10681
Abj,1886,1739355197369,1.29601,-2.95962,6.64636,7.60628,15.92208,-5.11154
Abj,1887,1739355197388,1.29601,-2.95962,6.64636,-0.19836,12.817,-1.14438
Abj,1888,1739355197402,0.08614,-1.13659,8.93181,-0.56456,11.23014,-5.35568
Abj,1889,1739355197422,0.44536,-4.0687,10.87209,4.13501,3.4789,-2.30401
