ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1801,1739355097022,-1.03995,-3.258,13.13295,4.80568,-33.35617,7.77575
HS,1802,1739355097040,0.47895,-7.98405,9.378,-7.44487,-3.11188,8.40601
HS,1803,1739355097056,-1.191,-2.286,8.81295,5.57774,-14.59037,11.34456
HS,1804,1739355097073,-1.24605,2.724,10.47,16.7096,-17.95435,12.25843
HS,1805,1739355097089,-2.34105,-1.10295,8.80395,-5.4123,-3.25368,10.58038
HS,1806,1739355097106,-2.34105,-1.10295,8.80395,-7.51577,-4.44329,10.36767
HS,1807,1739355097122,-0.291,-4.98405,8.24595,0.74843,5.35716,10.50948
HS,1808,1739355097137,-5.709,-1.005,8.70795,-1.07143,-3.11188,7.0746
HS,1809,1739355097155,-1.15995,-0.756,10.968,-11.15549,8.083,9.3829
HS,1810,1739355097172,-0.27705,-0.10995,9.82905,-14.58249,13.40864,15.82724
HS,1811,1739355097189,1.221,-4.04295,7.34295,-12.97535,8.99687,20.37295
HS,1812,1739355097205,-1.94805,-0.97395,9.036,2.35557,-19.14395,12.95959
HS,1813,1739355097222,-1.94805,-0.97395,9.036,9.00475,-17.60771,7.0746
HS,1814,1739355097238,-4.51905,-6.648,9.18405,-6.11346,5.21535,11.27366
HS,1815,1739355097254,1.19205,-3.792,8.301,-3.38761,3.88394,14.56674
HS,1816,1739355097271,-2.53695,-0.04995,12.024,4.10453,1.15809,14.00739
HS,1817,1739355097289,-1.50495,-0.07395,9.60795,-7.44487,9.83196,18.06464
HS,1818,1739355097305,-4.16505,-0.65505,10.659,-1.14233,5.98741,21.49953
HS,1819,1739355097320,-1.34505,-1.53705,8.54805,-6.95642,0.73267,17.22956
HS,1820,1739355097337,-1.76805,-0.54495,9.00705,6.69644,-12.28207,15.54363
HS,1821,1739355097354,-1.76805,-0.54495,9.00705,17.12714,-20.04994,12.60507
HS,1822,1739355097370,-5.247,0.048,10.47,1.37868,-17.74952,8.2642
HS,1823,1739355097386,-2.44395,-3.435,11.96895,-7.23216,-1.43383,14.14131
HS,1824,1739355097405,-4.12005,-0.94995,9.25905,-7.37397,-3.18278,13.30623
HS,1825,1739355097421,1.623,-3.96195,9.10095,6.208,-4.37238,15.68544
HS,1826,1739355097437,-3.126,-0.873,12.11505,5.78258,-12.07723,14.42493
HS,1827,1739355097453,-3.55005,-1.48095,8.919,-9.12292,15.64604,18.27735
HS,1828,1739355097471,-3.55005,-1.48095,8.919,-3.104,-0.03939,15.68544
HS,1829,1739355097486,-4.47405,0.20595,10.19205,9.91862,-13.54257,10.92702
HS,1830,1739355097504,-2.05305,-1.10595,9.44805,3.89969,-16.48901,9.10716
HS,1831,1739355097522,0.68505,-1.62495,10.566,2.28467,4.02574,17.85193
HS,1832,1739355097537,-3.72405,-3.972,6.62295,-5.69592,10.81673,18.20645
HS,1833,1739355097553,1.44105,1.077,8.82105,26.29733,-22.29522,8.75265
HS,1834,1739355097571,-1.01205,-1.47195,16.81005,15.93754,-54.77692,17.718
HS,1835,1739355097587,-3.22905,2.664,9.738,-41.60461,80.25491,25.69859
HS,1836,1739355097603,-3.22905,2.664,9.738,-27.4633,52.53164,20.23114
HS,1837,1739355097625,1.77705,-4.72605,6.78105,3.82879,8.99687,12.18753
HS,1838,1739355097632,-4.32795,-0.16005,11.31105,-0.02363,-59.25171,7.1455
HS,1839,1739355097652,-5.73795,-7.06305,12.03405,-7.51577,-21.73587,23.10667
HS,1840,1739355097669,3.201,-0.411,11.49495,5.22323,-6.19224,15.3388
HS,1841,1739355097686,-2.262,-2.21895,6.41895,0.95326,-11.44698,16.24479
