ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,3501,1739356157865,-0.08644,-1.6014,9.90419,0.71714,4.15027,0.32043
Abj,3502,1739356157878,0.45254,-2.06351,9.85873,1.75471,3.41787,0.01526
Abj,3503,1739356157897,0.25394,-1.32592,10.26371,1.08334,0.12207,-0.65611
Abj,3504,1739356157916,0.49591,-1.15095,10.57269,-1.11386,0.12207,-0.53404
Abj,3505,1739356157931,0.23719,-1.67079,9.37986,-1.41903,3.05167,0.32043
Abj,3506,1739356157942,0.23719,-1.67079,9.37986,-0.80869,6.5916,-1.02231
Abj,3507,1739356157961,0.38794,-1.61575,9.40858,-1.29696,1.34273,-0.96128
Abj,3508,1739356157977,0.08136,-1.599,10.45305,0.90024,1.03757,-0.22888
Abj,3509,1739356157995,0.62034,-1.63011,9.49711,1.02231,2.99063,-0.16784
Abj,3510,1739356158011,0.22522,-1.35942,9.30778,0.10681,0.67137,-0.90024
Abj,3511,1739356158028,0.22522,-1.35942,9.30778,0.10681,-1.2817,-0.90024
Abj,3512,1739356158051,0.04307,-1.46949,9.59522,0.35094,0.0,-1.32748
Abj,3513,1739356158062,0.50548,-1.73539,9.83001,-0.44249,-0.5493,-0.83921
Abj,3514,1739356158076,0.38315,-1.26341,9.56411,1.20541,2.13617,-1.08334
Abj,3515,1739356158096,0.30897,-1.6349,9.58804,0.10681,2.44133,-0.77818
Abj,3516,1739356158112,0.42383,-1.53171,10.13181,0.71714,-0.97653,-1.38851
Abj,3517,1739356158129,0.42383,-1.53171,10.13181,0.53404,-1.52583,-0.96128
Abj,3518,1739356158145,0.26112,-1.44556,10.29721,0.71714,0.7324,-1.08334
Abj,3519,1739356158163,0.45494,-1.79522,10.11267,0.16784,1.0986,-1.38851
Abj,3520,1739356158184,0.32812,-1.30678,10.02413,-0.13733,0.30517,-0.96128
Abj,3521,1739356158196,0.39033,-1.47189,9.92603,-3.43313,1.831,-1.32748
Abj,3522,1739356158210,0.24676,-1.78325,10.01456,-0.07629,0.42723,-0.71714
Abj,3523,1739356158227,0.24676,-1.78325,10.01456,-0.25939,2.7465,-1.08334
Abj,3524,1739356158244,0.43819,-2.08983,9.49711,1.20541,-1.76997,-0.83921
Abj,3525,1739356158261,0.17946,-1.45992,9.84676,-0.56456,-0.06103,-0.35094
Abj,3526,1739356158280,0.53898,-1.37856,9.87787,0.65611,-0.7324,-0.22888
Abj,3527,1739356158304,0.26351,-1.22034,9.40379,0.41198,2.5634,0.01526
Abj,3528,1739356158322,0.21805,-1.56999,9.34607,0.83921,0.3662,0.50353
Abj,3529,1739356158329,0.21805,-1.56999,9.34607,-1.60213,-0.7324,-0.10681
Abj,3530,1739356158344,0.32333,-1.51974,9.88744,2.12091,1.831,0.99179
Abj,3531,1739356158362,0.51266,-1.71386,9.33649,2.05988,-2.31927,0.56456
Abj,3532,1739356158378,0.1005,-1.61336,10.14138,1.69368,1.95307,-0.04578
Abj,3533,1739356158396,0.1651,-2.06351,10.25414,3.28054,-2.31927,0.99179
Abj,3534,1739356158412,0.42383,-1.10788,10.09831,1.63264,0.61033,-0.71714
Abj,3535,1739356158436,0.35444,-0.92333,10.01217,0.04578,1.15963,-0.90024
Abj,3536,1739356158452,0.35444,-0.92333,10.01217,-1.60213,0.97653,-0.04578
Abj,3537,1739356158461,0.25394,-1.45274,10.01935,-0.38146,1.58687,-0.83921
Abj,3538,1739356158477,0.40229,-1.52692,10.23261,-0.93076,2.68547,-0.41198
Abj,3539,1739356158496,0.18425,-1.95583,10.01935,0.35094,0.85447,-0.16784
Abj,3540,1739356158512,0.47677,-1.94148,10.07438,0.77818,1.831,-0.16784
Abj,3541,1739356158531,0.47677,-1.94148,10.07438,3.09744,1.34273,-0.22888
Abj,3542,1739356158546,0.38554,-1.96301,9.68166,1.20541,-1.89203,0.32043
Abj,3543,1739356158572,0.2683,-0.85155,9.47797,1.20541,-0.85447,0.44249
Abj,3544,1739356158580,0.18425,-1.00708,9.44686,-1.84626,0.1831,0.01526
Abj,3545,1739356158596,0.45733,-1.20359,9.4014,-2.27349,0.5493,0.80869
Abj,3546,1739356158614,0.21326,-1.5676,9.35324,-1.96833,1.89203,0.50353
Abj,3547,1739356158632,0.21326,-1.5676,9.35324,-2.33453,0.0,0.50353
Abj,3548,1739356158648,0.42861,-1.85294,10.25175,-1.41903,0.42723,0.25939
Abj,3549,1739356158664,0.11246,-2.19781,10.17727,1.08334,0.61033,0.80869
Abj,3550,1739356158685,0.27308,-1.33549,9.69602,-0.44249,-0.30517,0.13733
Abj,3551,1739356158706,0.51745,-0.59282,10.05524,-3.43313,1.03757,-0.59508
Abj,3552,1739356158724,0.28983,-2.06112,10.13181,-1.17489,3.41787,-0.22888
Abj,3553,1739356158739,0.49591,-1.91276,9.71755,0.71714,1.22067,0.32043
Abj,3554,1739356158744,0.49591,-1.91276,9.71755,-0.80869,4.45543,-0.77818
Abj,3555,1739356158762,0.25633,-1.3017,10.00499,-1.11386,-1.40377,-0.47301
Abj,3556,1739356158781,0.06939,-1.64447,10.4698,-0.99179,2.7465,-0.77818
Abj,3557,1739356158796,0.5653,-2.26241,9.57608,0.65611,1.0986,-0.59508
Abj,3558,1739356158814,0.34965,-1.09113,9.60479,-0.25939,1.52583,-1.26644
Abj,3559,1739356158831,0.34965,-1.09113,9.60479,0.77818,1.0986,-0.53404
Abj,3560,1739356158849,0.20847,-1.34507,9.2336,1.44954,0.7324,-0.59508
Abj,3561,1739356158861,0.22522,-2.02283,9.35564,2.42608,-0.30517,-0.96128
Abj,3562,1739356158882,0.36879,-1.33549,9.72952,2.48711,-0.42723,-0.41198
Abj,3563,1739356158896,0.06461,-1.13898,10.01217,2.36504,-3.17373,-0.71714
