ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,4501,1739356587550,0.12203,-2.04915,9.71755,-2.33453,3.35683,0.93076
Abj,4502,1739356587568,-0.04307,-1.52931,10.37857,-3.79933,-5.61507,1.05283
Abj,4503,1739356587586,-0.04307,-1.52931,10.37857,0.04578,2.31927,0.56456
Abj,4504,1739356587602,0.10768,-2.77986,10.13181,-2.21246,-1.52583,0.74766
Abj,4505,1739356587627,0.04546,-1.37139,9.93799,-2.94486,-5.61507,1.11386
Abj,4506,1739356587639,-0.07926,-1.55085,10.6684,-2.94486,-0.97653,0.86973
Abj,4507,1739356587651,-0.01436,-2.34856,9.81087,-2.33453,-2.25823,1.23593
Abj,4508,1739356587668,0.15314,-2.43739,9.02274,-1.11386,1.76997,1.11386
Abj,4509,1739356587685,0.15314,-2.43739,9.02274,-2.76176,-4.63854,1.05283
Abj,4510,1739356587703,0.07657,-1.80479,9.4684,-1.54109,-5.493,1.48006
Abj,4511,1739356587726,0.22762,-2.04437,9.5354,-0.86973,-1.76997,1.72419
Abj,4512,1739356587742,0.21805,-1.77607,9.49472,-1.66316,-8.30054,1.90729
Abj,4513,1739356587750,-0.17019,-1.22513,9.40379,-2.70073,-4.63854,0.93076
Abj,4514,1739356587768,0.1651,-2.27199,9.34846,-0.38146,-0.5493,0.99179
Abj,4515,1739356587785,0.1651,-2.27199,9.34846,-2.94486,-7.324,1.48006
Abj,4516,1739356587802,0.17228,-1.88166,9.23121,0.83921,2.99063,1.41903
Abj,4517,1739356587820,0.33051,-1.97498,9.83719,-0.38146,-5.1268,1.72419
Abj,4518,1739356587840,0.07178,-2.22891,9.82523,0.47301,1.0986,1.60213
Abj,4519,1739356587853,-0.01196,-2.1332,10.09352,4.86741,-3.90613,2.27349
Abj,4520,1739356587874,0.07418,-2.57139,9.3676,6.69841,10.19257,1.23593
Abj,4521,1739356587885,0.07418,-2.57139,9.3676,3.21951,-2.07513,2.09039
Abj,4522,1739356587902,0.04307,-1.53888,10.63729,1.87678,-3.662,2.33453
Abj,4523,1739356587919,-0.12951,-1.2993,9.49711,1.14438,5.98127,2.02936
Abj,4524,1739356587936,0.39511,-0.667,9.92124,-3.43313,-7.26297,2.09039
Abj,4525,1739356587954,-0.16062,-2.435,8.85524,-1.54109,8.4226,1.72419
Abj,4526,1739356587971,0.34487,-2.53071,10.07677,0.10681,-4.69957,2.09039
Abj,4527,1739356587987,0.34487,-2.53071,10.07677,0.90024,0.61033,1.90729
Abj,4528,1739356588011,-0.05264,-1.33071,9.87548,-0.44249,-5.43197,2.09039
Abj,4529,1739356588025,-0.05503,-1.88166,9.75584,0.41198,0.85447,1.96833
Abj,4530,1739356588035,0.32094,-2.42542,9.29582,0.35094,1.58687,2.02936
Abj,4531,1739356588052,0.02154,-1.77607,10.30439,0.28991,-3.72303,2.39556
Abj,4532,1739356588071,0.34487,-1.92712,10.21107,-0.07629,2.5634,2.63969
Abj,4533,1739356588087,0.34487,-1.92712,10.21107,1.20541,-5.3099,2.63969
Abj,4534,1739356588103,0.00239,-2.18345,9.87069,-0.38146,0.97653,2.57866
Abj,4535,1739356588128,0.13878,-1.14377,10.5344,-1.60213,-2.68547,3.12796
Abj,4536,1739356588140,0.09571,-1.47906,9.84916,-2.63969,2.44133,3.31106
Abj,4537,1739356588152,0.12921,-2.35813,9.27428,-2.39556,2.1972,3.12796
Abj,4538,1739356588170,-0.00957,-2.15474,9.34128,-1.78523,3.35683,3.49416
Abj,4539,1739356588188,-0.00957,-2.15474,9.34128,-1.05283,-0.61033,3.86036
Abj,4540,1739356588204,0.42144,-2.30788,9.45644,1.51058,0.7324,4.34863
Abj,4541,1739356588228,0.04786,-1.40967,9.58086,0.16784,-0.9155,3.98243
Abj,4542,1739356588243,-0.35713,-1.58704,9.35803,0.41198,-2.86857,3.86036
Abj,4543,1739356588251,-0.05982,-1.99651,8.86481,-0.50353,5.6761,3.73829
Abj,4544,1739356588270,0.15314,-1.43839,10.49133,-2.27349,-9.64327,4.10449
Abj,4545,1739356588286,0.15314,-1.43839,10.49133,-1.72419,6.2254,4.04346
