ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,4001,1739352452314,1.49222,-2.11256,9.65893,20.51865,-4.32955,0.72477
Ak,4002,1739352452329,1.40608,-1.47847,9.35504,21.14806,-0.3128,-1.66697
Ak,4003,1739352452345,1.32473,-1.72971,9.53929,18.88982,0.74384,-1.53346
Ak,4004,1739352452364,1.52094,-1.03579,10.94627,17.64627,3.65819,-2.3536
Ak,4005,1739352452376,1.70997,-1.78714,9.501,16.84139,4.34481,-2.43371
Ak,4006,1739352452394,1.70997,-1.78714,9.501,15.04091,3.07456,-1.0719
Ak,4007,1739352452413,2.16221,-1.46411,10.17817,13.03444,2.33071,-0.14877
Ak,4008,1739352452430,1.65972,-2.47627,9.60389,12.56143,2.60918,-0.06866
Ak,4009,1739352452446,0.84138,-2.29681,9.41247,10.02473,-2.15143,3.71541
Ak,4010,1739352452462,1.03759,-0.61466,9.82882,6.59542,-5.14587,7.09894
Ak,4011,1739352452485,1.6334,-1.06451,9.80968,7.36596,-4.88267,7.31256
Ak,4012,1739352452497,1.6334,-1.06451,9.80968,6.78996,-5.01999,7.4537
Ak,4013,1739352452512,0.82702,-0.16002,9.49622,9.7043,-3.20807,4.98566
Ak,4014,1739352452529,1.58315,-2.11256,9.39811,14.12159,-2.6931,3.29962
Ak,4015,1739352452544,0.17378,-2.13649,9.04397,20.49958,-2.02554,0.78962
Ak,4016,1739352452559,0.98255,-0.80608,9.94367,21.20146,1.52202,-2.10947
Ak,4017,1739352452579,1.55444,-3.06969,8.68744,22.89895,6.52675,-5.89353
Ak,4018,1739352452595,1.55444,-3.06969,8.68744,16.71169,6.53057,-4.53173
Ak,4019,1739352452613,0.96341,-2.30877,10.43899,7.30493,4.44781,-0.91931
Ak,4020,1739352452630,0.70738,-0.33709,9.62064,-0.26702,2.42608,2.69691
Ak,4021,1739352452645,1.47308,-0.50937,9.60629,-2.36123,2.20483,3.82984
Ak,4022,1739352452666,0.97298,-2.84716,8.60369,0.1297,1.96833,3.52849
Ak,4023,1739352452683,0.63559,-1.18893,9.47229,-2.90671,1.18634,4.9437
Ak,4024,1739352452691,0.63559,-1.18893,9.47229,-4.43636,0.90787,5.2832
Ak,4025,1739352452715,2.15743,-2.27767,9.24975,-4.14645,0.44631,4.41347
Ak,4026,1739352452729,1.41087,-1.80389,10.3672,-1.94162,-0.22506,2.70073
Ak,4027,1739352452746,0.74088,-4.38335,8.80469,-2.9563,0.33568,1.93781
Ak,4028,1739352452762,2.26511,-2.68684,11.71915,-26.45033,-0.63322,7.34308
Ak,4029,1739352452778,0.70499,-0.44716,9.3024,-36.82981,-3.03641,10.53588
Ak,4030,1739352452793,0.70499,-0.44716,9.3024,-35.56337,-1.74327,7.25153
Ak,4031,1739352452826,0.24556,0.33529,7.73271,-18.42826,-0.09536,0.03052
Ak,4032,1739352452831,0.24556,0.33529,7.73271,-10.04762,1.02231,-2.9296
Ak,4033,1739352452843,1.42762,-3.73729,8.32613,-2.93342,4.24563,-6.52675
Ak,4034,1739352452858,0.91316,-3.05055,9.43879,-5.63414,3.4255,-4.71864
Ak,4035,1739352452879,1.24816,-0.3347,8.96501,-0.27084,0.99561,-3.92139
Ak,4036,1739352452896,1.24816,-0.3347,8.96501,7.26297,-0.34713,-4.80256
Ak,4037,1739352452914,2.25553,-2.7012,9.51057,11.3522,-2.04843,-4.75679
Ak,4038,1739352452931,2.13829,-1.90439,11.43201,4.10068,-5.40145,-1.68605
Ak,4039,1739352452954,3.49502,-1.87567,11.46551,-32.83595,-15.29648,12.65298
Ak,4040,1739352452972,1.80329,2.63719,9.95564,5.25268,-12.40884,-0.76673
Ak,4041,1739352452983,0.77677,0.75165,8.13949,49.2501,5.41671,-21.96438
Ak,4042,1739352453003,2.74846,-7.64716,7.33789,44.11186,1.8043,-18.53888
Ak,4043,1739352453020,1.30319,0.6679,11.87707,-11.51242,-7.01502,1.19778
Ak,4044,1739352453040,1.09023,-0.43519,10.42942,-7.96104,-5.71425,-0.27465
Ak,4045,1739352453057,1.09023,-0.43519,10.42942,13.75539,1.38851,-9.91411
Ak,4046,1739352453071,1.22423,0.99811,8.79273,53.91916,12.79793,-25.5539
Ak,4047,1739352453090,0.6332,-3.12233,11.19751,46.19081,11.32169,-22.85699
Ak,4048,1739352453102,1.80808,-3.51476,10.75245,-22.075,-4.48977,2.34978
Ak,4049,1739352453116,1.80808,-3.51476,10.75245,-36.29959,-7.56814,7.67494
Ak,4050,1739352453130,3.02842,2.89561,12.74806,23.82208,5.76765,-16.29591
Ak,4051,1739352453148,0.09482,-2.94287,7.66092,33.98413,7.64443,-19.46964
