ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,7251,1739356218989,1.659,-2.00805,9.34005,-1.00053,-2.5998,1.12658
HS,7252,1739356219007,1.659,-2.00805,9.34005,-0.08666,-0.77994,2.6707
HS,7253,1739356219024,-1.37805,0.414,7.96095,2.78099,-1.54412,1.75683
HS,7254,1739356219040,0.378,-1.29,11.67495,0.40179,2.37133,2.11135
HS,7255,1739356219054,-0.303,-0.62895,9.23505,-0.92962,1.53624,1.89864
HS,7256,1739356219070,1.164,-1.48095,9.06495,-1.48897,1.74108,2.04045
HS,7257,1739356219089,-0.71505,-1.81905,9.94305,-1.27626,-2.94644,1.75683
HS,7258,1739356219105,-0.552,-1.00995,9.57195,0.18908,-3.7894,1.552
HS,7259,1739356219120,-0.552,-1.00995,9.57195,1.59139,-2.52889,2.17437
HS,7260,1739356219139,0.54405,-0.909,8.79195,0.47269,-1.33929,2.11135
HS,7261,1739356219156,-0.006,-1.611,9.46695,0.18908,-1.05567,2.80463
HS,7262,1739356219172,-0.27405,-1.15305,8.82795,0.74843,0.13393,2.52889
HS,7263,1739356219187,0.24195,-1.49595,9.996,0.33088,3.91545,2.45799
HS,7264,1739356219201,-0.858,-0.16005,9.09405,1.16597,1.53624,3.08824
HS,7265,1739356219220,-0.066,-0.03795,10.14705,0.18908,0.20483,2.87553
HS,7266,1739356219238,-0.066,-0.03795,10.14705,-1.41807,3.77364,2.7416
HS,7267,1739356219254,-0.95205,-2.77005,9.40695,-0.22847,0.55147,2.5998
HS,7268,1739356219268,-1.36095,-2.169,9.15105,2.56828,-2.45799,3.08824
HS,7269,1739356219287,0.012,-1.87395,11.454,0.96114,4.26209,2.87553
HS,7270,1739356219302,-0.20205,-0.91605,9.79695,0.25998,0.40966,2.5998
HS,7271,1739356219321,-0.43905,-0.15495,10.39395,-2.04832,-2.38709,2.38709
HS,7272,1739356219339,-0.73605,0.46395,9.74505,-5.3414,-8.76052,2.24528
HS,7273,1739356219354,1.92495,-2.62605,8.58405,-4.35663,-12.32934,1.82774
HS,7274,1739356219370,1.92495,-2.62605,8.58405,-4.2936,-20.79837,1.68593
HS,7275,1739356219389,0.309,-3.66495,10.71705,2.00893,14.9055,3.23005
