ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,7751,1739356460450,-1.419,-3.25305,7.71705,-1.00053,0.48057,5.04991
HS,7752,1739356460467,-0.94905,0.51,10.611,-0.92962,3.14339,5.12081
HS,7753,1739356460485,-1.45005,-1.41,9.82095,-2.19013,6.49949,4.56146
HS,7754,1739356460505,-0.44895,-0.15,12.31395,-5.75894,9.79257,3.7894
HS,7755,1739356460521,-1.30095,-2.50605,9.0,-2.82038,5.23898,4.13604
HS,7756,1739356460541,-0.68895,-1.836,7.60395,2.29255,-3.01734,3.99423
HS,7757,1739356460556,0.52395,0.24405,11.09805,0.04727,-10.99792,3.93121
HS,7758,1739356460579,-0.82995,-0.627,8.727,-2.11923,5.79833,4.9081
HS,7759,1739356460597,-0.38205,-1.67505,10.48005,-4.56934,-0.42542,4.20694
HS,7760,1739356460614,-1.36395,-0.816,7.947,-0.22847,4.12028,5.04991
HS,7761,1739356460632,-1.36395,-0.816,7.947,0.04727,-4.69539,4.27785
HS,7762,1739356460650,-0.61395,-0.603,10.03695,-0.92962,3.77364,4.27785
HS,7763,1739356460668,-0.74595,0.423,8.89005,-3.23793,-0.49632,3.8603
HS,7764,1739356460687,-1.35705,-1.611,9.74505,-3.37973,4.19119,4.979
HS,7765,1739356460706,-0.28395,-2.02305,8.55195,0.33088,2.44223,5.04991
HS,7766,1739356460725,-0.20505,-1.18005,9.08895,2.15074,0.76418,5.12081
HS,7767,1739356460742,0.20595,-1.932,10.43205,1.44958,7.41336,5.25474
HS,7768,1739356460761,-0.138,-0.564,9.735,1.79622,2.58404,5.12081
HS,7769,1739356460776,0.15105,-1.51995,10.07805,2.63919,3.63184,4.56146
HS,7770,1739356460791,-0.41595,-0.65505,9.702,4.24633,4.04938,4.62449
HS,7771,1739356460803,-0.65295,-0.84195,10.97295,3.19854,-1.05567,4.13604
HS,7772,1739356460821,-0.42,-0.21,9.984,2.71009,5.03415,3.7894
HS,7773,1739356460842,-0.42,-0.21,9.984,-0.02363,4.12028,2.87553
HS,7774,1739356460861,-1.61295,0.49005,9.513,-1.48897,-0.56723,2.38709
HS,7775,1739356460879,-0.6,-0.687,8.43495,-1.21324,-2.52889,1.68593
HS,7776,1739356460903,-0.648,-0.837,9.49095,-0.71691,0.20483,1.41019
HS,7777,1739356460919,-0.45405,-1.20105,9.64905,2.22164,3.70274,2.38709
HS,7778,1739356460940,-1.10505,-0.864,10.59495,1.93803,3.21429,1.96954
HS,7779,1739356460960,-0.51405,-1.491,9.498,2.36345,2.22952,1.89864
HS,7780,1739356460977,-0.51405,-1.491,9.498,1.03204,2.93068,2.18225
HS,7781,1739356460995,0.201,-1.46205,10.872,2.29255,2.30043,2.31618
HS,7782,1739356461011,-0.624,-1.80495,10.20195,2.42648,2.51314,2.5998
HS,7783,1739356461026,0.19395,-0.61005,10.32705,0.54359,1.81198,1.96954
HS,7784,1739356461039,-0.64095,-2.11095,10.221,1.03204,1.74108,1.89864
HS,7785,1739356461057,-0.27,-2.178,9.177,2.22164,0.06303,1.61502
HS,7786,1739356461078,-0.396,-0.75105,10.50405,2.00893,2.93068,1.68593
