ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,251,1739352393158,-1.17936,-1.72463,10.57089,1.81193,-7.4537,6.069
RV,252,1739352393175,-1.47847,-1.34178,9.48694,2.27349,-4.07016,10.60455
RV,253,1739352393193,-1.66511,-2.06201,10.32682,0.91169,5.22598,21.54478
RV,254,1739352393208,-1.66511,-2.06201,10.32682,-0.2098,6.82048,23.90219
RV,255,1739352393220,-1.366,-2.44726,10.42254,-1.80811,10.83342,29.87583
RV,256,1739352393239,-0.81326,-2.42333,10.41057,-2.30401,11.50097,33.82011
RV,257,1739352393255,-0.31077,-1.20538,9.98944,-3.41405,10.55496,34.02991
RV,258,1739352393273,-1.14347,-3.13161,10.1665,-5.13443,6.64501,31.58858
RV,259,1739352393291,-1.14347,-3.13161,10.1665,-4.40203,4.7072,30.76081
RV,260,1739352393307,-0.39212,-1.12403,10.11865,-4.7873,2.38412,28.71619
RV,261,1739352393327,-1.05972,-1.11924,10.27658,-2.78465,-3.79551,21.81561
RV,262,1739352393343,0.13908,-2.97847,9.17109,0.11062,-9.155,15.05998
RV,263,1739352393359,-0.67926,-1.38006,9.51805,0.88117,-12.58813,9.94462
RV,264,1739352393376,0.26351,-1.93041,10.18804,8.95665,-15.03709,6.49624
RV,265,1739352393392,1.30917,-2.10748,8.88874,13.42734,-19.06911,0.62178
RV,266,1739352393407,1.30917,-2.10748,8.88874,13.73632,-16.04796,2.22772
RV,267,1739352393424,0.33769,-0.80578,9.72862,14.74718,-14.64038,-0.72096
RV,268,1739352393442,-0.2007,-1.21017,10.51107,13.67529,-11.9015,-2.30019
RV,269,1739352393458,-0.88983,-0.71486,10.18804,14.68615,-11.46664,-3.16992
RV,270,1739352393478,-1.57896,-2.49512,9.8674,20.46525,-10.58166,0.1564
RV,271,1739352393501,-2.63181,-2.67936,11.12124,15.00276,-8.54086,0.47682
RV,272,1739352393514,-1.01665,-3.03829,10.25265,12.03883,-5.1268,4.4211
RV,273,1739352393527,-1.01665,-3.03829,10.25265,10.86012,-4.56224,7.03409
RV,274,1739352393545,-1.04297,-2.11944,9.85305,6.3284,0.99942,16.20054
RV,275,1739352393560,1.53171,-1.35613,9.45584,-3.40642,9.36099,22.30006
RV,276,1739352393578,-0.37537,-3.0335,7.82872,-5.85157,8.02207,20.29741
RV,277,1739352393593,-1.19851,-0.78664,11.82473,-19.77099,12.95051,17.36399
RV,278,1739352393612,-1.19851,-0.78664,11.82473,-14.45728,14.93028,18.96612
RV,279,1739352393626,-0.0332,-2.67458,7.97707,-13.53415,17.71875,20.80856
RV,280,1739352393645,-0.25334,-0.35115,10.71685,-11.1691,12.69112,15.19731
RV,281,1739352393661,-0.29163,-2.59801,8.74756,-6.63356,8.99479,12.06935
RV,282,1739352393681,-0.48066,-2.59801,9.82672,-2.46804,7.46896,12.58432
RV,283,1739352393694,-0.48066,-2.59801,9.82672,1.23211,-3.03259,6.46191
RV,284,1739352393706,-0.79651,-0.6335,9.47498,0.90787,-5.66847,5.67992
RV,285,1739352393721,-0.52373,-1.24846,10.01097,6.78996,-11.17292,6.64119
RV,286,1739352393741,-0.42084,-0.31047,10.03729,9.21222,-17.03594,3.95191
RV,287,1739352393759,-1.18415,-2.22951,10.14018,14.56408,-17.08553,6.40087
RV,288,1739352393773,-0.92333,-1.67916,9.36012,15.15534,-14.31232,8.67818
RV,289,1739352393792,-0.92333,-1.67916,9.36012,13.48074,-11.72222,8.579
RV,290,1739352393811,-0.35145,-0.64307,10.9011,12.79412,-10.39093,8.47601
RV,291,1739352393830,-1.0334,-2.83011,9.5013,18.24134,-9.11304,10.38711
RV,292,1739352393846,-0.72233,-2.04048,10.27418,13.55703,-5.29846,10.75713
RV,293,1739352393862,-0.71515,-2.50229,9.08974,4.36388,-0.28609,10.11246
RV,294,1739352393876,-1.08844,-1.90887,9.51566,-9.60894,3.10889,6.52675
RV,295,1739352393893,-1.04536,-2.19601,9.60898,-22.39161,7.52999,5.81343
RV,296,1739352393910,-1.04536,-2.19601,9.60898,-26.94623,9.18552,6.44283
RV,297,1739352393925,-1.64596,-3.55274,10.41297,-27.96472,9.83781,6.748
RV,298,1739352393943,-0.77258,-2.44726,10.00619,-31.89374,10.16968,5.8859
RV,299,1739352393960,-0.41366,-1.32024,10.34357,-28.0639,8.38446,6.75563
RV,300,1739352393978,0.05055,-1.52124,9.46302,-22.29625,5.83631,9.44873
RV,301,1739352393995,-0.72233,-1.46859,9.97987,-15.25834,2.41082,11.55819
RV,302,1739352394009,-0.72233,-1.46859,9.97987,-7.95722,-1.67079,12.10368
RV,303,1739352394028,-0.55244,-2.33719,9.92244,4.30285,-8.49127,12.45462
RV,304,1739352394044,-0.03081,-0.26501,9.40559,8.43405,-10.31845,11.85954
RV,305,1739352394059,-1.52632,-2.61476,9.54676,17.05882,-11.089,14.30851
RV,306,1739352394079,-0.67926,-2.33958,9.54676,15.10576,-9.3381,14.40769
RV,307,1739352394094,-0.67926,-2.33958,9.54676,12.08079,-7.09513,14.31614
RV,308,1739352394110,-0.43998,-3.45942,9.82433,3.48272,-4.11594,13.35486
RV,309,1739352394128,-0.8994,-2.27019,9.40798,0.08774,-0.29754,15.67031
RV,310,1739352394144,-0.87308,-0.87517,10.14258,-11.42468,4.77205,15.01039
RV,311,1739352394161,-0.24377,-2.3013,9.50848,-10.30701,6.95017,18.26042
RV,312,1739352394184,-1.52393,-2.74397,11.10928,-14.60986,7.64061,16.60489
RV,313,1739352394196,0.04816,-2.57886,10.16172,-22.07882,4.35626,9.48687
RV,314,1739352394209,0.04816,-2.57886,10.16172,-19.84728,2.9563,8.75829
RV,315,1739352394222,-0.76301,-2.00459,9.68076,-14.39243,1.32748,8.56374
RV,316,1739352394240,-1.70818,-0.92542,10.98485,-8.74684,-2.26205,6.76707
RV,317,1739352394257,-0.40409,-0.90867,10.43689,-5.84013,-3.3225,6.81666
RV,318,1739352394274,0.28744,-3.62692,8.15893,4.80638,-10.01329,6.20633
RV,319,1739352394291,0.28744,-3.62692,8.15893,1.98358,-14.06437,3.25384
RV,320,1739352394312,1.01725,-0.77946,9.64248,4.87122,-16.32642,4.7873
RV,321,1739352394327,-0.57637,-3.30628,10.7001,4.95896,-15.17823,6.66789
RV,322,1739352394347,-1.35404,-1.14556,10.69293,3.62004,-12.16471,9.86833
RV,323,1739352394361,-0.9329,-0.58325,9.06581,5.72951,-9.7043,14.59079
RV,324,1739352394377,-1.99053,-3.48814,10.13061,7.22864,-8.32724,17.5242
RV,325,1739352394394,-1.99053,-3.48814,10.13061,1.62883,1.72419,25.21441
RV,326,1739352394411,0.60808,1.02951,9.42234,1.71275,3.87943,28.25844
RV,327,1739352394427,-1.49043,-1.99502,10.19522,2.79991,6.83574,31.55806
RV,328,1739352394444,-0.49023,-1.15035,10.29811,4.65761,12.68349,37.63469
RV,329,1739352394461,-0.21745,-4.12941,9.01556,14.24747,9.8073,40.37738
RV,330,1739352394478,0.05055,-2.94975,8.51785,11.62304,7.60628,37.08539
RV,331,1739352394496,-2.08385,-1.91366,11.3031,0.07629,3.45601,26.40074
RV,332,1739352394511,-2.08385,-1.91366,11.3031,-3.18899,-0.40816,20.51484
RV,333,1739352394527,-2.11496,-0.88953,11.43231,-2.60536,-2.31164,18.68384
RV,334,1739352394543,-0.44955,-1.15514,9.94397,-0.92694,-1.85389,18.61136
RV,335,1739352394560,-1.26311,-1.68634,10.15693,-0.61033,-3.50179,16.68118
RV,336,1739352394577,0.57458,-2.88993,8.99402,-1.00705,-5.53878,13.59899
RV,337,1739352394596,-1.11476,-2.00219,10.39622,-1.86533,-6.00416,11.07374
RV,338,1739352394610,-1.11476,-2.00219,10.39622,-1.51058,-7.09131,9.72719
RV,339,1739352394626,-1.7991,-0.70289,11.36052,1.7776,-6.97306,10.49011
RV,340,1739352394643,-2.62702,-0.54018,9.2357,3.89469,-6.37036,11.05467
RV,341,1739352394662,0.38794,-6.31406,7.57269,4.17697,-5.41671,11.64593
RV,342,1739352394677,0.59611,-6.62513,9.41755,-17.31059,-2.73506,1.60594
RV,343,1739352394693,0.59611,-6.62513,9.41755,-64.72969,-6.5916,-25.72937
RV,344,1739352394709,0.12473,3.77169,11.99223,-41.84599,-2.13617,-10.65032
RV,345,1739352394725,-1.88285,-1.29392,8.87677,19.70614,-6.23685,19.95028
RV,346,1739352394741,0.11755,-3.09093,8.5681,16.18528,3.04404,25.30596
RV,347,1739352394758,-1.66271,-1.42792,9.58744,-15.40329,6.96162,9.00242
RV,348,1739352394774,1.034,-1.56909,9.30509,-18.46259,4.64998,4.7072
RV,349,1739352394792,1.034,-1.56909,9.30509,20.17152,-2.65495,20.46906
RV,350,1739352394812,-1.39711,-2.72483,9.86501,48.50626,3.4522,42.94078
RV,351,1739352394831,-0.3012,-0.94217,9.39602,42.85304,3.16611,38.32895
RV,352,1739352394848,-0.77019,-1.60259,10.2024,-4.93989,2.55196,5.47774
RV,353,1739352394862,-2.14846,-3.29193,9.69751,-5.28701,-14.85781,-8.69344
RV,354,1739352394878,-0.06431,-1.8323,10.25983,-5.03144,-13.90416,-7.27441
RV,355,1739352394894,-0.06431,-1.8323,10.25983,-0.29754,-17.6272,-7.36215
RV,356,1739352394909,0.2013,-1.29153,11.00639,-0.1831,-15.18205,-5.6227
RV,357,1739352394926,-1.00229,-2.36351,9.53959,2.06369,-11.41705,-1.89966
RV,358,1739352394943,0.12233,-2.37069,8.77388,0.77436,-9.20841,-1.33892
RV,359,1739352394962,0.41665,0.18245,10.98724,-4.40966,-4.93607,-0.70188
RV,360,1739352394977,-0.41366,-2.21276,10.04686,-3.12415,-3.07456,1.54491
RV,361,1739352394995,-0.41366,-2.21276,10.04686,0.53023,2.71217,8.67818
RV,362,1739352395011,0.65833,-1.23649,10.44647,1.65172,10.37567,16.76129
RV,363,1739352395028,-0.85394,-1.72702,9.65923,1.69368,6.58016,14.16737
RV,364,1739352395043,-0.87547,-2.0333,10.05165,1.71656,4.82545,12.48132
RV,365,1739352395059,-1.55982,-2.60279,10.39382,2.22772,4.16553,12.0312
RV,366,1739352395076,0.29701,-1.75095,9.94158,5.53115,1.95688,11.75274
RV,367,1739352395095,0.29701,-1.75095,9.94158,1.61738,-0.59889,6.3284
RV,368,1739352395110,-0.12891,-0.61436,8.91267,0.72096,-1.00705,5.2832
RV,369,1739352395124,-0.07866,-3.90449,9.37209,-2.73506,-2.28875,1.93018
RV,370,1739352395139,-0.57876,-0.2339,8.86002,-10.84105,-1.31222,-3.38735
RV,371,1739352395160,0.01466,-4.01456,9.98944,-9.14737,-1.63264,-3.10507
RV,372,1739352395175,0.01466,-4.01456,9.98944,-8.31579,-1.65553,-3.49416
RV,373,1739352395191,0.73729,-1.95195,9.07538,-7.76268,-1.1253,-3.04785
RV,374,1739352395206,0.50518,-2.51426,8.86481,-10.7495,-1.31222,-3.25003
RV,375,1739352395223,-1.11715,-2.30848,10.7695,-16.74221,-7.41937,11.08518
RV,376,1739352395241,-1.84935,-0.40618,10.03251,-23.59321,-13.00773,19.52686
RV,377,1739352395258,-1.03101,-3.13161,9.42234,-18.413,-14.22459,29.80335
RV,378,1739352395274,-1.03101,-3.13161,9.42234,-17.63483,-19.09581,59.93475
RV,379,1739352395300,-0.47587,-2.22712,9.12084,-17.74163,-23.31093,81.8648
RV,380,1739352395314,-0.84676,-3.13879,9.39123,-18.42444,-29.23879,119.70168
RV,381,1739352395327,-0.9664,-1.1671,10.78146,-15.62454,-23.72672,112.16405
RV,382,1739352395346,-0.35862,-3.57428,9.54676,-3.86417,-7.98011,92.00015
RV,383,1739352395359,-1.5335,-2.02612,10.68575,-3.22714,-4.76442,82.30348
RV,384,1739352395380,-1.40668,-1.07617,10.02772,-3.01734,-5.8058,65.32095
RV,385,1739352395396,-1.40668,-1.07617,10.02772,-3.70015,-4.58132,49.15474
RV,386,1739352395410,-1.16979,-1.56431,9.92722,-3.53231,-3.51705,40.79317
RV,387,1739352395430,-0.94965,-1.09771,10.28615,-1.11767,-2.63969,27.46501
RV,388,1739352395446,-0.49502,-0.75793,8.61117,2.50618,-6.9311,20.38514
RV,389,1739352395460,-2.45713,-1.85145,11.06621,20.46906,-14.28562,13.53415
RV,390,1739352395479,0.14148,-9.22613,7.57508,25.90103,-9.73101,11.8214
RV,391,1739352395492,0.14148,-9.22613,7.57508,-8.81932,-14.72811,13.24805
RV,392,1739352395511,-3.61286,-4.63908,12.08076,-60.66334,-20.18678,23.36815
RV,393,1739352395526,-0.07149,2.37189,11.12124,-31.333,-11.17292,23.15453
RV,394,1739352395544,0.18694,-2.18166,7.83111,-1.99503,-11.08518,26.77457
RV,395,1739352395559,1.4001,-5.05304,7.24965,-3.02115,-10.64651,30.42131
RV,396,1739352395582,-1.30618,1.44826,13.08336,-39.16053,-19.06911,41.35391
RV,397,1739352395595,-1.30618,1.44826,13.08336,-48.60544,-15.71227,47.07579
RV,398,1739352395612,-1.11476,-3.15075,10.27179,17.90185,-2.47948,37.14261
RV,399,1739352395622,-1.44975,-1.05224,10.78385,53.65595,19.57263,33.46535
RV,400,1739352395640,-2.05035,-1.44945,9.91287,20.18678,-1.9607,30.74937
RV,401,1739352395658,-2.34706,-1.29153,10.71207,3.0593,5.99653,27.9075
RV,402,1739352395675,-1.01665,-4.67258,9.21655,6.4085,6.50768,25.10378
RV,403,1739352395692,-1.01665,-4.67258,9.21655,5.7028,9.61275,20.0876
RV,404,1739352395712,-0.96162,-0.75314,9.28834,4.10831,8.44549,16.95583
RV,405,1739352395726,-4.87388,-0.7986,12.13819,-8.25476,4.66524,17.62338
RV,406,1739352395749,-0.78455,-0.52822,12.16451,-4.72627,9.63946,15.8763
RV,407,1739352395764,-1.59571,-5.84028,7.88136,7.4804,4.56606,18.25279
RV,408,1739352395783,-0.72951,-0.68375,11.41556,5.31753,2.11709,23.40248
RV,409,1739352395797,-0.72951,-0.68375,11.41556,-2.87238,-4.9437,29.59736
RV,410,1739352395810,-3.29222,-2.66022,10.07318,0.84302,-8.17084,28.62465
RV,411,1739352395827,-0.75344,-2.94497,10.58764,5.58074,-8.31579,26.81272
RV,412,1739352395845,-0.38734,-1.37767,10.34118,6.84337,-7.55669,22.47935
RV,413,1739352395859,0.54108,-1.3992,9.58744,6.63738,-12.78649,19.42768
RV,414,1739352395878,-0.02363,-2.88515,9.69751,3.45983,-12.40884,14.06819
RV,415,1739352395894,-0.02363,-2.88515,9.69751,2.94486,-9.15119,-2.00266
RV,416,1739352395909,-0.85633,-3.59342,9.46541,3.40261,-8.94139,-10.30701
RV,417,1739352395925,-0.68405,-0.79382,10.334,-0.79343,-4.56987,-19.6413
RV,418,1739352395943,-0.87547,-1.15035,9.15673,-2.09802,-6.30551,-21.75458
RV,419,1739352395963,-1.23918,-1.35374,10.20718,-1.2283,-5.2565,-21.98345
RV,420,1739352395978,-1.23918,-1.35374,10.20718,-0.73621,-0.47682,-17.43265
RV,421,1739352395994,-0.78933,-5.1679,8.83131,-2.25442,-0.43868,-12.37451
RV,422,1739352396012,-0.72473,-1.48774,9.38166,-4.33337,0.42342,-8.73158
RV,423,1739352396026,-0.45912,-2.40658,9.16631,-3.15085,4.39822,-6.33603
RV,424,1739352396043,-0.07388,-2.25344,10.17608,-0.28991,9.05201,-0.10299
RV,425,1739352396059,-0.75583,-2.60519,9.04906,-0.37001,8.53704,2.86475
RV,426,1739352396075,-0.75583,-2.60519,9.04906,-0.83921,5.7028,7.04935
RV,427,1739352396088,0.02183,-1.60738,10.28615,-1.4915,0.47301,10.48629
RV,428,1739352396104,-0.2007,-2.41615,9.22373,-2.36504,-0.27084,12.06172
RV,429,1739352396122,-1.44975,-2.52383,9.74537,-0.46919,-5.65703,14.30851
RV,430,1739352396141,-1.10518,-2.34198,9.32662,-0.30517,-12.66442,14.97225
RV,431,1739352396157,-1.48086,-0.59521,10.21915,-0.27465,-13.95757,15.34989
RV,432,1739352396174,-1.48086,-0.59521,10.21915,3.04785,-14.49161,14.41532
RV,433,1739352396194,-0.69362,-2.24148,10.01097,9.09016,-10.0438,13.04207
RV,434,1739352396216,-0.97358,-3.60778,9.57308,4.56987,-9.29233,11.43994
RV,435,1739352396230,0.20608,-2.52144,8.12543,2.89527,-7.90001,10.86775
RV,436,1739352396245,-0.4328,-0.79382,9.79801,-12.21049,-6.3818,11.47809
RV,437,1739352396264,-1.62443,-1.18863,10.49193,-9.02149,-5.56929,11.36365
RV,438,1739352396277,-1.62443,-1.18863,10.49193,-5.23742,-4.90937,11.27973
RV,439,1739352396295,0.07687,-2.34676,9.52523,-4.06253,-1.94162,13.09165
RV,440,1739352396311,-1.47368,-2.36351,9.86262,-6.00797,-2.66258,15.96404
RV,441,1739352396327,-0.38734,-3.53599,9.34577,-6.26736,-0.53786,16.99016
RV,442,1739352396343,-0.80608,-2.46879,11.00639,-7.18286,-1.39232,16.91387
RV,443,1739352396360,-1.05015,-1.59541,9.99661,-3.77644,-1.81193,17.21522
RV,444,1739352396378,-1.05015,-1.59541,9.99661,-2.88764,-1.58305,17.42884
RV,445,1739352396395,0.64875,-0.88714,9.03231,-2.34978,-2.23153,17.12749
