ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1001,1739354297995,-0.58714,-1.33729,9.45075,-25.75226,-6.90821,24.63077
Ak,1002,1739354298012,-0.58714,-1.33729,9.45075,-20.06472,-4.25326,18.47785
Ak,1003,1739354298029,0.85573,1.45274,9.03679,33.91928,-4.99711,-21.51807
Ak,1004,1739354298048,-2.08026,0.42144,9.68764,41.0373,-6.54964,-25.35555
Ak,1005,1739354298065,0.2671,-1.3684,10.61127,34.23972,-5.42434,-21.70117
Ak,1006,1739354298083,-1.96301,-6.72114,7.92892,13.8088,-4.18078,-8.64766
Ak,1007,1739354298099,-0.568,-4.72792,5.99073,-7.58721,-3.29199,6.77089
Ak,1008,1739354298117,-1.28584,4.52034,14.99492,-24.76429,-3.06311,19.97698
Ak,1009,1739354298136,-1.28584,4.52034,14.99492,2.44515,-4.4974,0.51497
Ak,1010,1739354298149,1.46351,-2.26092,8.28784,-6.29406,-5.01618,7.69783
Ak,1011,1739354298169,-0.90778,1.86192,11.22144,-11.60778,-5.45867,12.46988
Ak,1012,1739354298181,-0.21864,-5.09881,5.37578,-13.34342,-6.49242,15.32319
Ak,1013,1739354298200,0.71695,-1.09083,14.05215,-40.19809,-3.55519,36.19659
Ak,1014,1739354298215,0.71695,-1.09083,14.05215,0.02289,-12.30966,9.57079
Ak,1015,1739354298235,-1.58973,-1.72732,10.74048,41.83073,13.59899,-39.336
Ak,1016,1739354298249,1.00887,0.58175,10.17338,36.07834,-0.62941,-24.41716
Ak,1017,1739354298264,2.41107,-2.07428,5.07428,-2.77702,6.47335,-0.74766
Ak,1018,1739354298280,0.96102,-0.23898,13.28645,0.11444,0.97272,2.68165
Ak,1019,1739354298299,0.87966,-2.87109,5.54088,-0.32805,0.42723,4.8636
Ak,1020,1739354298318,0.87966,-2.87109,5.54088,0.03052,0.27846,5.21072
Ak,1021,1739354298328,-1.39113,-2.81366,11.88186,0.56837,0.23269,5.43197
Ak,1022,1739354298348,-2.34347,-6.40768,9.64696,-35.84184,-23.28041,50.90945
Ak,1023,1739354298368,-1.51795,-0.14088,9.65654,-59.68681,-13.89653,65.10733
Ak,1024,1739354298381,-3.85334,-0.06191,12.38196,-15.72372,-19.62222,29.32653
Ak,1025,1739354298397,-1.52991,-1.28465,8.14427,0.93076,17.91329,-9.40295
Ak,1026,1739354298414,-1.52991,-1.28465,8.14427,-27.32387,17.69967,13.29001
Ak,1027,1739354298434,-0.69482,-1.85414,10.97977,4.26852,4.93607,-4.80256
Ak,1028,1739354298449,0.41545,-1.05733,10.7668,8.68962,3.52849,-7.64061
Ak,1029,1739354298469,0.71695,-4.26132,5.28963,21.91479,23.97085,-31.42455
Ak,1030,1739354298481,0.05653,2.42423,12.75285,28.67423,6.6183,-23.86023
Ak,1031,1739354298498,1.98515,-5.00788,7.9026,20.13338,26.78983,-30.27255
Ak,1032,1739354298517,0.84138,-1.79432,8.33809,-14.86925,-7.324,21.57529
Ak,1033,1739354298528,0.84138,-1.79432,8.33809,-14.21696,-8.12125,21.72025
Ak,1034,1739354298549,-0.78335,-0.89222,8.67069,-15.30411,-6.37417,20.86196
Ak,1035,1739354298566,-0.80967,1.00289,9.66611,-12.8933,-5.15732,17.64245
Ak,1036,1739354298583,2.07607,0.70857,11.4344,38.72185,13.91942,-37.23798
Ak,1037,1739354298599,-1.86012,-1.58375,6.62483,46.42731,5.64559,-38.93928
Ak,1038,1739354298618,-1.86012,-1.58375,6.62483,0.74003,14.05293,-12.54617
Ak,1039,1739354298629,2.79153,-5.88604,9.48664,-21.89572,-1.15963,15.56732
Ak,1040,1739354298644,0.27188,0.73011,8.82862,-10.30319,-5.29083,8.49508
Ak,1041,1739354298662,-1.87208,0.92393,10.36002,-0.53404,-2.8762,-0.9155
