ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,501,1739355268155,-2.98905,-1.479,10.566,3.33247,1.36292,-4.4039
HS,502,1739355268172,-0.04905,0.98595,9.864,1.23687,13.88921,-4.5457
HS,503,1739355268187,-0.67695,-1.848,8.39895,1.79622,-2.63131,-4.26209
HS,504,1739355268206,-0.99,-1.551,8.595,2.84402,-1.57563,-4.61661
HS,505,1739355268222,-0.99,-1.551,8.595,2.56828,-4.79781,-6.29466
HS,506,1739355268237,-0.43005,0.435,11.14095,0.88235,2.55253,-5.80621
HS,507,1739355268254,1.008,-1.362,9.82605,-0.02363,2.06408,-6.22375
HS,508,1739355268270,-1.21305,-1.70895,10.398,-0.37027,0.80357,-6.08195
HS,509,1739355268287,-1.632,-0.26295,8.919,-2.26103,-2.13498,-5.73531
HS,510,1739355268305,0.45495,-1.728,9.58005,-1.28414,-4.58509,-6.36556
HS,511,1739355268320,-1.017,-4.30395,9.33795,1.58351,-3.04885,-5.94802
HS,512,1739355268337,-1.017,-4.30395,9.33795,5.50684,-2.56041,-6.08195
HS,513,1739355268354,-0.906,-0.555,11.54295,4.59297,7.72848,-4.75841
HS,514,1739355268369,-0.07305,-0.45195,8.58795,1.44958,-1.64654,-5.6644
HS,515,1739355268386,-0.56205,0.79695,12.192,-3.24581,8.85506,-5.31776
HS,516,1739355268405,-1.443,-2.487,8.63595,-2.96219,1.85137,-6.7831
HS,517,1739355268421,0.98895,1.09395,9.21105,-2.54465,-4.09665,-6.7122
HS,518,1739355268439,-0.609,-1.584,10.65195,-5.76682,-7.59456,-6.29466
HS,519,1739355268453,-1.51005,-4.49595,9.77595,-2.0562,-5.7747,-7.06672
HS,520,1739355268471,-1.51005,-4.49595,9.77595,5.0893,-2.27679,-6.08195
HS,521,1739355268486,-1.83495,-3.684,10.04895,7.95695,4.78993,-5.24686
HS,522,1739355268501,0.52905,4.185,10.96605,-0.8666,5.90863,-6.08195
HS,523,1739355268519,-0.55395,0.79005,8.265,-4.50631,2.55253,-5.5226
HS,524,1739355268535,-1.29405,-1.00305,7.79805,-5.55411,-8.92597,-6.50737
HS,525,1739355268552,-1.33995,-4.88595,9.06195,-1.70168,-7.03521,-6.22375
HS,526,1739355268570,-0.126,-3.213,12.50505,0.323,-2.06408,-6.08195
HS,527,1739355268585,-0.126,-3.213,12.50505,2.00893,7.94119,-5.5935
HS,528,1739355268602,-1.63695,-2.142,9.80895,6.76735,-1.01628,-4.61661
HS,529,1739355268620,-1.49295,0.84195,9.513,3.26944,3.04097,-4.96325
HS,530,1739355268638,-0.54705,2.09895,9.75405,-5.3414,-2.97795,-5.31776
