ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,751,1739358964150,0.18664,0.29581,10.33311,-12.22193,2.25823,1.05283
Abj,752,1739358964173,0.23958,-5.834,7.81316,-2.94486,12.2677,0.62559
Abj,753,1739358964193,0.24915,-2.33898,9.52583,-2.70073,-4.08923,-0.96128
Abj,754,1739358964209,0.59641,0.533,12.55365,-5.63033,-0.3662,1.17489
Abj,755,1739358964219,0.59641,0.533,12.55365,-6.24066,-4.88267,-0.16784
Abj,756,1739358964239,0.35204,-4.01366,10.95584,-0.07629,-6.9578,-0.35094
Abj,757,1739358964252,0.25394,-2.55942,9.77977,1.44954,-3.2958,0.56456
Abj,758,1739358964265,0.39272,-0.96162,9.26471,-1.54109,2.50237,-1.02231
Abj,759,1739358964284,0.47677,-0.85155,11.32254,-3.73829,-8.36157,0.32043
Abj,760,1739358964299,0.47677,-0.85155,11.32254,-5.63033,-3.4789,1.05283
Abj,761,1739358964315,0.12682,-2.25763,9.95235,-0.80869,3.35683,0.50353
Abj,762,1739358964334,0.26112,-2.40628,9.56172,2.05988,0.24413,-0.10681
Abj,763,1739358964351,-0.05743,-2.65543,9.86112,3.40261,-6.2254,-0.10681
Abj,764,1739358964368,0.42861,-2.39671,8.38804,9.49832,-3.90613,0.86973
Abj,765,1739358964384,0.10528,-1.8335,6.81177,15.84578,22.87988,0.19836
Abj,766,1739358964407,-0.05503,0.65533,10.23979,10.41382,-15.62454,0.86973
Abj,767,1739358964430,0.12443,0.43968,10.99681,6.99595,-18.31001,0.68663
Abj,768,1739358964446,0.91017,-1.95823,6.47647,2.73124,6.89677,1.23593
Abj,769,1739358964459,0.91017,-1.95823,6.47647,0.65611,-0.06103,1.23593
Abj,770,1739358964470,0.45972,-1.15573,12.49143,-3.31106,-39.90819,0.19836
Abj,771,1739358964485,-0.02154,-3.79561,8.80708,1.26644,-4.15027,0.93076
Abj,772,1739358964509,1.08515,-0.21416,10.67558,2.48711,16.10518,-0.65611
Abj,773,1739358964523,-0.19651,0.76301,10.41685,-2.70073,-10.49774,-0.22888
Abj,774,1739358964537,-0.19651,0.76301,10.41685,-1.23593,21.84231,-0.22888
Abj,775,1739358964549,0.42383,-3.12951,8.31386,0.53404,16.10518,0.68663
Abj,776,1739358964567,0.80967,-1.33071,11.38714,-1.78523,-7.26297,0.74766
Abj,777,1739358964582,0.80967,-1.33071,11.38714,-0.01526,4.08923,1.35799
Abj,778,1739358964601,0.00239,-2.0348,10.18714,-2.70073,-0.67137,0.86973
Abj,779,1739358964617,-0.05264,-2.62642,10.49372,-3.37209,-7.6902,-0.47301
Abj,780,1739358964634,0.38554,-0.16869,11.42064,-6.48479,2.99063,-0.10681
Abj,781,1739358964652,0.36879,-1.41446,9.56172,-8.682,-1.70893,0.01526
Abj,782,1739358964674,0.53659,-0.92333,9.44208,-7.94959,7.26297,1.72419
Abj,783,1739358964693,-0.05264,-1.42642,7.77966,-11.55056,3.60097,1.29696
Abj,784,1739358964709,0.20608,-3.17258,9.66012,-0.93076,-2.62443,0.25939
Abj,785,1739358964718,0.20608,-3.17258,9.66012,-7.70546,1.0986,-0.77818
Abj,786,1739358964742,0.6012,-1.43121,11.19063,-8.49889,-16.90624,-0.22888
Abj,787,1739358964758,0.08853,-1.22752,9.59283,-8.80406,7.44607,0.07629
Abj,788,1739358964770,0.20608,-1.1988,9.03709,-4.59276,-4.3944,-0.41198
Abj,789,1739358964787,0.50788,-4.2003,8.95095,2.79228,3.53993,0.74766
Abj,790,1739358964799,0.50788,-4.2003,8.95095,4.98948,3.90613,0.62559
Abj,791,1739358964818,-0.05743,-3.26381,9.48276,5.35568,-12.32874,0.44249
Abj,792,1739358964836,0.58205,0.52582,10.29721,-0.86973,-2.31927,1.54109
Abj,793,1739358964853,-0.00957,-1.56521,10.4025,3.70778,-18.49311,1.11386
Abj,794,1739358964869,0.72323,-3.29731,8.68026,1.57161,-5.43197,0.68663
Abj,795,1739358964886,-0.20369,-0.17348,10.15574,0.10681,-23.30711,3.06693
Abj,796,1739358964906,-0.20369,-0.17348,10.15574,-2.76176,9.09397,-0.16784
Abj,797,1739358964925,0.60838,0.0996,8.62044,6.08808,7.07987,2.45659
Abj,798,1739358964941,0.55095,-3.95593,8.02373,10.71898,7.99537,2.57866
Abj,799,1739358964957,0.13161,-2.44217,9.7008,10.53588,-8.11744,2.15143
Abj,800,1739358964975,0.25394,0.37268,10.52483,1.57161,-6.5916,2.27349
Abj,801,1739358964991,0.10768,-0.3006,9.87787,-1.54109,-6.53057,2.94486
Abj,802,1739358965008,0.66341,-1.40489,7.99741,0.90024,2.99063,3.49416
Abj,803,1739358965018,0.66341,-1.40489,7.99741,-0.25939,25.93155,2.39556
Abj,804,1739358965038,0.54855,-0.78694,11.22413,1.75471,-18.49311,2.45659
Abj,805,1739358965056,0.94606,-2.42064,10.62054,2.54814,37.89408,3.55519
Abj,806,1739358965070,-0.53898,-1.95344,8.14607,-5.32516,-1.58687,2.39556
Abj,807,1739358965084,-0.53898,-1.95344,8.14607,-0.74766,-10.19257,2.76176
Abj,808,1739358965100,0.54855,-0.08255,12.66641,-5.38619,16.04414,4.22656
Abj,809,1739358965121,0.30658,-3.37388,9.75584,-2.09039,-4.7606,3.98243
Abj,810,1739358965139,0.51506,-2.72722,11.06142,2.91434,9.7043,5.81343
Abj,811,1739358965154,0.2348,-1.51256,7.67169,-3.25003,18.54651,3.98243
Abj,812,1739358965169,-0.19412,0.91167,11.17628,-11.7947,-9.82637,3.92139
Abj,813,1739358965187,0.21326,-2.72722,11.61955,-7.52236,-4.88267,6.78996
Abj,814,1739358965211,0.44058,-5.28545,9.39183,2.12091,3.41787,4.65379
Abj,815,1739358965229,0.44058,-5.28545,9.39183,4.80638,-10.4367,3.43313
Abj,816,1739358965246,-0.28983,-1.82871,10.41446,0.35094,12.87804,1.90729
Abj,817,1739358965260,0.6658,-1.27059,10.58226,0.22888,-15.74661,4.28759
Abj,818,1739358965273,-0.09123,-1.47906,8.19392,8.33868,-2.44133,3.31106
Abj,819,1739358965288,0.67537,0.14506,10.59422,-0.07629,4.69957,2.21246
Abj,820,1739358965315,-0.34038,-1.35703,9.13311,-1.90729,-17.88277,2.21246
Abj,821,1739358965322,-0.34038,-1.35703,9.13311,4.74534,33.25555,2.57866
Abj,822,1739358965336,-0.00957,-2.0013,7.42254,-1.35799,-3.96717,1.66316
Abj,823,1739358965351,0.41186,-0.33888,10.98724,-0.01526,-8.2395,2.27349
Abj,824,1739358965369,0.30658,-2.17388,9.3341,-0.93076,6.53057,2.76176
Abj,825,1739358965387,0.74028,-0.05862,9.87309,-2.70073,1.03757,2.70073
Abj,826,1739358965404,0.74028,-0.05862,9.87309,4.80638,-0.5493,3.55519
Abj,827,1739358965420,-0.05982,-3.47228,7.33161,13.46548,8.66674,11.30643
Abj,828,1739358965447,-0.09123,-5.03151,7.84427,1.81574,-27.64048,1.05283
Abj,829,1739358965465,0.80489,3.10349,13.91426,-12.28296,-13.42734,3.43313
Abj,830,1739358965484,-0.18455,-0.25513,8.39522,-7.15616,4.51647,2.02936
Abj,831,1739358965497,0.69691,-4.14287,11.99552,1.63264,-12.02357,1.11386
Abj,832,1739358965509,0.04307,-2.92134,9.64547,1.44954,22.14748,0.99179
Abj,833,1739358965521,0.04307,-2.92134,9.64547,4.80638,16.83758,2.39556
Abj,834,1739358965543,0.69691,-2.17866,10.38575,5.35568,2.1972,1.29696
Abj,835,1739358965557,0.38076,-0.59521,11.26272,1.57161,-1.4648,0.99179
Abj,836,1739358965576,-0.07448,-2.866,9.46361,5.41671,2.5634,0.93076
Abj,837,1739358965583,-0.07448,-2.866,9.46361,1.57161,2.7465,0.01526
Abj,838,1739358965602,0.51506,-0.88265,9.91376,-3.43313,-10.86394,-0.47301
Abj,839,1739358965620,-0.02393,-0.50907,11.53819,1.38851,-13.61044,0.01526
Abj,840,1739358965636,0.00239,-3.50339,5.27617,8.33868,4.15027,-0.35094
Abj,841,1739358965653,1.10189,3.03171,11.97638,-9.53646,-3.72303,-1.26644
Abj,842,1739358965672,-0.26112,-2.27199,11.34407,-5.99653,-61.32326,-0.35094
Abj,843,1739358965694,0.95803,-6.5025,5.69073,9.19315,40.45749,-2.24298
Abj,844,1739358965717,0.07657,0.41575,11.6698,3.09744,-17.39451,-2.85331
Abj,845,1739358965735,0.34487,-1.17488,9.31975,1.14438,0.61033,-0.96128
Abj,846,1739358965748,1.13539,-1.22034,10.24696,-4.04346,2.68547,-2.54814
Abj,847,1739358965756,1.13539,-1.22034,10.24696,-2.88383,-2.07513,-1.87678
Abj,848,1739358965771,0.27308,2.48076,10.87687,-9.65853,-1.6479,-0.59508
Abj,849,1739358965787,0.27308,2.48076,10.87687,-15.6398,21.47611,-0.53404
Abj,850,1739358965811,1.12822,-4.50688,10.68036,-3.37209,-1.2817,-0.41198
Abj,851,1739358965820,1.12822,-4.50688,10.68036,-3.55519,9.03294,-2.54814
Abj,852,1739358965839,-0.4337,-2.87318,9.50429,-8.86509,5.79817,0.93076
Abj,853,1739358965853,0.57966,-1.3017,10.89123,-3.06693,2.5634,-1.75471
Abj,854,1739358965871,0.43579,-2.76311,9.04427,-3.79933,0.9155,-1.87678
Abj,855,1739358965888,0.43579,-2.76311,9.04427,6.33221,0.5493,-0.96128
Abj,856,1739358965905,-0.34756,-3.31645,7.07049,-3.31106,4.9437,-2.60918
Abj,857,1739358965926,0.55095,0.55214,10.97737,0.77818,-11.23014,-1.38851
Abj,858,1739358965948,-0.39302,-1.87208,10.72134,-6.05756,2.25823,-1.81574
Abj,859,1739358965965,0.4334,-2.32941,9.35564,-3.31106,-24.58881,-2.12091
Abj,860,1739358965979,0.38794,-1.47906,11.40868,-0.50353,-4.27234,-3.15848
Abj,861,1739358965991,0.27787,-3.12951,8.71376,2.42608,7.44607,-1.99884
Abj,862,1739358966005,0.27787,-3.12951,8.71376,8.64385,4.45543,-3.46364
Abj,863,1739358966028,0.68973,-1.22273,8.04796,9.43728,11.1691,-2.42608
Abj,864,1739358966040,-0.4337,-0.12323,7.18295,2.73124,16.16621,-1.32748
Abj,865,1739358966059,0.47198,-0.12562,9.84916,1.81574,-2.7465,-1.69368
Abj,866,1739358966074,0.30658,-2.7009,10.77877,0.22888,-12.0846,-1.51058
Abj,867,1739358966084,0.30658,-2.7009,10.77877,0.83921,-0.1831,-1.38851
Abj,868,1739358966103,0.32812,-3.24706,9.43729,3.95191,-18.55414,-4.56224
Abj,869,1739358966121,0.6347,-0.08016,11.12603,-2.39556,1.70893,-2.42608
Abj,870,1739358966139,0.1651,0.3655,8.97966,-2.09039,15.49484,-1.63264
Abj,871,1739358966155,0.98435,-0.74596,10.42643,-0.93076,6.5916,-1.99884
Abj,872,1739358966172,0.067,-3.63021,9.4014,0.10681,12.32874,0.25939
Abj,873,1739358966192,0.10289,-2.27916,10.27807,1.44954,-3.17373,-0.90024
Abj,874,1739358966209,0.10289,-2.27916,10.27807,0.83921,0.06103,-2.24298
Abj,875,1739358966228,0.09093,-2.55224,10.15813,2.79228,-6.16437,-1.02231
Abj,876,1739358966237,0.45972,-2.06351,10.92234,-3.18899,-2.50237,-1.99884
Abj,877,1739358966261,0.27547,-1.36899,10.69233,1.69368,-2.86857,-0.41198
Abj,878,1739358966274,0.51027,-2.22652,8.24896,0.47301,6.34747,-1.93781
Abj,879,1739358966285,0.51027,-2.22652,8.24896,4.25708,-2.86857,-0.41198
Abj,880,1739358966302,0.02393,-1.17488,9.55215,0.65611,-2.80753,-1.26644
Abj,881,1739358966324,0.28744,-1.6325,11.43739,-2.15143,-8.9719,-0.65611
Abj,882,1739358966339,0.21805,-2.23131,11.11885,-3.06693,-19.77481,0.01526
Abj,883,1739358966356,0.24197,-0.64068,10.34746,-3.43313,-1.2817,-0.53404
Abj,884,1739358966370,0.30897,-1.97737,7.77966,0.47301,-2.9296,-0.28991
Abj,885,1739358966388,0.30897,-1.97737,7.77966,4.86741,33.56072,-0.28991
Abj,886,1739358966411,0.80728,-1.26341,7.63819,-0.50353,-17.08934,-0.35094
Abj,887,1739358966428,-0.20847,0.31286,11.69851,-7.33926,8.6057,0.68663
Abj,888,1739358966445,-0.01196,-4.15244,6.44776,1.08334,-10.8029,-0.04578
Abj,889,1739358966454,0.34726,-1.78086,13.10459,-0.86973,-24.77191,1.11386
Abj,890,1739358966469,0.25155,-2.87797,9.09691,2.85331,5.6761,0.86973
Abj,891,1739358966487,0.25155,-2.87797,9.09691,4.62328,-2.9296,0.38146
Abj,892,1739358966501,0.77617,-1.3666,10.12942,2.36504,-7.20194,1.54109
Abj,893,1739358966518,0.07178,0.23838,10.47458,-0.86973,-4.9437,1.54109
Abj,894,1739358966537,0.52223,-2.83729,8.70658,2.48711,15.31174,1.17489
Abj,895,1739358966555,0.01675,-0.88026,10.07917,-0.50353,-2.25823,2.21246
