ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,251,1739358351483,-4.25895,-1.37505,10.55595,-8.35086,4.52207,0.14181
HS,252,1739358351495,-4.25895,-1.37505,10.55595,-6.95642,1.23687,0.84296
HS,253,1739358351511,-2.43495,-3.67905,8.83305,5.71167,2.00893,0.56723
HS,254,1739358351526,0.75795,-2.59695,9.91005,6.76735,2.07196,1.40231
HS,255,1739358351544,-1.47,1.45605,9.76905,5.50684,0.11817,0.98477
HS,256,1739358351560,1.67505,1.37205,10.85295,-1.49685,-0.44118,0.77206
HS,257,1739358351577,0.49695,-1.79895,8.739,-8.28783,4.66388,1.26051
HS,258,1739358351595,-2.68395,-2.69205,7.95405,-2.54465,7.11399,0.21271
HS,259,1739358351610,-2.68395,-2.69205,7.95405,7.3976,-3.31671,-0.27574
HS,260,1739358351627,-2.715,-0.27705,10.87005,7.53153,0.60662,1.40231
HS,261,1739358351644,-0.48405,-1.452,5.73,13.76316,-9.05989,-0.27574
HS,262,1739358351661,-0.12405,-0.64305,15.987,1.65442,2.21377,0.84296
HS,263,1739358351677,-0.70905,-1.66005,9.70395,-3.87606,12.28994,-0.63025
HS,264,1739358351693,0.39405,-0.54,10.63995,-0.7957,5.29413,0.55935
HS,265,1739358351710,0.459,-0.56895,9.89805,3.82879,0.46481,-0.48845
HS,266,1739358351727,0.459,-0.56895,9.89805,0.46481,3.26156,-0.48845
HS,267,1739358351743,-1.83195,0.58905,10.51305,-1.35505,0.11029,-0.41754
HS,268,1739358351761,0.34605,-1.53105,10.51095,-2.0562,2.21377,-0.27574
HS,269,1739358351778,0.94695,-3.56895,9.369,3.05673,2.42648,-0.20483
HS,270,1739358351793,1.63005,-0.25995,9.714,5.64865,-6.81462,0.55935
HS,271,1739358351812,-1.81005,-2.13,7.77405,14.81884,-0.44906,1.12658
HS,272,1739358351827,-2.55,3.774,13.55595,8.09876,2.07196,-0.06303
HS,273,1739358351844,-0.735,-0.96105,10.425,-4.43541,8.09088,0.14181
HS,274,1739358351862,-0.735,-0.96105,10.425,-5.48321,4.73478,0.63025
HS,275,1739358351876,-0.426,-3.21,9.141,2.00893,4.73478,0.63025
HS,276,1739358351893,-0.45705,-2.24505,8.859,4.45904,-0.7957,0.14181
HS,277,1739358351910,-1.19505,2.56005,9.048,2.14286,-1.70956,0.91387
HS,278,1739358351927,-1.15395,-2.364,9.165,-2.68646,6.76735,0.42542
HS,279,1739358351943,-3.40695,-2.247,9.678,-1.00053,7.67334,-0.13393
HS,280,1739358351959,-1.86,-0.894,10.08,5.92438,3.33247,-0.83509
HS,281,1739358351976,-1.86,-0.894,10.08,3.19854,-3.38761,-2.02469
HS,282,1739358351993,-2.30595,0.18495,10.07805,-3.104,-2.61555,-1.46534
HS,283,1739358352010,0.94695,0.654,10.614,-8.42176,7.11399,-2.86765
HS,284,1739358352035,0.33195,-0.114,8.93595,-7.02733,3.75001,-2.58404
HS,285,1739358352047,0.255,-2.85,8.421,-3.38761,-0.8666,-3.14339
HS,286,1739358352059,-1.518,-2.022,8.92395,-0.02363,-1.28414,-3.49791
HS,287,1739358352076,-0.378,-1.80405,10.872,4.52207,-5.62501,-4.61661
HS,288,1739358352092,-0.378,-1.80405,10.872,2.00893,2.63131,-3.91545
HS,289,1739358352108,-0.58905,-0.19995,9.45705,-2.96219,1.23687,-5.24686
HS,290,1739358352125,-1.09905,0.81405,11.93295,-10.87187,6.13709,-5.5226
HS,291,1739358352142,0.159,-2.49405,9.972,-10.59614,3.75789,-6.43646
