ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,501,1742632293488,-0.53001,-2.44546,12.37029,14.66457,-1.11997,5.21485
Gar,502,1742632293496,-0.53001,-2.44546,12.37029,14.59457,5.17985,5.07485
Gar,503,1742632293503,0.72742,-0.75374,11.01775,11.72466,6.9298,4.93485
Gar,504,1742632293511,0.72742,-0.75374,11.01775,8.43475,-1.46996,5.21485
Gar,505,1742632293521,0.72742,-0.75374,11.01775,1.08497,-5.66983,6.12482
Gar,506,1742632293530,-0.93799,0.12622,9.67239,-0.80498,-9.37972,6.54481
Gar,507,1742632293539,-0.93799,0.12622,9.67239,-4.58487,-3.56989,7.52478
Gar,508,1742632293547,0.15015,-4.18385,7.21017,-12.77462,-10.1497,6.54481
Gar,509,1742632293553,0.15015,-4.18385,7.21017,-11.65466,-17.91947,4.65486
Gar,510,1742632293561,0.53061,-2.01356,11.7344,3.4649,-4.05988,5.70483
Gar,511,1742632293571,0.53061,-2.01356,11.7344,22.22435,12.73962,7.52478
Gar,512,1742632293580,0.53061,-2.01356,11.7344,23.7643,15.04956,7.38478
Gar,513,1742632293588,0.89432,-1.75872,10.05763,8.01476,10.98968,6.47481
Gar,514,1742632293596,0.89432,-1.75872,10.05763,10.67469,-3.07991,8.50475
Gar,515,1742632293603,-0.60658,0.03948,11.67997,12.70463,-4.40987,8.29476
Gar,516,1742632293616,-0.60658,0.03948,11.67997,-0.45499,2.16994,9.90471
Gar,517,1742632293621,0.11785,-2.40957,8.74756,-3.67489,-3.2899,8.64475
Gar,518,1742632293629,0.11785,-2.40957,8.74756,-1.43496,-0.20999,8.50475
Gar,519,1742632293637,0.11785,-2.40957,8.74756,0.38499,-9.09973,8.22476
Gar,520,1742632293645,-1.34237,-1.25982,11.33899,8.50475,-0.07,7.45478
Gar,521,1742632293653,-1.34237,-1.25982,11.33899,11.79465,6.50981,7.66477
Gar,522,1742632293664,0.57248,-1.32263,11.14218,7.66477,2.16994,8.08476
Gar,523,1742632293672,0.57248,-1.32263,11.14218,-1.57495,7.41978,8.50475
Gar,524,1742632293679,-0.134,-2.49631,9.22313,-6.05482,0.90997,9.27473
Gar,525,1742632293687,-0.134,-2.49631,9.22313,-6.05482,0.90997,9.27473
Gar,526,1742632293695,-0.134,-2.49631,9.22313,-10.2547,-2.65992,9.41472
Gar,527,1742632293704,-0.36371,-2.05424,11.12304,-1.85495,-5.66983,9.27473
Gar,528,1742632293716,-0.36371,-2.05424,11.12304,12.14464,8.60975,9.48472
Gar,529,1742632293723,0.52403,-0.72383,12.25424,3.4649,14.83956,9.83471
Gar,530,1742632293729,0.52403,-0.72383,12.25424,-0.105,7.97977,10.39469
Gar,531,1742632293738,-0.26501,-2.99222,5.92343,-2.06494,12.94962,11.09467
Gar,532,1742632293749,-0.26501,-2.99222,5.92343,-23.06432,-0.07,11.44466
Gar,533,1742632293756,-0.26501,-2.99222,5.92343,-22.71433,-2.51993,10.88468
Gar,534,1742632293764,-1.11864,-0.57488,11.1685,7.87477,-10.2897,9.62472
Gar,535,1742632293770,-1.11864,-0.57488,11.1685,24.11429,11.33967,8.29476
