ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1001,1739351960719,7.22595,-0.222,14.16195,7.4685,-7.45275,-19.93965
HS,1002,1739351960736,1.128,1.79295,11.325,-0.72479,-16.62294,-15.66968
HS,1003,1739351960751,1.66605,3.948,6.26805,-8.42176,-12.69961,-17.70225
HS,1004,1739351960768,1.66605,3.948,6.26805,0.39391,-5.06566,-10.91126
HS,1005,1739351960785,4.25205,-0.38205,9.29205,-6.39707,6.20012,-14.48008
HS,1006,1739351960801,0.44805,-9.88305,7.57605,9.84771,-17.18229,-8.80779
HS,1007,1739351960817,-0.42795,-7.59405,9.23205,29.72433,-2.82826,-13.29047
HS,1008,1739351960834,1.734,6.91695,8.83305,22.16917,-4.78993,-12.24267
HS,1009,1739351960851,-2.40795,1.15395,11.02605,-6.18436,-20.12085,-8.46115
HS,1010,1739351960866,6.80505,-3.52605,11.38995,-18.92336,-28.03053,-6.01104
HS,1011,1739351960884,6.80505,-3.52605,11.38995,-11.36032,-13.32986,-2.01681
HS,1012,1739351960901,-2.32605,0.36105,12.00495,-0.65389,-7.94119,-2.57616
HS,1013,1739351960918,4.59705,-5.50905,11.892,-4.71115,-9.96588,-3.63184
HS,1014,1739351960931,2.34405,0.02595,9.88395,3.33247,-2.55253,-1.11082
HS,1015,1739351960949,3.558,-0.852,9.65595,2.49738,-3.81303,-2.30043
HS,1016,1739351960968,-0.14505,0.14295,10.06995,2.71009,-5.76682,1.19748
HS,1017,1739351960984,-4.704,-2.037,4.98,20.48324,6.61766,-1.52837
HS,1018,1739351961001,-0.02505,-5.25195,6.60795,23.14606,-8.64235,-3.41913
HS,1019,1739351961017,-0.02505,-5.25195,6.60795,5.99529,-1.99318,-1.74108
HS,1020,1739351961033,0.093,1.245,14.23905,-31.10301,-44.55105,0.63813
HS,1021,1739351961050,2.92605,-3.03795,6.996,-14.51159,-13.74741,3.08824
HS,1022,1739351961065,2.607,-6.24405,7.755,1.37868,-4.71902,3.01734
HS,1023,1739351961082,1.76205,-0.24405,12.85695,-6.18436,-0.44906,1.82774
