ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,751,1739351957096,-0.56919,-2.89232,7.0343,52.73663,-3.04785,23.37959
RV,752,1739351957112,-0.56919,-2.89232,7.0343,23.0935,13.01536,-2.0141
RV,753,1739351957123,2.33809,-0.59282,7.03191,-19.08055,7.90001,-13.29001
RV,754,1739351957142,1.85952,1.28315,11.18106,17.45554,11.04704,-2.83805
RV,755,1739351957159,0.30897,-4.35195,9.34577,20.6369,9.155,0.29754
RV,756,1739351957177,0.54108,1.74736,11.07817,17.5242,9.28088,-0.44249
RV,757,1739351957194,2.23041,-3.59821,7.17308,25.8934,5.90116,7.68257
RV,758,1739351957218,2.23041,-3.59821,7.17308,-11.67644,-24.07003,27.3582
RV,759,1739351957230,-4.73749,-3.95952,8.18525,-44.67642,-3.08218,-7.1676
RV,760,1739351957242,-0.28445,-4.33041,12.41576,-19.88924,-10.7762,10.99745
RV,761,1739351957259,1.76381,-2.3659,11.39642,-24.34086,6.00416,-8.81169
RV,762,1739351957276,0.34008,-3.04307,8.07279,-7.34308,1.44191,1.84244
RV,763,1739351957294,-2.66291,-2.17208,10.7671,-7.52999,-1.62501,4.06253
RV,764,1739351957309,-2.66291,-2.17208,10.7671,-6.26736,-7.43844,9.20841
RV,765,1739351957327,1.94327,-0.25543,10.48236,-10.50155,-2.78846,-0.59126
RV,766,1739351957343,0.78993,1.52004,9.14716,-1.17871,10.89827,-13.7325
RV,767,1739351957359,2.12034,0.51745,11.95155,32.88553,-11.089,18.88982
RV,768,1739351957380,0.86172,-3.72981,7.93639,25.34792,-4.94752,9.63946
RV,769,1739351957403,-0.21027,0.10588,11.11885,-3.12033,5.94312,-11.23777
RV,770,1739351957422,-1.18893,0.12502,8.29532,-18.82498,9.1016,-20.33174
RV,771,1739351957440,1.04596,-3.14836,13.72942,16.87191,23.78012,-20.44999
RV,772,1739351957453,0.64397,1.37647,8.53221,9.65471,14.12922,-13.42734
RV,773,1739351957460,0.64397,1.37647,8.53221,8.79262,11.54675,-10.97456
RV,774,1739351957476,1.03639,1.2018,10.74557,8.45693,9.06345,-8.27765
RV,775,1739351957495,1.03639,1.2018,10.74557,4.29141,3.86417,-4.341
RV,776,1739351957512,0.97896,-3.99302,10.42972,1.87296,-12.1876,10.28794
RV,777,1739351957521,0.47647,-1.2006,10.33879,12.29059,-11.91295,13.49981
RV,778,1739351957538,2.94108,-1.15992,8.71167,0.21362,-10.8029,7.1676
RV,779,1739351957559,-1.19372,0.21356,10.75035,-11.06993,-22.26192,14.36191
RV,780,1739351957576,1.71595,-0.4349,10.14018,-12.23337,-16.31498,7.37741
RV,781,1739351957592,1.71595,-0.4349,10.14018,-11.32932,-14.76244,5.60744
RV,782,1739351957608,1.33549,1.49851,11.13081,0.0534,-11.96635,6.31314
RV,783,1739351957620,0.40947,-0.37507,10.12822,2.30782,-9.07871,3.78025
RV,784,1739351957638,4.44616,-3.19143,6.50788,11.11951,-5.76384,3.44457
RV,785,1739351957656,2.11555,-0.00179,12.90389,-12.91237,-5.99653,-4.45162
RV,786,1739351957677,2.39073,-0.20997,7.95554,1.57161,0.99561,-6.37799
RV,787,1739351957693,2.39073,-0.20997,7.95554,-1.41521,5.42434,-11.97017
RV,788,1739351957709,-0.49262,3.36251,12.81775,-2.07895,9.34192,-15.65506
RV,789,1739351957722,1.42642,-3.36371,6.67059,-3.51705,8.05259,-14.48398
RV,790,1739351957739,2.80229,-2.0668,11.99701,-35.97535,32.95801,-53.03799
RV,791,1739351957759,2.85254,1.23769,7.97229,-35.06748,27.76255,-47.16352
RV,792,1739351957776,0.58175,0.5342,11.08774,6.92347,12.59576,-11.93584
RV,793,1739351957793,0.58175,0.5342,11.08774,5.12299,10.40237,-10.00947
RV,794,1739351957809,-1.65793,-4.09352,9.54676,26.18331,-7.62917,15.91063
RV,795,1739351957822,-0.99512,-0.57846,10.41775,23.26134,-7.25915,14.27799
RV,796,1739351957843,-1.71775,-2.34915,6.78784,9.21222,-6.07282,6.48861
RV,797,1739351957869,-1.21765,-5.467,13.57867,17.79504,-14.88451,16.54385
RV,798,1739351957884,1.41206,-4.09352,7.91486,15.4834,-11.69933,11.9015
RV,799,1739351957897,1.74945,2.78345,13.61456,12.14182,-10.15061,9.35718
RV,800,1739351957910,1.74945,2.78345,13.61456,11.80614,-9.155,9.32285
RV,801,1739351957926,-0.63619,-2.71765,7.12762,-4.238,-0.29372,-5.14587
RV,802,1739351957950,-0.83001,-1.48774,11.09253,-4.05109,-0.37383,-4.13501
RV,803,1739351957965,-3.13669,-1.41835,10.9346,-5.95838,-1.50676,-2.27731
RV,804,1739351957977,2.05334,-0.66939,8.03689,-6.11859,-1.51439,-1.54872
RV,805,1739351957994,2.05334,-0.66939,8.03689,0.40816,12.69875,-12.28678
RV,806,1739351958006,0.55065,-2.17448,8.80499,-6.54964,9.79204,-12.06553
RV,807,1739351958024,0.20608,-1.42313,9.65923,-5.37856,7.75124,-9.69667
RV,808,1739351958043,-0.37537,-0.51386,10.92503,-9.36862,8.21662,-12.29059
RV,809,1739351958058,0.88086,-1.70309,8.7356,7.20575,-2.70454,5.26031
RV,810,1739351958075,-0.9329,-1.80598,10.90589,5.70662,-1.75089,3.53612
RV,811,1739351958092,-0.9329,-1.80598,10.90589,4.47832,-1.64027,2.10565
RV,812,1739351958109,1.36899,0.01496,9.22613,3.1127,-3.6887,2.85712
RV,813,1739351958133,0.40469,-1.85623,10.13779,3.46746,-2.26205,1.24737
RV,814,1739351958148,1.73749,-2.8014,8.66621,0.6027,-0.8621,-1.50295
RV,815,1739351958162,-1.05494,-3.63649,9.32662,-10.24597,2.70836,-9.74245
RV,816,1739351958175,1.6992,-1.84188,8.77149,-34.07187,14.19788,-31.81364
RV,817,1739351958201,1.6992,-1.84188,8.77149,-35.13614,13.21372,-30.71504
RV,818,1739351958217,-0.40648,-3.14596,12.08076,-20.26307,8.78117,-18.05062
RV,819,1739351958227,-0.88265,-2.99761,9.68076,-14.37336,4.87504,-10.44815
RV,820,1739351958242,0.05533,-0.87039,9.63769,-12.56524,1.63264,-3.25384
RV,821,1739351958259,1.35703,-2.56451,9.2333,-7.4537,-1.78904,3.90995
RV,822,1739351958278,2.84058,-2.37069,10.24547,-1.67079,-2.12854,6.93492
RV,823,1739351958295,-0.58594,-0.23629,8.94617,8.25858,-10.34134,18.36341
RV,824,1739351958317,-0.58594,-0.23629,8.94617,19.34376,-8.10218,19.40098
RV,825,1739351958332,-1.49282,-1.17188,11.18106,13.43497,-6.37036,14.70904
RV,826,1739351958345,-0.98554,-3.21536,10.47518,16.85665,-4.58513,12.36307
RV,827,1739351958358,-1.61964,-1.66959,6.00299,16.91006,-2.80753,9.6242
RV,828,1739351958374,-1.61964,-1.66959,6.00299,8.46456,7.81608,-5.23361
RV,829,1739351958392,-1.05733,-2.48554,14.2702,10.69991,5.39001,-2.08276
RV,830,1739351958406,0.14148,2.61835,7.49372,12.58813,6.45428,-2.01029
RV,831,1739351958425,-0.01645,-1.90648,11.31985,29.9216,13.90416,0.53023
RV,832,1739351958444,1.33549,-3.64367,8.41257,33.51876,14.9074,4.75679
RV,833,1739351958462,1.30678,-0.18126,9.65923,-3.03259,7.96485,-1.20922
RV,834,1739351958478,-0.1337,-0.73878,10.74078,-0.74384,3.5056,5.57311
RV,835,1739351958500,-0.1337,-0.73878,10.74078,10.42526,-24.76429,40.89998
RV,836,1739351958516,2.43619,1.37886,9.77408,-5.13443,-8.64003,19.95028
RV,837,1739351958529,-1.54307,-2.09791,9.47019,-4.32955,-14.28943,26.85468
RV,838,1739351958541,-2.84237,-5.467,9.78365,-5.64177,-11.84047,25.36317
RV,839,1739351958565,0.90479,2.5322,10.75992,-52.0996,-10.42526,7.88093
RV,840,1739351958579,-0.75583,-1.1671,10.03251,-27.87699,-9.81111,17.46317
RV,841,1739351958596,-0.75583,-1.1671,10.03251,2.27731,-9.85307,28.17452
RV,842,1739351958609,1.57717,-2.96172,8.33121,3.06311,-4.6042,22.075
RV,843,1739351958623,-1.83978,-0.54018,10.98246,0.32043,-4.02057,19.20262
RV,844,1739351958641,-0.35623,-4.50269,10.04926,-12.08842,4.78349,3.74974
RV,845,1739351958659,-2.57438,-1.65524,8.94617,-18.70291,3.79933,0.77818
RV,846,1739351958676,-1.01904,0.34516,12.20519,-14.89595,3.22332,2.08658
RV,847,1739351958693,-1.01904,0.34516,12.20519,-12.22193,2.38793,3.18136
RV,848,1739351958708,0.08883,-2.2008,7.71625,-13.87746,2.67784,2.88764
RV,849,1739351958722,0.14626,0.12502,9.31945,-16.50571,3.57808,1.65553
RV,850,1739351958739,-0.28923,-5.53639,11.3701,-13.1565,7.46514,0.24795
RV,851,1739351958757,-0.98315,1.31186,9.66162,-16.47519,5.49682,1.87296
RV,852,1739351958776,2.73769,-1.64327,9.34098,-15.2736,8.24332,0.71333
RV,853,1739351958792,2.73769,-1.64327,9.34098,2.11709,-23.29948,40.87709
RV,854,1739351958807,0.2683,-2.2343,9.5013,4.29904,-21.12517,39.26352
RV,855,1739351958821,-1.1339,-4.3663,9.49891,0.10299,-19.1187,35.29635
RV,856,1739351958839,-2.09821,-5.01476,10.24068,-10.74569,-47.07198,61.87638
RV,857,1739351958861,-4.79013,-2.01655,10.89632,-26.31301,-37.82542,47.96078
RV,858,1739351958883,0.33051,-1.75573,10.38186,6.88914,-0.95746,15.61691
RV,859,1739351958896,0.33051,-1.75573,10.38186,34.38085,-19.05385,40.47656
RV,860,1739351958908,1.70638,-3.04546,8.07039,20.4004,-2.42226,20.9497
RV,861,1739351958924,0.84736,-3.30868,9.32662,-0.58363,6.12622,7.15616
RV,862,1739351958942,-4.82124,-3.74656,7.27837,-7.22101,5.85157,5.53496
RV,863,1739351958966,-2.18674,-1.35613,16.1677,2.92579,31.95859,-19.58408
RV,864,1739351958980,-4.63221,-3.36132,6.18963,33.44246,37.84068,-17.01305
RV,865,1739351958994,-4.63221,-3.36132,6.18963,43.0247,22.70059,1.66697
RV,866,1739351959007,4.84098,-1.81795,6.77109,-34.99881,36.63527,-35.15521
RV,867,1739351959021,1.67527,1.6325,11.51845,-13.51889,18.08876,-6.36273
RV,868,1739351959039,-3.18455,-0.77228,7.64208,7.90001,13.59518,6.02704
RV,869,1739351959059,-0.85394,0.57488,16.74916,38.9965,21.59055,7.38504
RV,870,1739351959082,-0.69601,-4.72762,3.85663,58.44707,-3.49797,36.89848
RV,871,1739351959096,2.30459,-6.60599,11.62613,11.05467,9.71193,11.46664
RV,872,1739351959106,2.30459,-6.60599,11.62613,-53.54914,9.27326,-7.80083
RV,873,1739351959123,-1.25115,0.90987,7.30469,-18.90127,-9.95607,19.99605
RV,874,1739351959138,1.90977,-0.2985,14.35394,-11.11189,-12.11131,20.88867
RV,875,1739351959156,1.70877,-6.3691,8.84806,-16.17002,-12.09605,18.48929
RV,876,1739351959176,0.73968,-2.24148,6.7663,-7.90382,-38.13059,46.64856
RV,877,1739351959193,0.73968,-2.24148,6.7663,-71.8477,-19.72903,11.20725
RV,878,1739351959210,-2.47388,-0.03051,10.08276,-43.02851,-25.05419,23.37959
RV,879,1739351959227,0.54347,-2.05962,6.32603,3.9748,-14.072,19.5383
RV,880,1739351959249,1.53888,3.29791,6.72084,10.37567,-15.25834,21.35023
RV,881,1739351959262,-0.34905,0.83809,9.80997,23.67713,-5.71806,13.67529
RV,882,1739351959278,0.62243,-3.9332,2.40897,21.82324,0.61033,7.32782
RV,883,1739351959296,0.62243,-3.9332,2.40897,0.19836,11.8214,-8.22806
RV,884,1739351959309,-0.61226,-4.80419,10.92024,-6.3551,-32.89698,35.91432
RV,885,1739351959323,1.35942,-2.21755,8.67099,30.58916,-7.25153,12.92763
RV,886,1739351959343,-0.59791,-5.39282,8.81695,7.92671,-12.30585,9.97895
RV,887,1739351959357,-2.12931,5.01117,14.79183,-7.48422,-1.45717,-6.5115
RV,888,1739351959375,-2.12931,5.01117,14.79183,44.56198,12.82845,-17.71875
RV,889,1739351959398,2.40748,-7.52722,6.38585,-30.5739,-21.31972,6.39324
RV,890,1739351959412,1.76859,5.5998,14.84208,51.91269,-21.47993,13.47693
