Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS250\Kanker\001_Abj_Kanker_1_12-2,5
Harshit_Preprocessed_Data-CS250\Kanker\002_Abj_Kanker_2_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\003_Ak_Kanker_1_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\004_Ak_Kanker_2_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\005_Gar_Kankar1,29
Harshit_Preprocessed_Data-CS250\Kanker\006_Gar_Kankar2,49
Harshit_Preprocessed_Data-CS250\Kanker\007_Gar_Kankar3,22
Harshit_Preprocessed_Data-CS250\Kanker\008_Gar_Kankar4,23
Harshit_Preprocessed_Data-CS250\Kanker\009_Gar_Kankar5,21
Harshit_Preprocessed_Data-CS250\Kanker\010_HS_Kanker_1_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\011_HS_Kanker_2_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\012_RV_Kanker_1_12-2,7
Harshit_Preprocessed_Data-CS250\Kanker\013_RV_Kanker_2_12-2,7
