Directory Name,Number of CSV Files
Harshit_Preprocessed_Data-CS300\Block\001_Abj_Block_10_12-2,8
Harshit_Preprocessed_Data-CS300\Block\002_Abj_Block_11_12-2,6
Harshit_Preprocessed_Data-CS300\Block\003_Abj_Block_1_12-2,7
Harshit_Preprocessed_Data-CS300\Block\004_Abj_Block_2_12-2,7
Harshit_Preprocessed_Data-CS300\Block\005_Abj_Block_3_12-2,8
Harshit_Preprocessed_Data-CS300\Block\006_Abj_Block_4_12-2,7
Harshit_Preprocessed_Data-CS300\Block\007_Abj_Block_5_12-2,7
Harshit_Preprocessed_Data-CS300\Block\008_Abj_Block_6_12-2,8
Harshit_Preprocessed_Data-CS300\Block\009_Abj_Block_7_12-2,7
Harshit_Preprocessed_Data-CS300\Block\010_Abj_Block_8_12-2,8
Harshit_Preprocessed_Data-CS300\Block\011_Abj_Block_9_12-2,8
Harshit_Preprocessed_Data-CS300\Block\012_Ak_Block_10_12-2,8
Harshit_Preprocessed_Data-CS300\Block\013_Ak_Block_11_12-2,5
Harshit_Preprocessed_Data-CS300\Block\014_Ak_Block_1_12-2,7
Harshit_Preprocessed_Data-CS300\Block\015_Ak_Block_2_12-2,7
Harshit_Preprocessed_Data-CS300\Block\016_Ak_Block_3_12-2,8
Harshit_Preprocessed_Data-CS300\Block\017_Ak_Block_4_12-2,7
Harshit_Preprocessed_Data-CS300\Block\018_Ak_Block_5_12-2,7
Harshit_Preprocessed_Data-CS300\Block\019_Ak_Block_6_12-2,7
Harshit_Preprocessed_Data-CS300\Block\020_Ak_Block_7_12-2,7
Harshit_Preprocessed_Data-CS300\Block\021_Ak_Block_8_12-2,8
Harshit_Preprocessed_Data-CS300\Block\022_Ak_Block_9_12-2,8
Harshit_Preprocessed_Data-CS300\Block\023_HS_Block_10_12-2,8
Harshit_Preprocessed_Data-CS300\Block\024_HS_Block_11_12-2,6
Harshit_Preprocessed_Data-CS300\Block\025_HS_Block_1_12-2,8
Harshit_Preprocessed_Data-CS300\Block\026_HS_Block_2_12-2,8
Harshit_Preprocessed_Data-CS300\Block\027_HS_Block_3_12-2,8
Harshit_Preprocessed_Data-CS300\Block\028_HS_Block_4_12-2,7
Harshit_Preprocessed_Data-CS300\Block\029_HS_Block_5_12-2,7
Harshit_Preprocessed_Data-CS300\Block\030_HS_Block_6_12-2,8
Harshit_Preprocessed_Data-CS300\Block\031_HS_Block_7_12-2,8
Harshit_Preprocessed_Data-CS300\Block\032_HS_Block_8_12-2,8
Harshit_Preprocessed_Data-CS300\Block\033_HS_Block_9_12-2,8
