ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1401,1739352408959,0.65474,0.45733,9.00569,-12.25626,-1.45336,-23.15071
Ak,1402,1739352408977,2.19571,-0.71037,9.15883,-9.58224,-0.78199,-21.47993
Ak,1403,1739352408997,-0.00568,-3.00269,8.19213,-7.65587,0.77818,-19.88924
Ak,1404,1739352409012,1.24337,-2.84955,10.39113,-1.13675,2.51763,-12.32874
Ak,1405,1739352409028,1.24337,-2.84955,10.39113,-0.90406,2.41463,-11.2988
Ak,1406,1739352409044,0.72891,-0.71037,7.84038,-4.4211,4.50884,-11.8481
Ak,1407,1739352409067,2.55942,1.82602,10.61127,-8.33487,4.7072,-13.41208
Ak,1408,1739352409083,1.22423,-2.34945,7.78295,0.90024,1.63264,-5.1535
Ak,1409,1739352409093,1.85593,-2.99551,9.9341,0.9422,0.54549,-5.2832
Ak,1410,1739352409115,1.71954,-2.04317,9.96282,-2.01792,-0.02289,-8.30817
Ak,1411,1739352409132,1.71954,-2.04317,9.96282,-4.75679,-0.04959,-11.28736
Ak,1412,1739352409148,1.92772,-2.56241,10.87927,-10.49011,1.23593,-15.55206
Ak,1413,1739352409161,2.26989,-0.04995,10.29063,-6.13767,-0.24413,-12.10368
Ak,1414,1739352409178,1.69801,-2.08863,7.62024,-1.0719,-2.65495,-8.29672
Ak,1415,1739352409195,2.54746,0.50518,11.14966,-15.03709,-1.74708,-18.76394
Ak,1416,1739352409211,1.77218,1.14646,9.67568,-43.24976,0.72859,-40.86565
Ak,1417,1739352409227,1.77218,1.14646,9.67568,-7.4804,1.27789,-9.39151
Ak,1418,1739352409243,1.37258,-1.16022,9.42922,19.10344,-2.51,13.04207
Ak,1419,1739352409263,1.43719,-4.21107,8.7018,22.19707,-3.10507,16.10136
Ak,1420,1739352409281,2.17896,0.23958,9.87428,8.7354,-0.22125,6.29788
Ak,1421,1739352409297,1.44915,-0.16481,9.26411,4.10831,0.02289,2.85712
Ak,1422,1739352409313,2.53549,-0.72951,9.76182,13.92323,0.40816,10.83342
Ak,1423,1739352409328,2.53549,-0.72951,9.76182,21.89572,1.61357,17.22285
Ak,1424,1739352409351,1.69561,-2.70359,10.36481,4.90937,0.8888,0.5493
Ak,1425,1739352409364,0.55184,-1.19611,9.60389,-8.56756,3.60478,-10.26886
Ak,1426,1739352409378,2.24357,-1.43539,10.74288,-9.83018,4.3944,-12.06935
Ak,1427,1739352409397,1.95882,0.13908,10.24278,-6.80903,4.00913,-10.34134
Ak,1428,1739352409415,1.16201,-3.85693,7.168,14.82348,-3.61241,3.71922
Ak,1429,1739352409430,1.16201,-3.85693,7.168,9.32666,-3.086,-1.152
Ak,1430,1739352409446,0.81266,-2.53131,10.58256,-9.10923,-2.46041,-17.06264
Ak,1431,1739352409460,1.06152,-1.66271,10.94387,-13.10691,-0.0534,-20.15245
Ak,1432,1739352409479,2.06172,-0.8994,10.57538,-10.43289,0.27465,-17.9171
Ak,1433,1739352409493,1.7674,-0.9329,8.50319,-4.98566,0.3662,-12.98103
Ak,1434,1739352409509,1.7674,-0.9329,8.50319,-4.04727,0.63322,-11.64593
Ak,1435,1739352409529,1.39173,-2.78973,10.03221,-4.57369,0.35476,-11.8748
Ak,1436,1739352409546,1.58315,-0.86351,9.67807,-8.45693,1.45336,-14.24366
Ak,1437,1739352409563,0.9347,-1.57179,9.15165,-6.6183,2.0408,-12.1876
Ak,1438,1739352409577,0.81266,-1.2679,8.98654,-5.85157,2.97919,-10.95167
Ak,1439,1739352409597,1.71715,-0.66491,9.14926,-6.28262,5.43197,-9.27326
Ak,1440,1739352409612,1.50419,-1.49761,9.22822,-6.48861,5.42815,-8.99098
Ak,1441,1739352409633,1.50419,-1.49761,9.22822,-3.90995,4.6042,-6.80522
Ak,1442,1739352409645,0.48245,-1.56461,9.34547,0.9422,4.92463,-2.55959
Ak,1443,1739352409663,1.95404,-3.04337,9.52014,6.1987,5.11917,2.33071
Ak,1444,1739352409682,1.06869,-1.7321,8.93869,1.2817,3.86799,-1.80811
Ak,1445,1739352409696,2.0665,-0.11934,10.79313,0.56074,3.44076,-2.2506
Ak,1446,1739352409713,1.7339,-1.09801,9.42922,0.71714,-0.72096,-3.02497
Ak,1447,1739352409729,1.7339,-1.09801,9.42922,1.06427,-3.91758,-3.02878
Ak,1448,1739352409745,2.17179,-2.64377,9.80968,0.68281,-4.3944,-3.08218
Ak,1449,1739352409765,1.0663,-2.79212,10.52991,-3.80314,-5.74858,-6.17963
Ak,1450,1739352409776,1.76979,-0.00449,9.97239,-10.04762,-5.11154,-10.62743
Ak,1451,1739352409792,2.3321,-1.11715,9.55604,-6.60305,-3.46746,-7.51473
Ak,1452,1739352409813,1.81765,-2.87348,10.17578,-2.93342,-1.88822,-6.24066
Ak,1453,1739352409829,1.81765,-2.87348,10.17578,-2.42608,-1.19015,-7.38504
Ak,1454,1739352409848,1.55204,-1.42582,9.33111,-4.93607,-0.10681,-13.48837
Ak,1455,1739352409865,1.94925,0.79711,10.2691,-6.37799,0.85828,-16.80325
Ak,1456,1739352409878,2.06889,-2.44756,9.3359,-4.72627,1.02612,-15.76949
Ak,1457,1739352409901,1.64536,-1.24158,8.18973,3.00589,1.60975,-8.08692
Ak,1458,1739352409914,1.08305,-2.16042,9.69721,3.78407,1.2283,-6.23685
Ak,1459,1739352409934,0.8988,-1.79193,9.76421,-1.34273,0.71714,-7.1409
Ak,1460,1739352409947,0.8988,-1.79193,9.76421,0.3395,0.38146,-4.44781
Ak,1461,1739352409959,1.10459,-1.42582,9.59911,2.15905,1.2283,-0.28228
Ak,1462,1739352409981,1.03998,-2.59113,9.80728,2.55959,2.57103,2.16287
Ak,1463,1739352409995,1.60229,-2.2657,8.75205,2.04843,4.47451,3.12033
Ak,1464,1739352410013,1.60469,-0.92333,10.94627,-3.21569,4.11212,-0.35476
Ak,1465,1739352410028,1.60469,-0.92333,10.94627,-4.69194,3.63148,-1.59068
Ak,1466,1739352410050,2.00429,-1.58136,10.30499,-2.66258,2.78465,-0.7057
