ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,201,1739356101688,-0.456,-1.27305,8.88495,2.63919,2.22952,-2.22164
HS,202,1739356101705,-0.267,-1.584,10.602,3.05673,6.42859,-1.8041
HS,203,1739356101722,-0.10395,-0.58605,9.807,1.51261,6.14497,-2.15074
HS,204,1739356101738,-0.42495,-0.67905,9.675,1.37868,2.85978,-2.29255
HS,205,1739356101756,0.084,-0.46095,9.738,1.37868,1.875,-2.22164
HS,206,1739356101771,0.084,-0.46095,9.738,0.95326,2.71797,-2.50526
HS,207,1739356101789,-0.906,-0.47595,10.509,2.07984,1.45746,-2.9228
HS,208,1739356101811,0.534,-0.90705,9.96705,0.74843,3.49003,-2.9228
HS,209,1739356101824,-0.96105,-0.603,9.915,0.88235,-0.63813,-3.20641
HS,210,1739356101837,0.60795,-0.40395,10.695,1.09507,3.49003,-3.55305
HS,211,1739356101854,-0.99495,-1.88595,9.795,0.95326,-0.07878,-3.62396
HS,212,1739356101872,0.04305,-0.366,9.83805,1.37868,1.11082,-3.48215
HS,213,1739356101889,0.04305,-0.366,9.83805,-0.02363,-1.552,-4.1124
HS,214,1739356101904,-0.49005,-1.347,10.65195,0.39391,0.62238,-4.18331
HS,215,1739356101920,-1.17195,-1.323,9.27495,1.51261,-0.22059,-4.0415
HS,216,1739356101937,-0.31005,-0.98295,10.15695,0.39391,1.74108,-4.74266
HS,217,1739356101954,-1.11195,-0.543,9.31605,-1.07143,1.45746,-4.81356
HS,218,1739356101971,-1.11195,-0.543,9.31605,-0.44118,-1.69381,-4.88447
HS,219,1739356101986,0.06705,-1.584,8.907,-0.7957,-0.70904,-5.37291
HS,220,1739356102003,-0.93,-0.71505,10.01805,-1.77259,3.13551,-4.74266
HS,221,1739356102020,-0.01605,-1.74195,9.31395,0.11817,-1.89864,-5.2311
HS,222,1739356102036,-1.368,-1.53405,10.12995,-0.16544,2.71797,-5.30201
HS,223,1739356102053,0.17205,-1.88805,10.19505,1.65442,1.59927,-5.44382
HS,224,1739356102071,-0.53505,0.42795,10.35795,0.88235,4.60873,-5.51472
HS,225,1739356102087,-0.53505,0.42795,10.35795,-1.28414,1.875,-5.58562
HS,226,1739356102103,-0.22605,-1.78605,9.321,-3.24581,-0.70904,-6.21588
HS,227,1739356102120,-0.708,-0.70305,10.635,-3.0331,-2.5998,-5.93226
HS,228,1739356102136,-0.27705,-1.71795,9.27795,-2.47375,-0.14969,-6.49161
HS,229,1739356102152,0.46905,0.35595,9.036,-1.84349,-3.15915,-6.21588
HS,230,1739356102168,-1.452,-1.81905,10.71705,-3.38761,4.12028,-5.65653
HS,231,1739356102185,-1.452,-1.81905,10.71705,-2.40284,-1.33929,-6.28678
HS,232,1739356102203,-0.58605,-1.63695,9.19905,-1.9144,-2.95431,-5.51472
HS,233,1739356102226,0.30705,-0.94305,9.55605,-1.21324,-3.44276,-5.72743
HS,234,1739356102236,0.081,-1.05495,9.61305,-1.21324,-1.06355,-6.00317
HS,235,1739356102254,0.486,-1.194,9.62295,-2.19013,-1.6229,-6.21588
HS,236,1739356102274,-0.27,-1.197,8.658,-0.58298,-2.95431,-6.07407
HS,237,1739356102285,-0.36795,-0.054,8.82795,1.09507,-0.57511,-5.72743
HS,238,1739356102302,-0.71505,-2.487,10.37895,-1.07143,6.08195,-6.21588
HS,239,1739356102319,-0.71505,-2.487,10.37895,-1.9853,-1.552,-6.35768
HS,240,1739356102335,-1.57395,-1.81695,10.20195,-1.07143,0.48057,-5.93226
HS,241,1739356102352,0.558,-1.21995,9.75,0.67752,-0.99265,-6.70432
HS,242,1739356102368,-0.33705,-1.857,10.422,0.25998,-1.76471,-6.56252
HS,243,1739356102385,-1.36605,-1.25895,9.97695,-0.16544,-1.69381,-6.70432
HS,244,1739356102404,0.38805,-1.61295,9.98205,-0.16544,-4.00211,-6.49161
HS,245,1739356102418,-0.09195,-0.59805,8.78205,0.60662,-4.70327,-6.56252
HS,246,1739356102434,-0.09195,-0.59805,8.78205,-0.16544,-2.5998,-6.21588
HS,247,1739356102451,-0.82995,-1.15095,9.723,-0.02363,-2.88341,-6.49161
HS,248,1739356102469,0.12195,-0.53805,10.16595,-0.09454,-3.44276,-6.63342
HS,249,1739356102485,-0.33195,-1.893,9.28995,1.93803,-4.70327,-6.35768
HS,250,1739356102501,-0.43005,-1.34295,9.76395,1.30778,-4.56146,-6.35768
HS,251,1739356102518,1.01505,-0.97095,10.09905,2.56828,-5.40442,-6.56252
HS,252,1739356102534,-0.27705,-0.39,10.329,2.14286,-2.81251,-6.49161
HS,253,1739356102551,0.603,-0.165,8.208,3.19854,-6.66493,-6.21588
HS,254,1739356102568,0.603,-0.165,8.208,1.37868,-4.63236,-5.79833
HS,255,1739356102584,0.28005,0.88305,10.221,-1.00053,-4.77417,-5.72743
HS,256,1739356102600,-0.61395,-1.44105,9.35205,-1.28414,-9.53259,-5.51472
HS,257,1739356102617,-0.07605,-1.37595,9.61995,-0.16544,-5.96377,-5.1602
HS,258,1739356102634,-0.04905,-0.89205,10.28595,0.39391,-6.72796,-5.09718
HS,259,1739356102652,-0.68595,-1.23495,9.711,0.88235,-5.96377,-4.60085
HS,260,1739356102668,-0.768,-1.86705,10.45095,-0.30725,-6.0268,-4.81356
HS,261,1739356102684,-0.768,-1.86705,10.45095,0.95326,-9.10716,-3.83667
HS,262,1739356102700,0.10305,-0.84195,9.96,0.95326,-5.04991,-3.20641
HS,263,1739356102716,-0.08805,-0.33495,9.972,-1.49685,-6.86976,-2.71797
HS,264,1739356102734,-0.89205,0.732,9.89595,-4.85295,-7.84666,-2.43435
HS,265,1739356102750,1.43895,-1.089,8.67495,-5.76682,-11.21064,-2.50526
HS,266,1739356102768,0.62505,-1.12005,9.366,-1.63078,-9.66651,-1.875
HS,267,1739356102784,-0.74595,-1.00695,9.61305,-0.51208,-8.34298,-1.10294
HS,268,1739356102801,0.975,0.01905,9.71805,0.18908,-3.30095,-0.96114
HS,269,1739356102818,0.975,0.01905,9.71805,-0.09454,-7.42911,-0.12605
HS,270,1739356102833,0.14805,-0.936,8.46405,-0.51208,-4.27785,0.78782
HS,271,1739356102849,-0.47295,-1.01895,9.402,-1.56776,-4.9081,0.78782
HS,272,1739356102866,0.41895,-1.55595,9.70905,-2.54465,-3.64759,1.34717
HS,273,1739356102885,-0.68595,-2.00595,9.156,0.11817,-6.16861,1.83561
HS,274,1739356102899,-0.87495,0.14295,10.377,-0.16544,-1.69381,2.04832
HS,275,1739356102916,-1.80195,-1.848,9.996,-0.30725,0.06303,1.76471
HS,276,1739356102932,-1.80195,-1.848,9.996,-2.68646,-4.9081,2.11923
HS,277,1739356102949,0.702,-0.84,11.15295,-2.12711,-2.52889,2.60767
HS,278,1739356102966,0.546,-0.53295,9.73005,0.323,-7.91756,2.95431
HS,279,1739356102982,-0.43905,-2.26905,8.313,1.02416,-7.28731,3.30883
HS,280,1739356102999,-0.46605,-0.84705,10.971,-1.00053,-1.26839,3.93909
HS,281,1739356103015,-0.10005,-1.00005,9.40005,-1.49685,-4.63236,3.86818
HS,282,1739356103032,-0.741,-1.989,9.261,-1.77259,-2.7416,4.28572
HS,283,1739356103048,-0.60495,-0.96405,9.711,-0.72479,-3.15915,4.63236
HS,284,1739356103065,-0.60495,-0.96405,9.711,-1.42595,-1.33929,4.91598
HS,285,1739356103082,0.25605,-2.181,10.20405,1.09507,-6.16861,4.63236
